============ Start of Season ============
2007-10-30 | w: UTA | L: GSW
2007-11-23 | w: SAS | L: MEM
2007-11-23 | w: PHX | L: LAC
2007-11-23 | w: BOS | L: LAL
2007-11-23 | w: ORL | L: CHA
2007-11-23 | w: DET | L: PHI
2007-11-23 | w: MIA | L: HOU
2007-11-23 | w: UTA | L: NOH
2007-11-23 | w: POR | L: SAC
2007-11-23 | w: IND | L: DAL
2007-11-23 | w: DEN | L: MIN
2007-11-23 | w: GSW | L: WAS
2007-11-23 | w: NJN | L: SEA
2007-11-24 | w: GSW | L: PHI
2007-11-24 | w: NYK | L: CHI
2007-11-24 | w: HOU | L: DEN
2007-11-24 | w: CLE | L: TOR
2007-11-24 | w: ORL | L: MIA
2007-11-24 | w: NOH | L: LAC
2007-11-24 | w: MIL | L: DAL
2007-11-24 | w: ATL | L: MIN
2007-11-24 | w: MEM | L: WAS
2007-11-24 | w: BOS | L: CHA
2007-11-25 | w: NJN | L: LAL
2007-11-25 | w: UTA | L: DET
2007-11-25 | w: CLE | L: IND
2007-11-25 | w: TOR | L: CHI
2007-11-25 | w: SAS | L: SEA
2007-11-26 | w: GSW | L: PHX
2007-11-26 | w: NYK | L: UTA
2007-11-26 | w: HOU | L: LAC
2007-11-26 | w: ORL | L: POR
2007-11-26 | w: WAS | L: DAL
2007-11-26 | w: SAC | L: SAS
2007-11-26 | w: MIN | L: NOH
2007-11-27 | w: LAL | L: SEA
2007-11-27 | w: CHI | L: ATL
2007-11-27 | w: MEM | L: NJN
2007-11-27 | w: CLE | L: BOS
2007-11-27 | w: MIA | L: CHA
2007-11-27 | w: PHI | L: MIL
2007-11-27 | w: IND | L: DEN
2007-11-28 | w: UTA | L: PHI
2007-11-28 | w: SAS | L: WAS
2007-11-28 | w: HOU | L: PHX
2007-11-28 | w: DET | L: CLE
2007-11-28 | w: IND | L: POR
2007-11-28 | w: ATL | L: MIL
2007-11-28 | w: DAL | L: MIN
2007-11-28 | w: GSW | L: SAC
2007-11-28 | w: TOR | L: MEM
2007-11-28 | w: ORL | L: SEA
2007-11-29 | w: GSW | L: HOU
2007-11-29 | w: LAL | L: DEN
2007-11-29 | w: BOS | L: NYK
2007-11-30 | w: PHI | L: WAS
2007-11-30 | w: NYK | L: MIL
2007-11-30 | w: PHX | L: ORL
2007-11-30 | w: BOS | L: MIA
2007-11-30 | w: UTA | L: LAL
2007-11-30 | w: NOH | L: ATL
2007-11-30 | w: DAL | L: POR
2007-11-30 | w: DEN | L: LAC
2007-11-30 | w: SAS | L: MIN
2007-11-30 | w: TOR | L: CLE
2007-11-30 | w: SEA | L: IND
2007-12-01 | w: CHI | L: CHA
2007-12-01 | w: NJN | L: PHI
2007-12-01 | w: DET | L: MIL
2007-12-01 | w: SAC | L: HOU
2007-12-01 | w: NOH | L: DAL
2007-12-01 | w: WAS | L: TOR
2007-12-01 | w: MEM | L: MIN
2007-12-02 | w: SAS | L: POR
2007-12-02 | w: ORL | L: LAL
2007-12-02 | w: PHX | L: NYK
2007-12-02 | w: BOS | L: CLE
2007-12-02 | w: IND | L: LAC
2007-12-02 | w: DET | L: NJN
2007-12-02 | w: DEN | L: MIA
2007-12-02 | w: GSW | L: SEA
2007-12-03 | w: ATL | L: PHI
2007-12-03 | w: ORL | L: GSW
2007-12-03 | w: DAL | L: CHI
2007-12-03 | w: UTA | L: MIA
2007-12-03 | w: TOR | L: CHA
2007-12-03 | w: POR | L: MEM
2007-12-04 | w: NJN | L: CLE
2007-12-04 | w: MIL | L: LAC
2007-12-04 | w: PHX | L: IND
2007-12-04 | w: DET | L: ATL
2007-12-04 | w: SAC | L: UTA
2007-12-04 | w: LAL | L: MIN
2007-12-05 | w: BOS | L: PHI
2007-12-05 | w: GSW | L: MIL
2007-12-05 | w: SAS | L: DAL
2007-12-05 | w: NYK | L: NJN
2007-12-05 | w: HOU | L: MEM
2007-12-05 | w: LAL | L: DEN
2007-12-05 | w: DET | L: NOH
2007-12-05 | w: PHX | L: TOR
2007-12-05 | w: WAS | L: CLE
2007-12-05 | w: CHI | L: CHA
2007-12-05 | w: SEA | L: LAC
2007-12-06 | w: POR | L: MIA
2007-12-06 | w: ATL | L: MIN
2007-12-06 | w: DEN | L: DAL
2007-12-07 | w: PHI | L: NYK
2007-12-07 | w: GSW | L: MIA
2007-12-07 | w: SAS | L: UTA
2007-12-07 | w: BOS | L: TOR
2007-12-07 | w: HOU | L: NJN
2007-12-07 | w: IND | L: ORL
2007-12-07 | w: CHI | L: DET
2007-12-07 | w: LAC | L: SAC
2007-12-07 | w: NOH | L: MEM
2007-12-07 | w: PHX | L: WAS
2007-12-07 | w: SEA | L: MIL
2007-12-08 | w: BOS | L: CHI
2007-12-08 | w: PHI | L: NYK
2007-12-08 | w: ATL | L: MEM
2007-12-08 | w: DAL | L: UTA
2007-12-08 | w: DEN | L: SAC
2007-12-08 | w: MIN | L: PHX
2007-12-08 | w: CHA | L: CLE
2007-12-09 | w: LAL | L: GSW
2007-12-09 | w: MIA | L: LAC
2007-12-09 | w: DET | L: CHA
2007-12-09 | w: POR | L: MIL
2007-12-09 | w: NOH | L: SEA
2007-12-09 | w: WAS | L: NJN
2007-12-09 | w: TOR | L: HOU
2007-12-10 | w: PHI | L: HOU
2007-12-10 | w: DAL | L: NYK
2007-12-10 | w: MIA | L: PHX
2007-12-10 | w: ATL | L: ORL
2007-12-10 | w: SAC | L: MIL
2007-12-11 | w: GSW | L: SAS
2007-12-11 | w: CHI | L: SEA
2007-12-11 | w: LAC | L: NJN
2007-12-11 | w: CLE | L: IND
2007-12-11 | w: POR | L: UTA
2007-12-11 | w: TOR | L: ATL
2007-12-11 | w: WAS | L: MIN
2007-12-11 | w: DET | L: MEM
2007-12-12 | w: PHI | L: MIN
2007-12-12 | w: SEA | L: NYK
2007-12-12 | w: PHX | L: UTA
2007-12-12 | w: BOS | L: SAC
2007-12-12 | w: HOU | L: DET
2007-12-12 | w: POR | L: GSW
2007-12-12 | w: IND | L: CHI
2007-12-12 | w: MIL | L: ORL
2007-12-12 | w: DEN | L: NOH
2007-12-12 | w: TOR | L: DAL
2007-12-12 | w: CHA | L: LAC
2007-12-13 | w: LAL | L: SAS
2007-12-13 | w: WAS | L: MIA
2007-12-14 | w: SAC | L: PHI
2007-12-14 | w: GSW | L: LAL
2007-12-14 | w: CHI | L: NYK
2007-12-14 | w: BOS | L: MIL
2007-12-14 | w: NJN | L: CLE
2007-12-14 | w: DET | L: ATL
2007-12-14 | w: POR | L: UTA
2007-12-14 | w: TOR | L: IND
2007-12-14 | w: DAL | L: NOH
2007-12-14 | w: SEA | L: MIN
2007-12-14 | w: LAC | L: MEM
2007-12-14 | w: ORL | L: CHA
2007-12-15 | w: SAS | L: DEN
2007-12-15 | w: NYK | L: NJN
2007-12-15 | w: DAL | L: HOU
2007-12-15 | w: PHI | L: CLE
2007-12-15 | w: MEM | L: ORL
2007-12-15 | w: IND | L: MIA
2007-12-15 | w: UTA | L: SEA
2007-12-15 | w: ATL | L: CHA
2007-12-15 | w: MIL | L: MIN
2007-12-15 | w: NOH | L: PHX
2007-12-15 | w: WAS | L: SAC
2007-12-16 | w: LAL | L: LAC
2007-12-16 | w: DET | L: GSW
2007-12-16 | w: POR | L: DEN
2007-12-16 | w: BOS | L: TOR
2007-12-17 | w: PHX | L: SAS
2007-12-17 | w: IND | L: NYK
2007-12-17 | w: CLE | L: MIL
2007-12-17 | w: MIA | L: MIN
2007-12-17 | w: POR | L: NOH
2007-12-17 | w: ATL | L: UTA
2007-12-17 | w: DAL | L: ORL
2007-12-17 | w: GSW | L: MEM
2007-12-18 | w: LAL | L: CHI
2007-12-18 | w: SAC | L: NJN
2007-12-18 | w: TOR | L: LAC
2007-12-19 | w: NYK | L: CLE
2007-12-19 | w: DET | L: BOS
2007-12-19 | w: ORL | L: HOU
2007-12-19 | w: POR | L: TOR
2007-12-19 | w: IND | L: PHI
2007-12-19 | w: ATL | L: MIA
2007-12-19 | w: SAC | L: MIL
2007-12-19 | w: DAL | L: PHX
2007-12-19 | w: GSW | L: MIN
2007-12-19 | w: CHI | L: WAS
2007-12-19 | w: MEM | L: SAS
2007-12-19 | w: CHA | L: UTA
2007-12-19 | w: NOH | L: SEA
2007-12-20 | w: CLE | L: LAL
2007-12-20 | w: NJN | L: MIA
2007-12-20 | w: DEN | L: HOU
2007-12-21 | w: LAL | L: PHI
2007-12-21 | w: BOS | L: CHI
2007-12-21 | w: UTA | L: ORL
2007-12-21 | w: DET | L: MEM
2007-12-21 | w: POR | L: DEN
2007-12-21 | w: DAL | L: LAC
2007-12-21 | w: MIN | L: IND
2007-12-21 | w: ATL | L: WAS
2007-12-21 | w: CHA | L: NYK
2007-12-21 | w: SEA | L: TOR
2007-12-22 | w: SAS | L: LAC
2007-12-22 | w: HOU | L: CHI
2007-12-22 | w: PHX | L: TOR
2007-12-22 | w: NJN | L: GSW
2007-12-22 | w: MIA | L: UTA
2007-12-22 | w: IND | L: WAS
2007-12-22 | w: MIL | L: CHA
2007-12-22 | w: NOH | L: MIN
2007-12-22 | w: PHI | L: MEM
2007-12-23 | w: LAL | L: NYK
2007-12-23 | w: BOS | L: ORL
2007-12-23 | w: GSW | L: CLE
2007-12-23 | w: DET | L: HOU
2007-12-23 | w: DEN | L: SAC
2007-12-25 | w: LAL | L: PHX
2007-12-25 | w: CLE | L: MIA
2007-12-25 | w: POR | L: SEA
2007-12-26 | w: PHI | L: MIA
2007-12-26 | w: GSW | L: MIN
2007-12-26 | w: SAS | L: CHI
2007-12-26 | w: DET | L: NJN
2007-12-26 | w: ORL | L: NYK
2007-12-26 | w: UTA | L: DAL
2007-12-26 | w: ATL | L: IND
2007-12-26 | w: DEN | L: MIL
2007-12-26 | w: BOS | L: SAC
2007-12-26 | w: NOH | L: MEM
2007-12-26 | w: WAS | L: CHA
2007-12-27 | w: PHX | L: LAC
2007-12-27 | w: CLE | L: DAL
2007-12-27 | w: BOS | L: SEA
2007-12-28 | w: DEN | L: GSW
2007-12-28 | w: TOR | L: SAS
2007-12-28 | w: LAL | L: UTA
2007-12-28 | w: CHI | L: MIL
2007-12-28 | w: PHX | L: LAC
2007-12-28 | w: NJN | L: WAS
2007-12-28 | w: DET | L: IND
2007-12-28 | w: ORL | L: MIA
2007-12-28 | w: POR | L: MIN
2007-12-28 | w: PHI | L: SAC
2007-12-28 | w: HOU | L: MEM
2007-12-28 | w: NOH | L: CHA
2007-12-29 | w: HOU | L: TOR
2007-12-29 | w: ORL | L: CHA
2007-12-29 | w: DET | L: IND
2007-12-29 | w: BOS | L: UTA
2007-12-29 | w: NJN | L: MIL
2007-12-29 | w: DAL | L: ATL
2007-12-29 | w: NOH | L: CLE
2007-12-29 | w: WAS | L: MIA
2007-12-29 | w: SEA | L: MIN
2007-12-30 | w: SAS | L: MEM
2007-12-30 | w: BOS | L: LAL
2007-12-30 | w: CHI | L: NYK
2007-12-30 | w: POR | L: PHI
2007-12-30 | w: PHX | L: SAC
2007-12-30 | w: GSW | L: DEN
2007-12-31 | w: ORL | L: CHI
2007-12-31 | w: GSW | L: HOU
2007-12-31 | w: LAC | L: MIN
2007-12-31 | w: DET | L: MIL
2007-12-31 | w: UTA | L: POR
2007-12-31 | w: TOR | L: NOH
2007-12-31 | w: CHA | L: IND
2007-12-31 | w: PHI | L: SEA
2008-01-02 | w: SAC | L: NYK
2008-01-02 | w: BOS | L: HOU
2008-01-02 | w: CLE | L: ATL
2008-01-02 | w: NOH | L: LAC
2008-01-02 | w: NJN | L: ORL
2008-01-02 | w: MIL | L: MIA
2008-01-02 | w: UTA | L: PHI
2008-01-02 | w: MEM | L: IND
2008-01-02 | w: DAL | L: GSW
2008-01-02 | w: POR | L: MIN
2008-01-02 | w: DET | L: WAS
2008-01-02 | w: CHI | L: CHA
2008-01-03 | w: POR | L: CHI
2008-01-03 | w: PHX | L: SEA
2008-01-03 | w: DEN | L: SAS
2008-01-04 | w: NOH | L: GSW
2008-01-04 | w: SAS | L: NYK
2008-01-04 | w: LAL | L: PHI
2008-01-04 | w: BOS | L: MEM
2008-01-04 | w: NJN | L: CHA
2008-01-04 | w: CLE | L: SAC
2008-01-04 | w: HOU | L: ORL
2008-01-04 | w: IND | L: ATL
2008-01-04 | w: WAS | L: MIL
2008-01-04 | w: DAL | L: MIA
2008-01-04 | w: DEN | L: MIN
2008-01-04 | w: DET | L: TOR
2008-01-05 | w: CHI | L: SAC
2008-01-05 | w: NOH | L: PHX
2008-01-05 | w: HOU | L: NYK
2008-01-05 | w: BOS | L: DET
2008-01-05 | w: POR | L: UTA
2008-01-05 | w: NJN | L: ATL
2008-01-06 | w: LAL | L: IND
2008-01-06 | w: SAS | L: LAC
2008-01-06 | w: DAL | L: MIN
2008-01-06 | w: DEN | L: PHI
2008-01-06 | w: WAS | L: SEA
2008-01-06 | w: CLE | L: TOR
2008-01-06 | w: MEM | L: MIA
2008-01-06 | w: MIL | L: CHA
2008-01-07 | w: GSW | L: SAS
2008-01-07 | w: PHX | L: DEN
2008-01-08 | w: MIL | L: PHI
2008-01-08 | w: NYK | L: CHI
2008-01-08 | w: CLE | L: SEA
2008-01-08 | w: UTA | L: IND
2008-01-08 | w: SAC | L: ORL
2008-01-08 | w: MIN | L: MIA
2008-01-08 | w: HOU | L: WAS
2008-01-08 | w: LAL | L: MEM
2008-01-08 | w: CHA | L: NJN
2008-01-09 | w: HOU | L: NYK
2008-01-09 | w: PHX | L: IND
2008-01-09 | w: CHA | L: BOS
2008-01-09 | w: NJN | L: SEA
2008-01-09 | w: ORL | L: LAC
2008-01-09 | w: POR | L: GSW
2008-01-09 | w: ATL | L: CLE
2008-01-09 | w: MIL | L: MIA
2008-01-09 | w: DAL | L: DET
2008-01-09 | w: LAL | L: NOH
2008-01-09 | w: TOR | L: PHI
2008-01-10 | w: DET | L: SAS
2008-01-10 | w: UTA | L: PHX
2008-01-10 | w: SAC | L: MEM
2008-01-11 | w: CHI | L: PHI
2008-01-11 | w: GSW | L: MEM
2008-01-11 | w: LAL | L: MIL
2008-01-11 | w: TOR | L: NYK
2008-01-11 | w: BOS | L: NJN
2008-01-11 | w: CLE | L: CHA
2008-01-11 | w: HOU | L: MIN
2008-01-11 | w: WAS | L: ATL
2008-01-11 | w: DEN | L: ORL
2008-01-11 | w: NOH | L: MIA
2008-01-11 | w: DAL | L: SEA
2008-01-12 | w: SAS | L: MIN
2008-01-12 | w: PHX | L: MIL
2008-01-12 | w: DAL | L: LAC
2008-01-12 | w: UTA | L: ORL
2008-01-12 | w: IND | L: SAC
2008-01-12 | w: WAS | L: BOS
2008-01-12 | w: DET | L: CHA
2008-01-13 | w: GSW | L: IND
2008-01-13 | w: LAL | L: MEM
2008-01-13 | w: NYK | L: DET
2008-01-13 | w: NOH | L: HOU
2008-01-13 | w: ATL | L: CHI
2008-01-13 | w: TOR | L: POR
2008-01-14 | w: SAS | L: PHI
2008-01-14 | w: WAS | L: BOS
2008-01-14 | w: POR | L: NJN
2008-01-14 | w: UTA | L: MIL
2008-01-14 | w: SAC | L: DAL
2008-01-14 | w: CHA | L: DEN
2008-01-14 | w: LAL | L: SEA
2008-01-15 | w: NYK | L: WAS
2008-01-15 | w: PHI | L: HOU
2008-01-15 | w: ORL | L: CHI
2008-01-15 | w: LAC | L: PHX
2008-01-15 | w: DET | L: TOR
2008-01-15 | w: ATL | L: DEN
2008-01-15 | w: GSW | L: MIN
2008-01-15 | w: CLE | L: MEM
2008-01-16 | w: BOS | L: POR
2008-01-16 | w: NYK | L: NJN
2008-01-16 | w: CHI | L: MIA
2008-01-16 | w: IND | L: GSW
2008-01-16 | w: MIL | L: ATL
2008-01-16 | w: NOH | L: SEA
2008-01-16 | w: TOR | L: SAC
2008-01-16 | w: CHA | L: ORL
2008-01-17 | w: CLE | L: SAS
2008-01-17 | w: PHX | L: LAL
2008-01-17 | w: DEN | L: UTA
2008-01-18 | w: GSW | L: CHI
2008-01-18 | w: PHX | L: MIN
2008-01-18 | w: BOS | L: PHI
2008-01-18 | w: SAC | L: DET
2008-01-18 | w: POR | L: MIA
2008-01-18 | w: UTA | L: LAC
2008-01-18 | w: NOH | L: CHA
2008-01-18 | w: TOR | L: ATL
2008-01-18 | w: WAS | L: NYK
2008-01-18 | w: MEM | L: SEA
2008-01-19 | w: PHI | L: TOR
2008-01-19 | w: CHI | L: DET
2008-01-19 | w: HOU | L: SAS
2008-01-19 | w: ORL | L: POR
2008-01-19 | w: LAC | L: NJN
2008-01-19 | w: NYK | L: MIA
2008-01-19 | w: SAC | L: IND
2008-01-19 | w: GSW | L: MIL
2008-01-19 | w: DAL | L: SEA
2008-01-19 | w: DEN | L: MIN
2008-01-19 | w: CHA | L: MEM
2008-01-20 | w: PHX | L: NJN
2008-01-21 | w: IND | L: PHI
2008-01-21 | w: MIN | L: GSW
2008-01-21 | w: LAL | L: DEN
2008-01-21 | w: BOS | L: NYK
2008-01-21 | w: HOU | L: SEA
2008-01-21 | w: ORL | L: DET
2008-01-21 | w: UTA | L: LAC
2008-01-21 | w: CLE | L: MIA
2008-01-21 | w: POR | L: ATL
2008-01-21 | w: NOH | L: MIL
2008-01-21 | w: WAS | L: DAL
2008-01-21 | w: MEM | L: CHI
2008-01-21 | w: SAS | L: CHA
2008-01-22 | w: PHX | L: MIL
2008-01-22 | w: SAC | L: NJN
2008-01-23 | w: DET | L: PHI
2008-01-23 | w: SAS | L: LAL
2008-01-23 | w: CHI | L: IND
2008-01-23 | w: TOR | L: BOS
2008-01-23 | w: CLE | L: WAS
2008-01-23 | w: LAC | L: SAC
2008-01-23 | w: DEN | L: ATL
2008-01-23 | w: MIN | L: PHX
2008-01-23 | w: NOH | L: POR
2008-01-23 | w: ORL | L: MEM
2008-01-23 | w: DAL | L: CHA
2008-01-23 | w: HOU | L: SEA
2008-01-24 | w: GSW | L: NJN
2008-01-24 | w: SAS | L: MIA
2008-01-24 | w: MIL | L: IND
2008-01-25 | w: CHA | L: CHI
2008-01-25 | w: NYK | L: PHI
2008-01-25 | w: BOS | L: MIN
2008-01-25 | w: PHX | L: CLE
2008-01-25 | w: DET | L: ORL
2008-01-25 | w: HOU | L: POR
2008-01-25 | w: UTA | L: SAC
2008-01-25 | w: DAL | L: LAL
2008-01-25 | w: DEN | L: NJN
2008-01-25 | w: NOH | L: LAC
2008-01-25 | w: TOR | L: MIL
2008-01-25 | w: WAS | L: MEM
2008-01-25 | w: ATL | L: SEA
2008-01-26 | w: NOH | L: SAS
2008-01-26 | w: MIA | L: IND
2008-01-26 | w: MEM | L: LAC
2008-01-26 | w: PHI | L: CHA
2008-01-27 | w: GSW | L: NYK
2008-01-27 | w: CLE | L: LAL
2008-01-27 | w: PHX | L: CHI
2008-01-27 | w: UTA | L: HOU
2008-01-27 | w: ORL | L: BOS
2008-01-27 | w: POR | L: ATL
2008-01-27 | w: MIL | L: WAS
2008-01-27 | w: DAL | L: DEN
2008-01-27 | w: MIN | L: NJN
2008-01-27 | w: SAC | L: SEA
2008-01-28 | w: CHA | L: LAC
2008-01-28 | w: UTA | L: SAS
2008-01-28 | w: NOH | L: DEN
2008-01-28 | w: DAL | L: MEM
2008-01-29 | w: LAL | L: NYK
2008-01-29 | w: CHI | L: MIN
2008-01-29 | w: PHX | L: ATL
2008-01-29 | w: NJN | L: MIL
2008-01-29 | w: HOU | L: GSW
2008-01-29 | w: BOS | L: MIA
2008-01-29 | w: DET | L: IND
2008-01-29 | w: WAS | L: TOR
2008-01-29 | w: SEA | L: SAS
2008-01-30 | w: PHI | L: MIL
2008-01-30 | w: ORL | L: MIA
2008-01-30 | w: LAC | L: ATL
2008-01-30 | w: CLE | L: POR
2008-01-30 | w: UTA | L: NYK
2008-01-30 | w: SAC | L: CHA
2008-01-30 | w: MIN | L: CHI
2008-01-30 | w: GSW | L: NOH
2008-01-30 | w: TOR | L: WAS
2008-01-30 | w: DEN | L: MEM
2008-01-31 | w: SAS | L: PHX
2008-01-31 | w: BOS | L: DAL
2008-01-31 | w: DET | L: LAL
2008-01-31 | w: SEA | L: CLE
2008-02-01 | w: ORL | L: PHI
2008-02-01 | w: GSW | L: CHA
2008-02-01 | w: NJN | L: MIA
2008-02-01 | w: POR | L: NYK
2008-02-01 | w: HOU | L: IND
2008-02-01 | w: SAC | L: NOH
2008-02-01 | w: MIN | L: LAC
2008-02-01 | w: UTA | L: WAS
2008-02-01 | w: LAL | L: TOR
2008-02-02 | w: CLE | L: LAC
2008-02-02 | w: ORL | L: IND
2008-02-02 | w: ATL | L: NJN
2008-02-02 | w: HOU | L: MIL
2008-02-02 | w: SAC | L: CHI
2008-02-02 | w: DEN | L: CHA
2008-02-02 | w: UTA | L: MEM
2008-02-02 | w: SEA | L: NYK
2008-02-03 | w: DET | L: DAL
2008-02-03 | w: LAL | L: WAS
2008-02-04 | w: LAC | L: NYK
2008-02-04 | w: PHX | L: CHA
2008-02-04 | w: DAL | L: ORL
2008-02-04 | w: TOR | L: MIA
2008-02-04 | w: DEN | L: POR
2008-02-04 | w: UTA | L: NOH
2008-02-04 | w: ATL | L: PHI
2008-02-04 | w: HOU | L: MIN
