============ Start of Season ============
1969-10-14 | w: NYK | L: SEA
1969-12-05 | w: MIL | L: SEA
1969-12-05 | w: CIN | L: ATL
1969-12-06 | w: NYK | L: MIL
1969-12-06 | w: LAL | L: SDR
1969-12-06 | w: PHL | L: CIN
1969-12-06 | w: CHI | L: BOS
1969-12-06 | w: SEA | L: BLT
1969-12-07 | w: ATL | L: LAL
1969-12-07 | w: DET | L: PHX
1969-12-08 | w: BLT | L: CHI
1969-12-08 | w: DET | L: SDR
1969-12-09 | w: ATL | L: SFW
1969-12-09 | w: CIN | L: NYK
1969-12-09 | w: SEA | L: DET
1969-12-09 | w: CHI | L: PHX
1969-12-09 | w: PHL | L: LAL
1969-12-10 | w: BOS | L: LAL
1969-12-10 | w: PHX | L: BLT
1969-12-10 | w: SDR | L: ATL
1969-12-10 | w: NYK | L: MIL
1969-12-10 | w: CIN | L: PHL
1969-12-11 | w: SEA | L: NYK
1969-12-11 | w: CHI | L: SFW
1969-12-11 | w: DET | L: CIN
1969-12-12 | w: ATL | L: LAL
1969-12-12 | w: BOS | L: SDR
1969-12-12 | w: PHX | L: SEA
1969-12-12 | w: BLT | L: CHI
1969-12-12 | w: MIL | L: SFW
1969-12-12 | w: PHL | L: DET
1969-12-13 | w: MIL | L: ATL
1969-12-13 | w: SFW | L: DET
1969-12-13 | w: BLT | L: SDR
1969-12-13 | w: PHX | L: CIN
1969-12-13 | w: PHL | L: NYK
1969-12-14 | w: LAL | L: SEA
1969-12-14 | w: MIL | L: SDR
1969-12-14 | w: PHL | L: CHI
1969-12-14 | w: CIN | L: PHX
1969-12-16 | w: BOS | L: DET
1969-12-16 | w: SFW | L: SEA
1969-12-16 | w: SDR | L: CHI
1969-12-16 | w: PHL | L: PHX
1969-12-16 | w: ATL | L: NYK
1969-12-17 | w: BLT | L: ATL
1969-12-17 | w: MIL | L: BOS
1969-12-17 | w: SDR | L: DET
1969-12-17 | w: SEA | L: CIN
1969-12-18 | w: CHI | L: ATL
1969-12-19 | w: CIN | L: LAL
1969-12-19 | w: BLT | L: DET
1969-12-19 | w: SEA | L: PHL
1969-12-19 | w: SDR | L: SFW
1969-12-19 | w: NYK | L: CHI
1969-12-19 | w: MIL | L: BOS
1969-12-20 | w: ATL | L: BOS
1969-12-20 | w: PHL | L: SFW
1969-12-20 | w: NYK | L: BLT
1969-12-20 | w: DET | L: PHX
1969-12-20 | w: SDR | L: CIN
1969-12-21 | w: LAL | L: PHL
1969-12-21 | w: ATL | L: CHI
1969-12-21 | w: SEA | L: SDR
1969-12-21 | w: MIL | L: PHX
1969-12-23 | w: BOS | L: CHI
1969-12-23 | w: SFW | L: SEA
1969-12-23 | w: SDR | L: LAL
1969-12-25 | w: PHX | L: BOS
1969-12-25 | w: NYK | L: DET
1969-12-25 | w: BLT | L: PHL
1969-12-25 | w: SFW | L: CIN
1969-12-26 | w: LAL | L: NYK
1969-12-26 | w: MIL | L: DET
1969-12-26 | w: BOS | L: SEA
1969-12-26 | w: PHL | L: SFW
1969-12-26 | w: CIN | L: ATL
1969-12-27 | w: ATL | L: PHL
1969-12-27 | w: NYK | L: SEA
1969-12-27 | w: BLT | L: SFW
1969-12-27 | w: BOS | L: SDR
1969-12-27 | w: CIN | L: MIL
1969-12-28 | w: LAL | L: BOS
1969-12-28 | w: NYK | L: PHX
1969-12-28 | w: MIL | L: BLT
1969-12-28 | w: PHL | L: SFW
1969-12-29 | w: ATL | L: SDR
1969-12-29 | w: CIN | L: DET
1969-12-30 | w: SFW | L: LAL
1969-12-30 | w: NYK | L: CHI
1969-12-30 | w: MIL | L: BLT
1969-12-30 | w: SEA | L: PHX
1969-12-30 | w: CIN | L: SDR
1969-12-31 | w: ATL | L: BLT
1969-12-31 | w: BOS | L: DET
1969-12-31 | w: MIL | L: SDR
1969-12-31 | w: PHL | L: CHI
1970-01-01 | w: CHI | L: SEA
1970-01-02 | w: LAL | L: SFW
1970-01-02 | w: BOS | L: DET
1970-01-02 | w: BLT | L: CIN
1970-01-02 | w: PHX | L: SDR
1970-01-02 | w: MIL | L: NYK
1970-01-02 | w: PHL | L: ATL
1970-01-03 | w: CIN | L: ATL
1970-01-03 | w: SFW | L: CHI
1970-01-03 | w: BOS | L: NYK
1970-01-03 | w: LAL | L: SEA
1970-01-03 | w: PHX | L: DET
1970-01-04 | w: LAL | L: PHX
1970-01-04 | w: DET | L: SEA
1970-01-04 | w: SDR | L: CHI
1970-01-04 | w: ATL | L: MIL
1970-01-04 | w: PHL | L: BOS
1970-01-04 | w: CIN | L: BLT
1970-01-05 | w: SFW | L: DET
1970-01-06 | w: ATL | L: SEA
1970-01-06 | w: NYK | L: BLT
1970-01-06 | w: CHI | L: LAL
1970-01-06 | w: CIN | L: PHX
1970-01-07 | w: ATL | L: BOS
1970-01-07 | w: NYK | L: SFW
1970-01-07 | w: BLT | L: DET
1970-01-07 | w: MIL | L: CIN
1970-01-08 | w: SDR | L: SFW
1970-01-08 | w: CHI | L: PHX
1970-01-09 | w: LAL | L: ATL
1970-01-09 | w: BLT | L: BOS
1970-01-09 | w: NYK | L: SFW
1970-01-09 | w: MIL | L: PHX
1970-01-09 | w: SEA | L: PHL
1970-01-10 | w: PHX | L: PHL
1970-01-10 | w: DET | L: SEA
1970-01-10 | w: BLT | L: ATL
1970-01-10 | w: SDR | L: NYK
1970-01-10 | w: MIL | L: BOS
1970-01-10 | w: CHI | L: LAL
1970-01-11 | w: PHX | L: CIN
1970-01-12 | w: NYK | L: PHX
1970-01-12 | w: DET | L: ATL
1970-01-12 | w: CHI | L: PHL
1970-01-13 | w: BOS | L: SEA
1970-01-13 | w: DET | L: SFW
1970-01-13 | w: BLT | L: SDR
1970-01-13 | w: PHL | L: ATL
1970-01-13 | w: MIL | L: CIN
1970-01-14 | w: BOS | L: DET
1970-01-14 | w: SFW | L: ATL
1970-01-14 | w: SEA | L: PHL
1970-01-14 | w: MIL | L: LAL
1970-01-15 | w: CHI | L: CIN
1970-01-15 | w: PHX | L: BLT
1970-01-16 | w: ATL | L: CIN
1970-01-16 | w: LAL | L: BOS
1970-01-16 | w: NYK | L: DET
1970-01-16 | w: SEA | L: CHI
1970-01-16 | w: PHL | L: SFW
1970-01-17 | w: BLT | L: SDR
1970-01-17 | w: SEA | L: PHX
1970-01-17 | w: CHI | L: MIL
1970-01-18 | w: ATL | L: CHI
1970-01-18 | w: BOS | L: NYK
1970-01-18 | w: DET | L: LAL
1970-01-18 | w: PHX | L: BLT
1970-01-18 | w: MIL | L: SFW
1970-01-18 | w: PHL | L: CIN
1970-01-22 | w: LAL | L: SFW
1970-01-22 | w: BLT | L: DET
1970-01-22 | w: PHX | L: SEA
1970-01-22 | w: MIL | L: SDR
1970-01-22 | w: CIN | L: BOS
1970-01-23 | w: LAL | L: SEA
1970-01-23 | w: NYK | L: CHI
1970-01-23 | w: SFW | L: PHX
1970-01-23 | w: PHL | L: BLT
1970-01-23 | w: DET | L: BOS
1970-01-24 | w: PHX | L: SFW
1970-01-24 | w: NYK | L: SDR
1970-01-24 | w: DET | L: CHI
1970-01-24 | w: BLT | L: PHL
1970-01-24 | w: MIL | L: CIN
1970-01-24 | w: LAL | L: SEA
1970-01-25 | w: LAL | L: PHX
1970-01-25 | w: MIL | L: ATL
1970-01-25 | w: NYK | L: BOS
1970-01-25 | w: CHI | L: DET
1970-01-25 | w: PHL | L: SDR
1970-01-25 | w: CIN | L: BLT
1970-01-26 | w: ATL | L: SFW
1970-01-26 | w: PHL | L: MIL
1970-01-26 | w: CIN | L: CHI
1970-01-27 | w: LAL | L: SDR
1970-01-27 | w: NYK | L: BOS
1970-01-28 | w: BOS | L: PHL
1970-01-28 | w: BLT | L: CHI
1970-01-28 | w: SEA | L: ATL
1970-01-28 | w: LAL | L: SDR
1970-01-28 | w: MIL | L: CIN
1970-01-29 | w: NYK | L: DET
1970-01-29 | w: SEA | L: SFW
1970-01-29 | w: PHX | L: ATL
1970-01-30 | w: LAL | L: ATL
1970-01-30 | w: BOS | L: CIN
1970-01-30 | w: SFW | L: PHX
1970-01-30 | w: DET | L: BLT
1970-01-30 | w: MIL | L: CHI
1970-01-30 | w: NYK | L: PHL
1970-01-30 | w: SDR | L: SEA
1970-01-31 | w: NYK | L: CHI
1970-01-31 | w: BLT | L: BOS
1970-01-31 | w: MIL | L: PHX
1970-01-31 | w: CIN | L: DET
1970-02-01 | w: BLT | L: ATL
1970-02-01 | w: SFW | L: BOS
1970-02-01 | w: NYK | L: DET
1970-02-01 | w: SEA | L: MIL
1970-02-01 | w: CHI | L: CIN
1970-02-01 | w: PHX | L: SDR
1970-02-01 | w: LAL | L: PHL
1970-02-02 | w: ATL | L: DET
1970-02-03 | w: BOS | L: CHI
1970-02-03 | w: NYK | L: SFW
1970-02-03 | w: SEA | L: BLT
1970-02-03 | w: PHX | L: PHL
1970-02-03 | w: LAL | L: CIN
1970-02-04 | w: ATL | L: NYK
1970-02-04 | w: DET | L: LAL
1970-02-04 | w: MIL | L: SDR
1970-02-04 | w: SEA | L: CIN
1970-02-05 | w: SFW | L: CHI
1970-02-06 | w: MIL | L: LAL
1970-02-06 | w: ATL | L: CHI
1970-02-06 | w: BOS | L: SEA
1970-02-06 | w: PHL | L: SDR
1970-02-06 | w: PHX | L: SFW
1970-02-06 | w: NYK | L: CIN
1970-02-06 | w: BLT | L: DET
1970-02-07 | w: PHL | L: SFW
1970-02-07 | w: NYK | L: CIN
1970-02-07 | w: DET | L: SEA
1970-02-07 | w: PHX | L: LAL
1970-02-08 | w: LAL | L: SDR
1970-02-08 | w: BOS | L: CIN
1970-02-08 | w: BLT | L: MIL
1970-02-08 | w: SEA | L: PHL
1970-02-08 | w: CHI | L: ATL
1970-02-10 | w: BLT | L: LAL
1970-02-10 | w: PHX | L: BOS
1970-02-10 | w: SFW | L: ATL
1970-02-10 | w: CIN | L: DET
1970-02-10 | w: MIL | L: PHL
1970-02-11 | w: LAL | L: SFW
1970-02-11 | w: SEA | L: BLT
1970-02-11 | w: ATL | L: SDR
1970-02-11 | w: MIL | L: PHX
1970-02-11 | w: CIN | L: DET
1970-02-11 | w: BOS | L: NYK
1970-02-12 | w: LAL | L: ATL
1970-02-12 | w: CHI | L: PHX
1970-02-13 | w: CIN | L: SFW
1970-02-13 | w: DET | L: PHX
1970-02-13 | w: SEA | L: BLT
1970-02-13 | w: NYK | L: PHL
1970-02-14 | w: NYK | L: PHL
1970-02-14 | w: SDR | L: SFW
1970-02-14 | w: CHI | L: LAL
1970-02-14 | w: MIL | L: BOS
1970-02-15 | w: ATL | L: BOS
1970-02-15 | w: DET | L: CHI
1970-02-15 | w: SDR | L: CIN
1970-02-15 | w: LAL | L: MIL
1970-02-15 | w: PHL | L: PHX
1970-02-16 | w: BOS | L: SFW
1970-02-16 | w: BLT | L: SDR
1970-02-17 | w: NYK | L: LAL
1970-02-17 | w: PHX | L: SEA
1970-02-18 | w: MIL | L: SFW
1970-02-18 | w: BLT | L: LAL
1970-02-18 | w: SDR | L: SEA
1970-02-18 | w: BOS | L: PHX
1970-02-18 | w: ATL | L: CIN
1970-02-19 | w: PHL | L: DET
1970-02-20 | w: LAL | L: MIL
1970-02-20 | w: DET | L: BLT
1970-02-20 | w: BOS | L: SEA
1970-02-20 | w: CHI | L: PHL
1970-02-20 | w: PHX | L: SDR
1970-02-21 | w: SFW | L: BOS
1970-02-21 | w: ATL | L: NYK
1970-02-21 | w: PHL | L: DET
1970-02-21 | w: SDR | L: LAL
1970-02-21 | w: MIL | L: SEA
1970-02-21 | w: CIN | L: CHI
1970-02-22 | w: LAL | L: BOS
1970-02-22 | w: DET | L: ATL
1970-02-22 | w: BLT | L: NYK
1970-02-22 | w: SEA | L: SFW
1970-02-22 | w: MIL | L: PHX
1970-02-22 | w: CIN | L: PHL
1970-02-23 | w: CHI | L: SDR
1970-02-24 | w: ATL | L: LAL
1970-02-24 | w: DET | L: MIL
1970-02-24 | w: BLT | L: SDR
1970-02-24 | w: SEA | L: SFW
1970-02-24 | w: NYK | L: PHX
1970-02-25 | w: BOS | L: SDR
1970-02-25 | w: CHI | L: SFW
1970-02-25 | w: SEA | L: ATL
1970-02-25 | w: MIL | L: BLT
1970-02-25 | w: PHL | L: DET
1970-02-26 | w: PHX | L: DET
1970-02-27 | w: LAL | L: CHI
1970-02-27 | w: PHX | L: BOS
1970-02-27 | w: SEA | L: SFW
1970-02-27 | w: BLT | L: ATL
1970-02-27 | w: MIL | L: DET
1970-02-27 | w: PHL | L: SDR
1970-02-28 | w: NYK | L: BLT
1970-02-28 | w: SEA | L: CHI
1970-03-01 | w: PHX | L: ATL
1970-03-01 | w: LAL | L: BOS
1970-03-01 | w: DET | L: SFW
1970-03-01 | w: SDR | L: CHI
1970-03-01 | w: MIL | L: CIN
1970-03-01 | w: PHL | L: BLT
1970-03-02 | w: BLT | L: CIN
1970-03-03 | w: ATL | L: LAL
1970-03-03 | w: NYK | L: SFW
1970-03-03 | w: SEA | L: SDR
1970-03-03 | w: MIL | L: PHL
1970-03-03 | w: CHI | L: PHX
1970-03-04 | w: BOS | L: SFW
1970-03-04 | w: LAL | L: BLT
1970-03-04 | w: CIN | L: SDR
1970-03-05 | w: ATL | L: MIL
1970-03-06 | w: BLT | L: LAL
1970-03-06 | w: SFW | L: PHX
1970-03-06 | w: MIL | L: DET
1970-03-06 | w: SEA | L: CIN
1970-03-06 | w: PHL | L: BOS
1970-03-06 | w: NYK | L: SDR
1970-03-07 | w: CIN | L: SFW
1970-03-07 | w: DET | L: SDR
1970-03-07 | w: NYK | L: PHL
1970-03-08 | w: LAL | L: CIN
1970-03-08 | w: MIL | L: BOS
1970-03-08 | w: PHL | L: NYK
1970-03-08 | w: BLT | L: SEA
1970-03-08 | w: PHX | L: ATL
1970-03-09 | w: MIL | L: SEA
1970-03-09 | w: PHL | L: SDR
1970-03-10 | w: LAL | L: SFW
1970-03-10 | w: ATL | L: MIL
1970-03-10 | w: NYK | L: SEA
1970-03-10 | w: DET | L: BOS
1970-03-10 | w: CHI | L: SDR
1970-03-11 | w: ATL | L: SDR
1970-03-11 | w: BOS | L: CIN
1970-03-11 | w: SFW | L: BLT
1970-03-12 | w: CIN | L: SDR
1970-03-13 | w: LAL | L: PHL
1970-03-13 | w: BLT | L: SFW
1970-03-13 | w: SEA | L: NYK
1970-03-13 | w: CHI | L: BOS
1970-03-14 | w: NYK | L: SDR
1970-03-14 | w: CHI | L: DET
1970-03-15 | w: LAL | L: NYK
1970-03-15 | w: ATL | L: PHX
1970-03-15 | w: BLT | L: BOS
1970-03-15 | w: SDR | L: PHL
1970-03-15 | w: CHI | L: MIL
1970-03-15 | w: CIN | L: SEA
1970-03-16 | w: CHI | L: CIN
1970-03-17 | w: NYK | L: DET
1970-03-17 | w: SDR | L: BOS
1970-03-17 | w: SEA | L: CHI
1970-03-17 | w: PHX | L: SFW
1970-03-17 | w: ATL | L: PHL
1970-03-18 | w: BOS | L: LAL
1970-03-18 | w: MIL | L: NYK
1970-03-18 | w: PHL | L: BLT
1970-03-19 | w: SDR | L: DET
1970-03-19 | w: PHX | L: BOS
1970-03-20 | w: LAL | L: DET
1970-03-20 | w: ATL | L: NYK
1970-03-20 | w: SEA | L: BOS
1970-03-20 | w: BLT | L: CHI
1970-03-20 | w: PHX | L: SDR
1970-03-20 | w: MIL | L: PHL
1970-03-20 | w: SFW | L: CIN
1970-03-21 | w: BLT | L: SFW
1970-03-21 | w: CIN | L: NYK
1970-03-22 | w: LAL | L: SEA
1970-03-22 | w: BOS | L: NYK
1970-03-22 | w: ATL | L: DET
1970-03-22 | w: PHX | L: SDR
1970-03-22 | w: CHI | L: MIL
1970-03-22 | w: PHL | L: SFW
============ End of Regular Season ============
1970-03-25 | w: LAL | L: PHX
1970-03-25 | w: ATL | L: CHI
1970-03-25 | w: MIL | L: PHL
1970-03-26 | w: NYK | L: BLT
1970-03-27 | w: NYK | L: BLT
1970-03-27 | w: PHL | L: MIL
1970-03-28 | w: ATL | L: CHI
1970-03-29 | w: PHX | L: LAL
1970-03-29 | w: BLT | L: NYK
1970-03-30 | w: MIL | L: PHL
1970-03-31 | w: BLT | L: NYK
1970-03-31 | w: ATL | L: CHI
1970-04-01 | w: MIL | L: PHL
1970-04-02 | w: NYK | L: BLT
1970-04-02 | w: PHX | L: LAL
1970-04-03 | w: CHI | L: ATL
1970-04-03 | w: MIL | L: PHL
1970-04-04 | w: PHX | L: LAL
1970-04-05 | w: LAL | L: PHX
1970-04-05 | w: ATL | L: CHI
1970-04-05 | w: BLT | L: NYK
1970-04-06 | w: NYK | L: BLT
1970-04-07 | w: LAL | L: PHX
1970-04-09 | w: LAL | L: PHX
1970-04-11 | w: NYK | L: MIL
1970-04-12 | w: LAL | L: ATL
1970-04-13 | w: NYK | L: MIL
1970-04-14 | w: LAL | L: ATL
1970-04-17 | w: LAL | L: ATL
1970-04-17 | w: MIL | L: NYK
1970-04-19 | w: LAL | L: ATL
1970-04-19 | w: NYK | L: MIL
1970-04-20 | w: NYK | L: MIL
1970-04-24 | w: NYK | L: LAL
1970-04-27 | w: LAL | L: NYK
1970-04-29 | w: NYK | L: LAL
1970-05-01 | w: LAL | L: NYK
1970-05-04 | w: NYK | L: LAL
1970-05-06 | w: LAL | L: NYK
1970-05-08 | w: NYK | L: LAL
============ End of Playoffs ============
