============ Start of Season ============
2004-11-02 | w: DET | L: HOU
2004-12-18 | w: PHI | L: MIL
2004-12-18 | w: ORL | L: DEN
2004-12-19 | w: MEM | L: LAC
2004-12-19 | w: SAC | L: NOH
2004-12-19 | w: MIA | L: ORL
2004-12-19 | w: NYK | L: UTA
2004-12-19 | w: TOR | L: NJN
2004-12-20 | w: PHX | L: DEN
2004-12-20 | w: WAS | L: GSW
2004-12-20 | w: CHI | L: POR
2004-12-20 | w: UTA | L: PHI
2004-12-20 | w: HOU | L: TOR
2004-12-20 | w: MEM | L: LAL
2004-12-21 | w: SAC | L: WAS
2004-12-21 | w: NJN | L: CHA
2004-12-21 | w: LAC | L: NOH
2004-12-21 | w: CLE | L: MIN
2004-12-21 | w: MIA | L: BOS
2004-12-21 | w: DAL | L: NYK
2004-12-22 | w: CHA | L: HOU
2004-12-22 | w: NJN | L: CLE
2004-12-22 | w: GSW | L: MEM
2004-12-22 | w: TOR | L: UTA
2004-12-22 | w: CHI | L: DET
2004-12-22 | w: ATL | L: DAL
2004-12-22 | w: ORL | L: SAS
2004-12-22 | w: POR | L: MIL
2004-12-22 | w: LAL | L: NOH
2004-12-22 | w: BOS | L: NYK
2004-12-22 | w: PHI | L: IND
2004-12-22 | w: SEA | L: DEN
2004-12-23 | w: SAS | L: MIN
2004-12-23 | w: MIA | L: SAC
2004-12-23 | w: PHX | L: MEM
2004-12-25 | w: DET | L: IND
2004-12-25 | w: MIA | L: LAL
2004-12-26 | w: NYK | L: CHA
2004-12-26 | w: PHX | L: TOR
2004-12-26 | w: DAL | L: DEN
2004-12-26 | w: CLE | L: NOH
2004-12-26 | w: SAS | L: BOS
2004-12-26 | w: GSW | L: SAC
2004-12-26 | w: MIL | L: CHI
2004-12-26 | w: MIN | L: WAS
2004-12-26 | w: HOU | L: LAC
2004-12-27 | w: WAS | L: CHA
2004-12-27 | w: SEA | L: UTA
2004-12-27 | w: GSW | L: DEN
2004-12-27 | w: IND | L: NOH
2004-12-27 | w: PHI | L: POR
2004-12-27 | w: DET | L: NJN
2004-12-27 | w: NYK | L: ORL
2004-12-27 | w: MIA | L: ATL
2004-12-27 | w: MEM | L: LAC
2004-12-28 | w: MIL | L: HOU
2004-12-28 | w: SAS | L: PHX
2004-12-28 | w: CLE | L: ATL
2004-12-28 | w: NJN | L: CHI
2004-12-28 | w: DAL | L: BOS
2004-12-28 | w: PHI | L: SEA
2004-12-28 | w: LAL | L: TOR
2004-12-29 | w: HOU | L: CLE
2004-12-29 | w: DET | L: WAS
2004-12-29 | w: PHX | L: NOH
2004-12-29 | w: IND | L: CHA
2004-12-29 | w: GSW | L: TOR
2004-12-29 | w: LAC | L: UTA
2004-12-29 | w: MIL | L: ORL
2004-12-29 | w: MEM | L: BOS
2004-12-29 | w: NYK | L: MIN
2004-12-30 | w: IND | L: NJN
2004-12-30 | w: SEA | L: ATL
2004-12-30 | w: MIA | L: DET
2004-12-30 | w: SAS | L: POR
2004-12-31 | w: SAC | L: UTA
2004-12-31 | w: BOS | L: WAS
2004-12-31 | w: SEA | L: CHA
2004-12-31 | w: HOU | L: MIL
2004-12-31 | w: SAS | L: LAC
2004-12-31 | w: DEN | L: PHI
2005-01-01 | w: MIA | L: CHA
2005-01-01 | w: POR | L: GSW
2005-01-01 | w: MEM | L: MIN
2005-01-01 | w: NJN | L: NYK
2005-01-01 | w: CHI | L: ORL
2005-01-02 | w: DET | L: BOS
2005-01-02 | w: HOU | L: UTA
2005-01-02 | w: PHX | L: POR
2005-01-02 | w: LAC | L: PHI
2005-01-02 | w: SAC | L: SAS
2005-01-02 | w: DAL | L: MIL
2005-01-02 | w: LAL | L: DEN
2005-01-02 | w: WAS | L: ATL
2005-01-03 | w: DET | L: CHI
2005-01-03 | w: SEA | L: MIA
2005-01-03 | w: CLE | L: CHA
2005-01-03 | w: TOR | L: ORL
2005-01-03 | w: LAC | L: DEN
2005-01-03 | w: PHI | L: GSW
2005-01-03 | w: MEM | L: UTA
2005-01-03 | w: BOS | L: NOH
2005-01-04 | w: PHX | L: MIN
2005-01-04 | w: SAC | L: NYK
2005-01-04 | w: IND | L: MIL
2005-01-04 | w: WAS | L: NJN
2005-01-04 | w: SAS | L: LAL
2005-01-05 | w: TOR | L: SAC
2005-01-05 | w: ORL | L: SEA
2005-01-05 | w: PHX | L: HOU
2005-01-05 | w: LAC | L: POR
2005-01-05 | w: DAL | L: LAL
2005-01-05 | w: CHA | L: MIN
2005-01-05 | w: PHI | L: UTA
2005-01-05 | w: CLE | L: ATL
2005-01-05 | w: MIL | L: NJN
2005-01-05 | w: CHI | L: NOH
2005-01-05 | w: BOS | L: GSW
2005-01-05 | w: MIA | L: NYK
2005-01-06 | w: WAS | L: SEA
2005-01-06 | w: SAS | L: IND
2005-01-06 | w: MEM | L: DET
2005-01-07 | w: ORL | L: CHA
2005-01-07 | w: DET | L: BOS
2005-01-07 | w: LAL | L: HOU
2005-01-07 | w: SAC | L: ATL
2005-01-07 | w: NJN | L: GSW
2005-01-07 | w: MIA | L: POR
2005-01-07 | w: CHI | L: UTA
2005-01-07 | w: MIL | L: TOR
2005-01-07 | w: MIN | L: PHI
2005-01-07 | w: MEM | L: NOH
2005-01-08 | w: PHX | L: LAC
2005-01-08 | w: NOH | L: SAC
2005-01-08 | w: SAS | L: DEN
2005-01-08 | w: CHI | L: BOS
2005-01-08 | w: WAS | L: MIN
2005-01-08 | w: CLE | L: NYK
2005-01-08 | w: ORL | L: NJN
2005-01-08 | w: DAL | L: IND
2005-01-08 | w: MIL | L: UTA
2005-01-09 | w: HOU | L: DEN
2005-01-09 | w: PHX | L: IND
2005-01-09 | w: TOR | L: GSW
2005-01-09 | w: NYK | L: POR
2005-01-09 | w: SEA | L: MIA
2005-01-10 | w: UTA | L: SAS
2005-01-10 | w: CHI | L: GSW
2005-01-10 | w: POR | L: PHI
2005-01-10 | w: BOS | L: ORL
2005-01-10 | w: LAL | L: MIN
2005-01-11 | w: DET | L: NJN
2005-01-11 | w: CLE | L: CHA
2005-01-11 | w: IND | L: MEM
2005-01-11 | w: SEA | L: LAC
2005-01-11 | w: ATL | L: MIL
2005-01-11 | w: SAC | L: DEN
2005-01-11 | w: NOH | L: NYK
2005-01-11 | w: PHX | L: MIA
2005-01-12 | w: HOU | L: DAL
2005-01-12 | w: UTA | L: PHX
2005-01-12 | w: CHI | L: PHI
2005-01-12 | w: WAS | L: POR
2005-01-12 | w: TOR | L: BOS
2005-01-12 | w: SAS | L: MIL
2005-01-12 | w: MIA | L: GSW
2005-01-12 | w: DET | L: NOH
2005-01-12 | w: DEN | L: LAL
2005-01-12 | w: ORL | L: MIN
2005-01-12 | w: LAC | L: SEA
2005-01-13 | w: LAL | L: CLE
2005-01-13 | w: HOU | L: NJN
2005-01-13 | w: SAC | L: UTA
2005-01-14 | w: IND | L: PHX
2005-01-14 | w: WAS | L: MIL
2005-01-14 | w: PHI | L: TOR
2005-01-14 | w: SEA | L: GSW
2005-01-14 | w: SAS | L: DAL
2005-01-14 | w: DET | L: ORL
2005-01-14 | w: LAC | L: MIA
2005-01-14 | w: MIN | L: DEN
2005-01-14 | w: NOH | L: POR
2005-01-14 | w: BOS | L: ATL
2005-01-14 | w: MEM | L: CHA
2005-01-15 | w: ATL | L: CHA
2005-01-15 | w: CLE | L: UTA
2005-01-15 | w: WAS | L: PHX
2005-01-15 | w: ORL | L: IND
2005-01-15 | w: CHI | L: NYK
2005-01-15 | w: SAC | L: LAC
2005-01-15 | w: DET | L: PHI
2005-01-15 | w: DAL | L: NJN
2005-01-15 | w: HOU | L: SAS
2005-01-15 | w: MIN | L: POR
2005-01-15 | w: LAL | L: GSW
2005-01-15 | w: MEM | L: MIL
2005-01-16 | w: SEA | L: CLE
2005-01-16 | w: TOR | L: NOH
2005-01-17 | w: MEM | L: HOU
2005-01-17 | w: SAC | L: LAC
2005-01-17 | w: SAS | L: WAS
2005-01-17 | w: PHI | L: NOH
2005-01-17 | w: MIL | L: CHA
2005-01-17 | w: NJN | L: ATL
2005-01-17 | w: CHI | L: NYK
2005-01-17 | w: TOR | L: MIN
2005-01-17 | w: GSW | L: DEN
2005-01-17 | w: DET | L: PHX
2005-01-17 | w: UTA | L: LAL
2005-01-18 | w: ORL | L: DET
2005-01-18 | w: IND | L: HOU
2005-01-18 | w: DAL | L: WAS
2005-01-18 | w: DEN | L: SEA
2005-01-18 | w: SAC | L: POR
2005-01-19 | w: NOH | L: IND
2005-01-19 | w: TOR | L: NYK
2005-01-19 | w: SAS | L: LAC
2005-01-19 | w: PHI | L: CHA
2005-01-19 | w: LAL | L: MIN
2005-01-19 | w: BOS | L: CHI
2005-01-19 | w: MIA | L: ATL
2005-01-19 | w: NJN | L: MIL
2005-01-19 | w: CLE | L: POR
2005-01-19 | w: MEM | L: PHX
2005-01-20 | w: HOU | L: ORL
2005-01-20 | w: SAC | L: CLE
2005-01-20 | w: DAL | L: LAC
2005-01-21 | w: MIL | L: DET
2005-01-21 | w: HOU | L: NYK
2005-01-21 | w: IND | L: MIA
2005-01-21 | w: DAL | L: CHA
2005-01-21 | w: DEN | L: MEM
2005-01-21 | w: NJN | L: BOS
2005-01-21 | w: SAS | L: PHX
2005-01-21 | w: WAS | L: TOR
2005-01-21 | w: MIN | L: SEA
2005-01-21 | w: LAL | L: GSW
2005-01-21 | w: CHI | L: ATL
2005-01-22 | w: WAS | L: IND
2005-01-22 | w: ATL | L: BOS
2005-01-22 | w: MEM | L: UTA
2005-01-22 | w: CHI | L: DET
2005-01-22 | w: MIN | L: POR
2005-01-22 | w: ORL | L: PHI
2005-01-22 | w: NOH | L: LAC
2005-01-22 | w: CLE | L: GSW
2005-01-23 | w: TOR | L: CHA
2005-01-23 | w: PHX | L: NJN
2005-01-23 | w: DAL | L: DEN
2005-01-23 | w: SEA | L: UTA
2005-01-23 | w: SAS | L: SAC
2005-01-23 | w: MIL | L: NYK
2005-01-23 | w: MIA | L: NOH
2005-01-24 | w: MIN | L: DET
2005-01-24 | w: WAS | L: CLE
2005-01-24 | w: POR | L: SAS
2005-01-24 | w: CHI | L: ATL
2005-01-24 | w: LAC | L: DAL
2005-01-24 | w: HOU | L: ORL
2005-01-24 | w: PHI | L: MIA
2005-01-25 | w: SEA | L: LAL
2005-01-25 | w: PHX | L: NYK
2005-01-25 | w: CHI | L: DEN
2005-01-25 | w: BOS | L: CHA
2005-01-25 | w: SAC | L: NJN
2005-01-25 | w: MEM | L: ORL
2005-01-26 | w: HOU | L: NOH
2005-01-26 | w: UTA | L: SEA
2005-01-26 | w: BOS | L: IND
2005-01-26 | w: PHX | L: MIL
2005-01-26 | w: WAS | L: PHI
2005-01-26 | w: DET | L: DEN
2005-01-26 | w: DAL | L: POR
2005-01-26 | w: CLE | L: MEM
2005-01-26 | w: MIA | L: TOR
2005-01-26 | w: NJN | L: GSW
2005-01-26 | w: LAC | L: LAL
2005-01-26 | w: MIN | L: ATL
2005-01-27 | w: DET | L: IND
2005-01-27 | w: CHI | L: CHA
2005-01-27 | w: SAS | L: SAC
2005-01-28 | w: ORL | L: WAS
2005-01-28 | w: PHX | L: BOS
2005-01-28 | w: SAC | L: HOU
2005-01-28 | w: SEA | L: GSW
2005-01-28 | w: NYK | L: CLE
2005-01-28 | w: MIA | L: ATL
2005-01-28 | w: POR | L: LAC
2005-01-28 | w: CHA | L: TOR
2005-01-28 | w: DEN | L: MIL
2005-01-28 | w: MIN | L: UTA
2005-01-28 | w: NOH | L: PHI
2005-01-28 | w: NJN | L: LAL
2005-01-29 | w: ORL | L: WAS
2005-01-29 | w: PHI | L: DAL
2005-01-29 | w: DEN | L: IND
2005-01-29 | w: NJN | L: UTA
2005-01-29 | w: DET | L: NYK
2005-01-29 | w: SAS | L: NOH
2005-01-29 | w: BOS | L: CHI
2005-01-29 | w: LAC | L: GSW
2005-01-29 | w: MEM | L: ATL
2005-01-30 | w: MIA | L: HOU
2005-01-30 | w: LAL | L: CHA
2005-01-30 | w: PHX | L: TOR
2005-01-30 | w: SAC | L: MIN
2005-01-30 | w: CLE | L: MIL
2005-01-31 | w: HOU | L: BOS
2005-01-31 | w: PHI | L: IND
2005-01-31 | w: ATL | L: ORL
2005-01-31 | w: LAC | L: NYK
2005-01-31 | w: SAS | L: SEA
2005-01-31 | w: MEM | L: NOH
2005-02-01 | w: DET | L: WAS
2005-02-01 | w: CHA | L: UTA
2005-02-01 | w: ORL | L: CLE
2005-02-01 | w: MEM | L: PHX
2005-02-01 | w: SEA | L: SAC
2005-02-01 | w: DAL | L: MIA
2005-02-01 | w: NJN | L: CHI
2005-02-01 | w: DEN | L: NYK
2005-02-01 | w: LAL | L: POR
2005-02-01 | w: MIL | L: MIN
2005-02-02 | w: HOU | L: PHI
2005-02-02 | w: PHX | L: MIN
2005-02-02 | w: SAC | L: GSW
2005-02-02 | w: TOR | L: IND
2005-02-02 | w: POR | L: DEN
2005-02-02 | w: DET | L: ATL
2005-02-02 | w: BOS | L: NJN
2005-02-02 | w: DAL | L: NOH
2005-02-03 | w: MIA | L: CLE
2005-02-03 | w: SAS | L: LAL
2005-02-03 | w: LAC | L: MEM
2005-02-04 | w: HOU | L: MIN
2005-02-04 | w: POR | L: CHA
2005-02-04 | w: TOR | L: WAS
2005-02-04 | w: PHI | L: ATL
2005-02-04 | w: SAC | L: NYK
2005-02-04 | w: GSW | L: NOH
2005-02-04 | w: IND | L: DAL
2005-02-04 | w: BOS | L: ORL
2005-02-04 | w: MIL | L: LAC
2005-02-05 | w: NJN | L: DET
2005-02-05 | w: SEA | L: CHA
2005-02-05 | w: IND | L: ATL
2005-02-05 | w: POR | L: SAC
2005-02-05 | w: DEN | L: GSW
2005-02-05 | w: PHX | L: NYK
2005-02-05 | w: WAS | L: MIL
2005-02-05 | w: UTA | L: NOH
2005-02-05 | w: CLE | L: ORL
2005-02-05 | w: MIA | L: CHI
2005-02-06 | w: DAL | L: TOR
2005-02-06 | w: PHI | L: LAC
2005-02-06 | w: HOU | L: LAL
2005-02-06 | w: BOS | L: MIN
2005-02-07 | w: NJN | L: PHI
2005-02-07 | w: ATL | L: LAL
2005-02-07 | w: NYK | L: UTA
