============ Start of Season ============
1975-10-23 | w: ATL | L: NOJ
1975-11-08 | w: BUF | L: PHX
1975-11-09 | w: LAL | L: KCK
1975-11-09 | w: POR | L: NYK
1975-11-09 | w: SEA | L: NOJ
1975-11-11 | w: ATL | L: BOS
1975-11-11 | w: GOS | L: CLE
1975-11-11 | w: PHX | L: NYK
1975-11-11 | w: MIL | L: PHL
1975-11-11 | w: POR | L: NOJ
1975-11-11 | w: WAS | L: BUF
1975-11-12 | w: LAL | L: NOJ
1975-11-12 | w: ATL | L: DET
1975-11-12 | w: KCK | L: SEA
1975-11-12 | w: BUF | L: HOU
1975-11-12 | w: MIL | L: PHL
1975-11-13 | w: GOS | L: CHI
1975-11-13 | w: NYK | L: HOU
1975-11-13 | w: WAS | L: BOS
1975-11-13 | w: PHX | L: SEA
1975-11-14 | w: LAL | L: PHX
1975-11-14 | w: ATL | L: WAS
1975-11-14 | w: PHL | L: BOS
1975-11-14 | w: BUF | L: MIL
1975-11-14 | w: POR | L: CHI
1975-11-14 | w: SEA | L: CLE
1975-11-15 | w: GOS | L: KCK
1975-11-15 | w: NYK | L: ATL
1975-11-15 | w: DET | L: MIL
1975-11-15 | w: HOU | L: NOJ
1975-11-15 | w: CLE | L: POR
1975-11-15 | w: BOS | L: BUF
1975-11-15 | w: PHL | L: WAS
1975-11-16 | w: LAL | L: CHI
1975-11-16 | w: ATL | L: NYK
1975-11-16 | w: SEA | L: GOS
1975-11-18 | w: NYK | L: POR
1975-11-18 | w: HOU | L: CLE
1975-11-18 | w: GOS | L: NOJ
1975-11-18 | w: BUF | L: LAL
1975-11-19 | w: DET | L: POR
1975-11-19 | w: SEA | L: CHI
1975-11-19 | w: LAL | L: HOU
1975-11-19 | w: MIL | L: PHX
1975-11-19 | w: PHL | L: KCK
1975-11-19 | w: ATL | L: GOS
1975-11-20 | w: WAS | L: ATL
1975-11-20 | w: BUF | L: CLE
1975-11-21 | w: LAL | L: MIL
1975-11-21 | w: BOS | L: NYK
1975-11-21 | w: DET | L: BUF
1975-11-21 | w: PHX | L: HOU
1975-11-21 | w: PHL | L: POR
1975-11-21 | w: KCK | L: CHI
1975-11-22 | w: NOJ | L: ATL
1975-11-22 | w: CLE | L: NYK
1975-11-22 | w: GOS | L: WAS
1975-11-22 | w: POR | L: BUF
1975-11-23 | w: LAL | L: HOU
1975-11-23 | w: ATL | L: PHL
1975-11-23 | w: SEA | L: MIL
1975-11-23 | w: BOS | L: CLE
1975-11-25 | w: HOU | L: WAS
1975-11-25 | w: CLE | L: CHI
1975-11-25 | w: PHL | L: GOS
1975-11-25 | w: SEA | L: NYK
1975-11-26 | w: POR | L: LAL
1975-11-26 | w: SEA | L: BOS
1975-11-26 | w: DET | L: KCK
1975-11-26 | w: HOU | L: WAS
1975-11-26 | w: PHX | L: BUF
1975-11-26 | w: ATL | L: NOJ
1975-11-27 | w: NYK | L: WAS
1975-11-27 | w: GOS | L: MIL
1975-11-27 | w: KCK | L: CLE
1975-11-28 | w: LAL | L: BUF
1975-11-28 | w: BOS | L: ATL
1975-11-28 | w: CHI | L: MIL
1975-11-28 | w: PHX | L: POR
1975-11-28 | w: PHL | L: SEA
1975-11-28 | w: KCK | L: NOJ
1975-11-29 | w: GOS | L: PHX
1975-11-29 | w: DET | L: NYK
1975-11-29 | w: HOU | L: PHL
1975-11-29 | w: MIL | L: CHI
1975-11-29 | w: POR | L: BUF
1975-11-29 | w: CLE | L: SEA
1975-11-30 | w: LAL | L: POR
1975-11-30 | w: KCK | L: NYK
1975-11-30 | w: PHL | L: NOJ
1975-12-02 | w: BOS | L: NYK
1975-12-02 | w: WAS | L: LAL
1975-12-02 | w: HOU | L: CHI
1975-12-02 | w: PHX | L: GOS
1975-12-02 | w: CLE | L: POR
1975-12-02 | w: SEA | L: KCK
1975-12-02 | w: NOJ | L: BUF
1975-12-03 | w: CHI | L: BOS
1975-12-03 | w: LAL | L: DET
1975-12-03 | w: HOU | L: SEA
1975-12-03 | w: MIL | L: POR
1975-12-03 | w: PHL | L: NOJ
1975-12-04 | w: ATL | L: POR
1975-12-04 | w: KCK | L: CLE
1975-12-05 | w: BOS | L: NOJ
1975-12-05 | w: DET | L: HOU
1975-12-05 | w: WAS | L: PHX
1975-12-05 | w: MIL | L: KCK
1975-12-05 | w: PHL | L: NYK
1975-12-05 | w: BUF | L: CLE
1975-12-06 | w: BOS | L: ATL
1975-12-06 | w: GOS | L: SEA
1975-12-06 | w: NYK | L: BUF
1975-12-06 | w: HOU | L: DET
1975-12-06 | w: POR | L: CHI
1975-12-06 | w: PHL | L: KCK
1975-12-07 | w: LAL | L: WAS
1975-12-07 | w: GOS | L: SEA
1975-12-07 | w: PHX | L: CHI
1975-12-09 | w: GOS | L: DET
1975-12-09 | w: MIL | L: NYK
1975-12-09 | w: WAS | L: POR
1975-12-09 | w: PHL | L: CLE
1975-12-09 | w: PHX | L: NOJ
1975-12-09 | w: BUF | L: KCK
1975-12-10 | w: BOS | L: MIL
1975-12-10 | w: SEA | L: CHI
1975-12-10 | w: PHX | L: HOU
1975-12-10 | w: KCK | L: ATL
1975-12-11 | w: ATL | L: BUF
1975-12-11 | w: GOS | L: POR
1975-12-11 | w: WAS | L: NOJ
1975-12-11 | w: PHL | L: PHX
1975-12-11 | w: CLE | L: NYK
1975-12-12 | w: LAL | L: PHL
1975-12-12 | w: BOS | L: WAS
1975-12-12 | w: SEA | L: DET
1975-12-12 | w: CLE | L: MIL
1975-12-12 | w: KCK | L: CHI
1975-12-12 | w: BUF | L: NYK
1975-12-13 | w: ATL | L: KCK
1975-12-13 | w: NYK | L: WAS
1975-12-13 | w: BOS | L: HOU
1975-12-13 | w: BUF | L: CHI
1975-12-13 | w: PHX | L: LAL
1975-12-13 | w: POR | L: DET
1975-12-13 | w: CLE | L: NOJ
1975-12-14 | w: LAL | L: DET
1975-12-14 | w: SEA | L: PHL
1975-12-14 | w: PHX | L: POR
1975-12-14 | w: GOS | L: KCK
1975-12-14 | w: BOS | L: NOJ
1975-12-16 | w: CLE | L: LAL
1975-12-16 | w: NYK | L: ATL
1975-12-16 | w: WAS | L: BUF
1975-12-16 | w: GOS | L: CHI
1975-12-16 | w: PHL | L: POR
1975-12-16 | w: HOU | L: KCK
1975-12-17 | w: BOS | L: KCK
1975-12-17 | w: GOS | L: DET
1975-12-17 | w: CLE | L: SEA
1975-12-17 | w: PHX | L: MIL
1975-12-17 | w: NOJ | L: WAS
1975-12-17 | w: BUF | L: HOU
1975-12-18 | w: ATL | L: LAL
1975-12-19 | w: BOS | L: NYK
1975-12-19 | w: SEA | L: NOJ
1975-12-19 | w: HOU | L: ATL
1975-12-19 | w: CHI | L: LAL
1975-12-19 | w: CLE | L: PHX
1975-12-19 | w: BUF | L: WAS
1975-12-19 | w: PHL | L: DET
1975-12-20 | w: ATL | L: HOU
1975-12-20 | w: GOS | L: MIL
1975-12-20 | w: NYK | L: CHI
1975-12-20 | w: WAS | L: DET
1975-12-20 | w: NOJ | L: POR
1975-12-20 | w: BOS | L: PHL
1975-12-20 | w: BUF | L: KCK
1975-12-21 | w: MIL | L: SEA
1975-12-21 | w: NOJ | L: PHX
1975-12-21 | w: GOS | L: POR
1975-12-21 | w: CLE | L: LAL
1975-12-21 | w: CHI | L: ATL
1975-12-23 | w: LAL | L: KCK
1975-12-23 | w: GOS | L: NOJ
1975-12-23 | w: WAS | L: DET
1975-12-23 | w: HOU | L: CHI
1975-12-23 | w: NYK | L: MIL
1975-12-23 | w: POR | L: SEA
1975-12-23 | w: BUF | L: BOS
1975-12-25 | w: NYK | L: PHL
1975-12-25 | w: WAS | L: ATL
1975-12-25 | w: PHX | L: KCK
1975-12-25 | w: NOJ | L: HOU
1975-12-26 | w: LAL | L: POR
1975-12-26 | w: DET | L: CHI
1975-12-26 | w: SEA | L: KCK
1975-12-26 | w: BOS | L: PHX
1975-12-26 | w: MIL | L: WAS
1975-12-26 | w: PHL | L: BUF
1975-12-26 | w: ATL | L: CLE
1975-12-27 | w: ATL | L: MIL
1975-12-27 | w: HOU | L: GOS
1975-12-27 | w: NYK | L: NOJ
1975-12-27 | w: CLE | L: WAS
1975-12-27 | w: LAL | L: SEA
1975-12-27 | w: CHI | L: DET
1975-12-27 | w: BUF | L: PHL
1975-12-28 | w: BOS | L: LAL
1975-12-28 | w: SEA | L: HOU
1975-12-28 | w: MIL | L: PHX
1975-12-28 | w: POR | L: GOS
1975-12-28 | w: CLE | L: BUF
1975-12-28 | w: DET | L: KCK
1975-12-29 | w: NYK | L: CHI
1975-12-30 | w: SEA | L: LAL
1975-12-30 | w: GOS | L: BOS
1975-12-30 | w: NYK | L: PHX
1975-12-30 | w: WAS | L: CHI
1975-12-30 | w: CLE | L: KCK
1975-12-30 | w: PHL | L: DET
1975-12-30 | w: BUF | L: MIL
1976-01-01 | w: WAS | L: PHX
1976-01-01 | w: HOU | L: POR
1976-01-02 | w: GOS | L: LAL
1976-01-02 | w: MIL | L: DET
1976-01-02 | w: BOS | L: SEA
1976-01-02 | w: PHL | L: CLE
1976-01-02 | w: NOJ | L: ATL
1976-01-02 | w: BUF | L: NYK
1976-01-02 | w: WAS | L: CHI
1976-01-03 | w: PHX | L: ATL
1976-01-03 | w: GOS | L: LAL
1976-01-03 | w: NYK | L: BUF
1976-01-03 | w: WAS | L: PHL
1976-01-03 | w: MIL | L: HOU
1976-01-03 | w: POR | L: BOS
1976-01-03 | w: DET | L: CLE
1976-01-03 | w: NOJ | L: KCK
1976-01-04 | w: LAL | L: POR
1976-01-04 | w: SEA | L: GOS
1976-01-04 | w: KCK | L: PHX
1976-01-05 | w: CHI | L: HOU
1976-01-06 | w: NOJ | L: CHI
1976-01-06 | w: ATL | L: MIL
1976-01-06 | w: NYK | L: POR
1976-01-06 | w: WAS | L: KCK
1976-01-06 | w: BUF | L: LAL
1976-01-07 | w: BOS | L: LAL
1976-01-07 | w: SEA | L: NYK
1976-01-07 | w: KCK | L: HOU
1976-01-07 | w: GOS | L: PHX
1976-01-07 | w: PHL | L: MIL
1976-01-07 | w: DET | L: CLE
1976-01-08 | w: HOU | L: ATL
1976-01-08 | w: GOS | L: PHX
1976-01-08 | w: CLE | L: PHL
1976-01-08 | w: NOJ | L: KCK
1976-01-09 | w: BOS | L: WAS
1976-01-09 | w: MIL | L: DET
1976-01-09 | w: PHL | L: LAL
1976-01-09 | w: CHI | L: BUF
1976-01-09 | w: SEA | L: PHX
1976-01-10 | w: CLE | L: ATL
1976-01-10 | w: GOS | L: NYK
1976-01-10 | w: NOJ | L: DET
1976-01-10 | w: WAS | L: MIL
1976-01-10 | w: HOU | L: POR
1976-01-10 | w: CHI | L: KCK
1976-01-11 | w: POR | L: ATL
1976-01-11 | w: BUF | L: SEA
1976-01-11 | w: NYK | L: PHX
1976-01-11 | w: MIL | L: LAL
1976-01-11 | w: PHL | L: BOS
1976-01-11 | w: CLE | L: WAS
1976-01-11 | w: KCK | L: DET
1976-01-13 | w: BOS | L: POR
1976-01-13 | w: GOS | L: BUF
1976-01-13 | w: LAL | L: CHI
1976-01-13 | w: MIL | L: SEA
1976-01-14 | w: SEA | L: ATL
1976-01-14 | w: WAS | L: CLE
1976-01-14 | w: KCK | L: BOS
1976-01-14 | w: PHL | L: NOJ
1976-01-14 | w: NYK | L: HOU
1976-01-15 | w: BUF | L: PHX
1976-01-15 | w: ATL | L: CLE
1976-01-16 | w: BOS | L: PHL
1976-01-16 | w: POR | L: DET
1976-01-16 | w: WAS | L: SEA
1976-01-16 | w: GOS | L: HOU
1976-01-16 | w: BUF | L: CHI
1976-01-16 | w: NOJ | L: MIL
1976-01-16 | w: NYK | L: KCK
1976-01-17 | w: ATL | L: GOS
1976-01-17 | w: WAS | L: PHL
1976-01-17 | w: NOJ | L: HOU
1976-01-17 | w: BOS | L: CHI
1976-01-17 | w: CLE | L: PHX
1976-01-17 | w: POR | L: KCK
1976-01-17 | w: BUF | L: SEA
1976-01-18 | w: PHX | L: DET
1976-01-18 | w: BOS | L: MIL
1976-01-19 | w: HOU | L: WAS
1976-01-20 | w: NYK | L: POR
1976-01-20 | w: DET | L: WAS
1976-01-20 | w: ATL | L: CHI
1976-01-20 | w: PHL | L: MIL
1976-01-20 | w: CLE | L: BOS
1976-01-20 | w: GOS | L: KCK
1976-01-20 | w: BUF | L: PHX
1976-01-21 | w: BUF | L: ATL
1976-01-21 | w: BOS | L: PHX
1976-01-21 | w: DET | L: SEA
1976-01-21 | w: CHI | L: NOJ
1976-01-22 | w: GOS | L: LAL
1976-01-22 | w: WAS | L: NOJ
1976-01-22 | w: CLE | L: SEA
1976-01-23 | w: BOS | L: DET
1976-01-23 | w: NYK | L: PHL
1976-01-23 | w: PHX | L: HOU
1976-01-23 | w: MIL | L: KCK
1976-01-23 | w: POR | L: LAL
1976-01-23 | w: BUF | L: ATL
1976-01-24 | w: NYK | L: DET
1976-01-24 | w: HOU | L: SEA
1976-01-24 | w: WAS | L: PHX
1976-01-24 | w: CLE | L: MIL
1976-01-24 | w: PHL | L: ATL
1976-01-24 | w: POR | L: GOS
1976-01-25 | w: WAS | L: LAL
1976-01-25 | w: PHL | L: ATL
1976-01-25 | w: BOS | L: BUF
1976-01-25 | w: KCK | L: CHI
1976-01-26 | w: GOS | L: MIL
1976-01-27 | w: ATL | L: NYK
1976-01-27 | w: HOU | L: PHL
1976-01-27 | w: CHI | L: GOS
1976-01-27 | w: POR | L: WAS
1976-01-27 | w: CLE | L: DET
1976-01-27 | w: KCK | L: MIL
1976-01-27 | w: BUF | L: NOJ
1976-01-28 | w: LAL | L: PHX
1976-01-28 | w: BOS | L: ATL
1976-01-28 | w: CHI | L: DET
1976-01-28 | w: HOU | L: CLE
1976-01-28 | w: POR | L: SEA
1976-01-28 | w: BUF | L: NOJ
1976-01-29 | w: ATL | L: NYK
1976-01-29 | w: GOS | L: PHL
1976-01-29 | w: MIL | L: PHX
1976-01-29 | w: KCK | L: HOU
1976-01-30 | w: POR | L: LAL
1976-01-30 | w: DET | L: KCK
1976-01-30 | w: SEA | L: WAS
1976-01-30 | w: CLE | L: CHI
1976-01-30 | w: NOJ | L: NYK
1976-01-31 | w: NOJ | L: ATL
1976-01-31 | w: HOU | L: NYK
1976-01-31 | w: KCK | L: CHI
1976-01-31 | w: PHX | L: PHL
1976-01-31 | w: BOS | L: BUF
1976-01-31 | w: GOS | L: MIL
1976-02-01 | w: LAL | L: PHL
1976-02-01 | w: ATL | L: CHI
1976-02-01 | w: WAS | L: GOS
1976-02-01 | w: BOS | L: DET
1976-02-01 | w: POR | L: MIL
1976-02-01 | w: NOJ | L: CLE
1976-02-05 | w: DET | L: ATL
1976-02-05 | w: NOJ | L: HOU
1976-02-05 | w: KCK | L: LAL
1976-02-06 | w: POR | L: SEA
1976-02-06 | w: CHI | L: LAL
1976-02-06 | w: PHX | L: GOS
1976-02-06 | w: CLE | L: PHL
1976-02-06 | w: NOJ | L: KCK
1976-02-06 | w: BUF | L: MIL
1976-02-07 | w: WAS | L: ATL
1976-02-07 | w: GOS | L: SEA
1976-02-07 | w: BOS | L: NYK
1976-02-07 | w: MIL | L: DET
1976-02-07 | w: HOU | L: CHI
1976-02-08 | w: LAL | L: ATL
1976-02-08 | w: NYK | L: BOS
1976-02-08 | w: GOS | L: POR
1976-02-08 | w: CLE | L: WAS
1976-02-08 | w: PHL | L: BUF
1976-02-08 | w: DET | L: KCK
1976-02-08 | w: CHI | L: NOJ
1976-02-08 | w: PHX | L: SEA
1976-02-09 | w: HOU | L: KCK
1976-02-10 | w: LAL | L: DET
1976-02-10 | w: ATL | L: KCK
1976-02-10 | w: PHL | L: CHI
1976-02-10 | w: NYK | L: MIL
1976-02-10 | w: BUF | L: WAS
1976-02-10 | w: NOJ | L: GOS
1976-02-11 | w: MIL | L: NYK
1976-02-11 | w: SEA | L: NOJ
1976-02-11 | w: HOU | L: BOS
1976-02-11 | w: PHX | L: DET
1976-02-11 | w: PHL | L: POR
1976-02-12 | w: GOS | L: ATL
1976-02-12 | w: WAS | L: POR
1976-02-12 | w: CLE | L: CHI
1976-02-13 | w: LAL | L: NOJ
1976-02-13 | w: SEA | L: ATL
1976-02-13 | w: BOS | L: PHX
1976-02-13 | w: CLE | L: MIL
1976-02-13 | w: PHL | L: HOU
1976-02-13 | w: BUF | L: KCK
1976-02-14 | w: WAS | L: HOU
1976-02-14 | w: MIL | L: CHI
1976-02-14 | w: PHX | L: NOJ
1976-02-14 | w: SEA | L: POR
1976-02-14 | w: CLE | L: BUF
1976-02-14 | w: NYK | L: PHL
1976-02-14 | w: GOS | L: DET
1976-02-15 | w: ATL | L: BUF
1976-02-15 | w: WAS | L: LAL
1976-02-15 | w: SEA | L: DET
1976-02-15 | w: MIL | L: HOU
1976-02-15 | w: POR | L: BOS
1976-02-15 | w: NYK | L: PHL
1976-02-17 | w: GOS | L: NYK
1976-02-17 | w: WAS | L: MIL
1976-02-17 | w: CLE | L: ATL
1976-02-17 | w: KCK | L: PHL
1976-02-17 | w: LAL | L: NOJ
1976-02-17 | w: BUF | L: POR
1976-02-17 | w: CHI | L: PHX
1976-02-18 | w: DET | L: PHX
1976-02-18 | w: SEA | L: BOS
1976-02-18 | w: HOU | L: LAL
1976-02-18 | w: KCK | L: GOS
1976-02-19 | w: CLE | L: POR
1976-02-20 | w: BOS | L: LAL
1976-02-20 | w: DET | L: WAS
1976-02-20 | w: SEA | L: PHL
1976-02-20 | w: HOU | L: MIL
1976-02-20 | w: CHI | L: POR
1976-02-20 | w: PHX | L: NOJ
1976-02-21 | w: GOS | L: BOS
1976-02-21 | w: NYK | L: NOJ
1976-02-21 | w: WAS | L: ATL
1976-02-21 | w: POR | L: KCK
1976-02-21 | w: DET | L: BUF
1976-02-21 | w: PHX | L: HOU
1976-02-22 | w: GOS | L: PHL
1976-02-22 | w: SEA | L: LAL
1976-02-22 | w: MIL | L: CHI
1976-02-22 | w: CLE | L: HOU
1976-02-22 | w: NOJ | L: ATL
1976-02-23 | w: HOU | L: CLE
1976-02-24 | w: BUF | L: NYK
1976-02-24 | w: WAS | L: CHI
1976-02-24 | w: PHL | L: POR
1976-02-24 | w: KCK | L: PHX
1976-02-25 | w: BOS | L: HOU
1976-02-25 | w: CLE | L: DET
1976-02-25 | w: NOJ | L: WAS
1976-02-25 | w: SEA | L: BUF
1976-02-26 | w: WAS | L: NOJ
1976-02-26 | w: PHX | L: ATL
1976-02-27 | w: LAL | L: KCK
1976-02-27 | w: BOS | L: SEA
1976-02-27 | w: DET | L: NYK
1976-02-27 | w: GOS | L: PHL
1976-02-27 | w: HOU | L: BUF
1976-02-28 | w: NYK | L: CHI
1976-02-28 | w: WAS | L: PHX
1976-02-28 | w: POR | L: KCK
1976-02-28 | w: MIL | L: NOJ
1976-02-29 | w: LAL | L: CLE
1976-02-29 | w: BOS | L: GOS
1976-02-29 | w: PHX | L: DET
1976-02-29 | w: WAS | L: HOU
1976-02-29 | w: POR | L: ATL
1976-02-29 | w: PHL | L: SEA
1976-03-02 | w: SEA | L: NYK
1976-03-02 | w: WAS | L: PHL
1976-03-02 | w: POR | L: CHI
1976-03-02 | w: KCK | L: DET
1976-03-02 | w: MIL | L: NOJ
1976-03-02 | w: GOS | L: BUF
1976-03-03 | w: DET | L: SEA
1976-03-03 | w: PHX | L: CLE
1976-03-03 | w: PHL | L: BOS
1976-03-03 | w: HOU | L: NOJ
1976-03-04 | w: ATL | L: BOS
1976-03-04 | w: GOS | L: CHI
1976-03-04 | w: WAS | L: HOU
1976-03-04 | w: MIL | L: KCK
1976-03-05 | w: LAL | L: GOS
1976-03-05 | w: PHX | L: CHI
1976-03-05 | w: CLE | L: POR
1976-03-05 | w: PHL | L: DET
1976-03-05 | w: KCK | L: SEA
1976-03-05 | w: BOS | L: NOJ
1976-03-06 | w: GOS | L: CLE
1976-03-06 | w: NYK | L: WAS
1976-03-06 | w: HOU | L: ATL
1976-03-06 | w: POR | L: PHX
1976-03-06 | w: BUF | L: PHL
1976-03-07 | w: CHI | L: LAL
1976-03-07 | w: ATL | L: HOU
1976-03-07 | w: BOS | L: DET
1976-03-07 | w: WAS | L: NYK
1976-03-07 | w: PHX | L: POR
1976-03-07 | w: KCK | L: MIL
1976-03-07 | w: NOJ | L: SEA
1976-03-09 | w: NOJ | L: BOS
1976-03-09 | w: NYK | L: LAL
1976-03-09 | w: GOS | L: DET
1976-03-09 | w: CHI | L: SEA
1976-03-10 | w: BOS | L: LAL
1976-03-10 | w: HOU | L: POR
1976-03-10 | w: SEA | L: MIL
1976-03-10 | w: PHL | L: PHX
1976-03-10 | w: BUF | L: NOJ
1976-03-11 | w: PHX | L: ATL
1976-03-11 | w: CLE | L: GOS
1976-03-12 | w: LAL | L: NYK
1976-03-12 | w: KCK | L: CHI
1976-03-12 | w: DET | L: MIL
1976-03-12 | w: PHL | L: ATL
1976-03-12 | w: NOJ | L: POR
1976-03-12 | w: HOU | L: BUF
1976-03-13 | w: GOS | L: HOU
1976-03-13 | w: NOJ | L: CHI
1976-03-13 | w: CLE | L: PHX
1976-03-13 | w: MIL | L: KCK
1976-03-14 | w: LAL | L: BUF
1976-03-14 | w: WAS | L: BOS
1976-03-14 | w: SEA | L: NYK
1976-03-14 | w: PHX | L: MIL
1976-03-14 | w: POR | L: DET
1976-03-14 | w: NOJ | L: GOS
1976-03-14 | w: KCK | L: ATL
1976-03-16 | w: GOS | L: DET
1976-03-16 | w: HOU | L: NYK
1976-03-16 | w: CHI | L: PHX
1976-03-16 | w: BUF | L: POR
1976-03-16 | w: LAL | L: CLE
1976-03-17 | w: SEA | L: BUF
1976-03-17 | w: HOU | L: ATL
1976-03-17 | w: MIL | L: LAL
1976-03-17 | w: PHL | L: CHI
1976-03-17 | w: NYK | L: NOJ
1976-03-18 | w: GOS | L: BUF
1976-03-18 | w: WAS | L: KCK
1976-03-18 | w: PHX | L: DET
1976-03-18 | w: CLE | L: PHL
1976-03-19 | w: LAL | L: DET
1976-03-19 | w: CHI | L: ATL
1976-03-19 | w: POR | L: HOU
1976-03-19 | w: NOJ | L: CLE
1976-03-19 | w: BOS | L: KCK
1976-03-20 | w: CLE | L: ATL
1976-03-20 | w: GOS | L: MIL
1976-03-20 | w: WAS | L: NYK
1976-03-20 | w: PHX | L: LAL
1976-03-20 | w: BUF | L: NOJ
1976-03-20 | w: BOS | L: PHL
1976-03-21 | w: MIL | L: LAL
1976-03-21 | w: BOS | L: PHL
1976-03-21 | w: DET | L: BUF
1976-03-21 | w: SEA | L: HOU
1976-03-21 | w: CLE | L: WAS
1976-03-21 | w: KCK | L: CHI
1976-03-23 | w: LAL | L: HOU
1976-03-23 | w: GOS | L: ATL
1976-03-23 | w: DET | L: NYK
1976-03-23 | w: PHX | L: SEA
1976-03-23 | w: KCK | L: WAS
1976-03-23 | w: POR | L: MIL
1976-03-23 | w: BUF | L: CHI
1976-03-23 | w: BOS | L: NOJ
1976-03-24 | w: BOS | L: CHI
1976-03-24 | w: DET | L: KCK
1976-03-24 | w: SEA | L: MIL
1976-03-24 | w: PHL | L: NYK
1976-03-25 | w: HOU | L: GOS
1976-03-25 | w: POR | L: WAS
1976-03-25 | w: PHX | L: ATL
1976-03-25 | w: BUF | L: CLE
1976-03-26 | w: LAL | L: ATL
1976-03-26 | w: BOS | L: CLE
1976-03-26 | w: DET | L: CHI
1976-03-26 | w: MIL | L: BUF
1976-03-26 | w: NOJ | L: WAS
1976-03-27 | w: GOS | L: LAL
1976-03-27 | w: NYK | L: BOS
1976-03-27 | w: DET | L: POR
1976-03-27 | w: WAS | L: CHI
1976-03-27 | w: HOU | L: PHL
1976-03-27 | w: PHX | L: KCK
1976-03-27 | w: CLE | L: MIL
1976-03-28 | w: PHX | L: LAL
1976-03-28 | w: BOS | L: NYK
1976-03-28 | w: GOS | L: KCK
1976-03-28 | w: WAS | L: BUF
1976-03-28 | w: SEA | L: ATL
1976-03-28 | w: MIL | L: POR
1976-03-28 | w: NOJ | L: PHL
1976-03-30 | w: PHX | L: NYK
1976-03-30 | w: GOS | L: CHI
1976-03-30 | w: POR | L: KCK
1976-03-30 | w: CLE | L: HOU
1976-03-30 | w: MIL | L: ATL
1976-03-30 | w: BUF | L: BOS
1976-03-31 | w: BOS | L: PHX
1976-03-31 | w: DET | L: CHI
1976-03-31 | w: GOS | L: WAS
1976-03-31 | w: SEA | L: LAL
1976-03-31 | w: PHL | L: BUF
1976-03-31 | w: CLE | L: NOJ
1976-04-01 | w: BOS | L: CLE
1976-04-02 | w: LAL | L: SEA
1976-04-02 | w: BOS | L: HOU
1976-04-02 | w: DET | L: NOJ
1976-04-02 | w: NYK | L: CHI
1976-04-02 | w: PHX | L: POR
1976-04-02 | w: MIL | L: KCK
1976-04-02 | w: PHL | L: WAS
1976-04-02 | w: BUF | L: ATL
1976-04-03 | w: MIL | L: ATL
1976-04-03 | w: GOS | L: SEA
1976-04-03 | w: POR | L: PHX
1976-04-03 | w: KCK | L: CLE
1976-04-03 | w: CHI | L: DET
1976-04-04 | w: LAL | L: GOS
1976-04-04 | w: BUF | L: BOS
1976-04-04 | w: NYK | L: KCK
