============ Start of Season ============
1968-10-15 | w: CHI | L: NYK
1968-11-06 | w: CIN | L: CHI
1968-11-07 | w: CHI | L: SEA
1968-11-08 | w: LAL | L: NYK
1968-11-08 | w: ATL | L: SDR
1968-11-08 | w: SEA | L: BOS
1968-11-08 | w: DET | L: SFW
1968-11-09 | w: ATL | L: SFW
1968-11-09 | w: BLT | L: SDR
1968-11-09 | w: CIN | L: CHI
1968-11-09 | w: BOS | L: MIL
1968-11-09 | w: PHL | L: SEA
1968-11-10 | w: LAL | L: NYK
1968-11-10 | w: PHX | L: DET
1968-11-11 | w: PHL | L: SEA
1968-11-11 | w: BOS | L: SDR
1968-11-12 | w: SFW | L: ATL
1968-11-12 | w: CIN | L: BLT
1968-11-12 | w: CHI | L: SDR
1968-11-12 | w: MIL | L: SEA
1968-11-13 | w: ATL | L: SEA
1968-11-13 | w: SDR | L: DET
1968-11-13 | w: BLT | L: CIN
1968-11-14 | w: CIN | L: NYK
1968-11-14 | w: DET | L: PHX
1968-11-15 | w: LAL | L: SDR
1968-11-15 | w: PHL | L: ATL
1968-11-15 | w: BOS | L: CIN
1968-11-15 | w: SFW | L: DET
1968-11-15 | w: BLT | L: MIL
1968-11-15 | w: SEA | L: PHX
1968-11-16 | w: LAL | L: SFW
1968-11-16 | w: NYK | L: CHI
1968-11-16 | w: SEA | L: DET
1968-11-16 | w: BOS | L: SDR
1968-11-16 | w: PHL | L: MIL
1968-11-16 | w: CIN | L: ATL
1968-11-17 | w: LAL | L: SEA
1968-11-17 | w: BOS | L: PHX
1968-11-19 | w: PHL | L: PHX
1968-11-19 | w: LAL | L: BOS
1968-11-19 | w: SDR | L: NYK
1968-11-19 | w: DET | L: CIN
1968-11-19 | w: SFW | L: CHI
1968-11-19 | w: MIL | L: ATL
1968-11-20 | w: ATL | L: NYK
1968-11-20 | w: BLT | L: SDR
1968-11-20 | w: BOS | L: SEA
1968-11-20 | w: CIN | L: SFW
1968-11-21 | w: ATL | L: DET
1968-11-21 | w: CHI | L: MIL
1968-11-22 | w: NYK | L: CHI
1968-11-22 | w: SFW | L: LAL
1968-11-22 | w: BOS | L: PHX
1968-11-22 | w: SDR | L: SEA
1968-11-22 | w: PHL | L: BLT
1968-11-23 | w: SFW | L: SEA
1968-11-23 | w: NYK | L: BOS
1968-11-23 | w: BLT | L: DET
1968-11-23 | w: ATL | L: CHI
1968-11-23 | w: MIL | L: PHX
1968-11-23 | w: PHL | L: CIN
1968-11-24 | w: LAL | L: CHI
1968-11-24 | w: BLT | L: ATL
1968-11-24 | w: SEA | L: MIL
1968-11-24 | w: SDR | L: PHL
1968-11-25 | w: SEA | L: MIL
1968-11-26 | w: DET | L: SDR
1968-11-26 | w: NYK | L: LAL
1968-11-26 | w: BLT | L: ATL
1968-11-26 | w: SEA | L: CHI
1968-11-26 | w: PHL | L: PHX
1968-11-27 | w: SDR | L: BLT
1968-11-27 | w: ATL | L: CIN
1968-11-27 | w: BOS | L: NYK
1968-11-27 | w: CHI | L: SFW
1968-11-27 | w: DET | L: PHX
1968-11-28 | w: SEA | L: MIL
1968-11-28 | w: PHL | L: LAL
1968-11-29 | w: LAL | L: BOS
1968-11-29 | w: SFW | L: MIL
1968-11-29 | w: BLT | L: PHX
1968-11-29 | w: CHI | L: SDR
1968-11-29 | w: CIN | L: DET
1968-11-30 | w: MIL | L: SFW
1968-11-30 | w: NYK | L: DET
1968-11-30 | w: CHI | L: PHX
1968-11-30 | w: ATL | L: CIN
1968-11-30 | w: BOS | L: PHL
1968-12-01 | w: LAL | L: MIL
1968-12-01 | w: BLT | L: CHI
1968-12-01 | w: SDR | L: SFW
1968-12-02 | w: SEA | L: PHX
1968-12-03 | w: LAL | L: PHX
1968-12-03 | w: SFW | L: SEA
1968-12-03 | w: NYK | L: ATL
1968-12-03 | w: CIN | L: BLT
1968-12-03 | w: SDR | L: CHI
1968-12-03 | w: BOS | L: MIL
1968-12-04 | w: NYK | L: ATL
1968-12-04 | w: BOS | L: MIL
1968-12-04 | w: BLT | L: DET
1968-12-04 | w: PHX | L: SFW
1968-12-04 | w: PHL | L: SDR
1968-12-05 | w: BLT | L: LAL
1968-12-05 | w: PHL | L: CHI
1968-12-06 | w: LAL | L: ATL
1968-12-06 | w: BOS | L: DET
1968-12-06 | w: SDR | L: PHX
1968-12-06 | w: PHL | L: MIL
1968-12-06 | w: SEA | L: SFW
1968-12-07 | w: SEA | L: SFW
1968-12-07 | w: NYK | L: MIL
1968-12-07 | w: CHI | L: LAL
1968-12-07 | w: PHL | L: DET
1968-12-07 | w: BOS | L: CIN
1968-12-08 | w: LAL | L: SDR
1968-12-08 | w: ATL | L: PHX
1968-12-08 | w: PHL | L: MIL
1968-12-08 | w: CIN | L: NYK
1968-12-10 | w: SDR | L: PHL
1968-12-10 | w: BLT | L: BOS
1968-12-10 | w: ATL | L: SFW
1968-12-10 | w: NYK | L: PHX
1968-12-10 | w: CHI | L: DET
1968-12-10 | w: CIN | L: MIL
1968-12-11 | w: BOS | L: DET
1968-12-11 | w: BLT | L: NYK
1968-12-11 | w: MIL | L: SFW
1968-12-11 | w: PHL | L: PHX
1968-12-11 | w: CIN | L: SDR
1968-12-12 | w: ATL | L: SEA
1968-12-13 | w: ATL | L: LAL
1968-12-13 | w: SFW | L: BOS
1968-12-13 | w: NYK | L: CHI
1968-12-13 | w: MIL | L: SDR
1968-12-13 | w: CIN | L: PHX
1968-12-14 | w: NYK | L: SDR
1968-12-14 | w: PHX | L: DET
1968-12-14 | w: BLT | L: BOS
1968-12-14 | w: LAL | L: SEA
1968-12-14 | w: PHL | L: SFW
1968-12-14 | w: CIN | L: MIL
1968-12-15 | w: LAL | L: SEA
1968-12-15 | w: PHL | L: NYK
1968-12-15 | w: CIN | L: PHX
1968-12-17 | w: LAL | L: CIN
1968-12-17 | w: NYK | L: SFW
1968-12-17 | w: ATL | L: CHI
1968-12-17 | w: PHL | L: PHX
1968-12-18 | w: ATL | L: MIL
1968-12-18 | w: NYK | L: BOS
1968-12-18 | w: DET | L: SDR
1968-12-18 | w: BLT | L: SFW
1968-12-18 | w: PHL | L: SEA
1968-12-18 | w: PHX | L: CIN
1968-12-19 | w: CHI | L: MIL
1968-12-20 | w: BLT | L: CHI
1968-12-20 | w: LAL | L: SFW
1968-12-20 | w: NYK | L: DET
1968-12-20 | w: PHL | L: SDR
1968-12-20 | w: MIL | L: SEA
1968-12-21 | w: ATL | L: DET
1968-12-21 | w: SFW | L: PHL
1968-12-21 | w: NYK | L: SEA
1968-12-21 | w: BLT | L: PHX
1968-12-21 | w: SDR | L: CIN
1968-12-21 | w: BOS | L: CHI
1968-12-22 | w: LAL | L: PHL
1968-12-22 | w: MIL | L: PHX
1968-12-23 | w: SFW | L: SDR
1968-12-25 | w: NYK | L: PHL
1968-12-25 | w: BLT | L: SEA
1968-12-25 | w: LAL | L: PHX
1968-12-25 | w: DET | L: MIL
1968-12-25 | w: CIN | L: CHI
1968-12-26 | w: ATL | L: SEA
1968-12-26 | w: BOS | L: MIL
1968-12-26 | w: SFW | L: PHX
1968-12-26 | w: LAL | L: DET
1968-12-26 | w: CHI | L: CIN
1968-12-26 | w: PHL | L: BLT
1968-12-27 | w: BLT | L: MIL
1968-12-27 | w: NYK | L: SDR
1968-12-28 | w: ATL | L: BOS
1968-12-28 | w: DET | L: SFW
1968-12-28 | w: NYK | L: SEA
1968-12-28 | w: SDR | L: PHX
1968-12-28 | w: CHI | L: LAL
1968-12-28 | w: PHL | L: CIN
1968-12-29 | w: LAL | L: DET
1968-12-29 | w: ATL | L: BLT
1968-12-29 | w: NYK | L: SEA
1968-12-29 | w: CHI | L: MIL
1968-12-30 | w: SEA | L: PHX
1968-12-30 | w: CHI | L: SFW
1968-12-30 | w: LAL | L: SDR
1968-12-31 | w: DET | L: LAL
1968-12-31 | w: CIN | L: BOS
1968-12-31 | w: NYK | L: BLT
1968-12-31 | w: PHL | L: MIL
1969-01-01 | w: BOS | L: PHX
1969-01-01 | w: SFW | L: CIN
1969-01-02 | w: BOS | L: SDR
1969-01-02 | w: ATL | L: CHI
1969-01-02 | w: CIN | L: MIL
1969-01-03 | w: SFW | L: BOS
1969-01-03 | w: ATL | L: DET
1969-01-03 | w: MIL | L: PHX
1969-01-03 | w: PHL | L: LAL
1969-01-03 | w: BLT | L: CIN
1969-01-04 | w: LAL | L: ATL
1969-01-04 | w: NYK | L: DET
1969-01-04 | w: BLT | L: PHL
1969-01-04 | w: SDR | L: SEA
1969-01-04 | w: CHI | L: PHX
1969-01-05 | w: ATL | L: PHX
1969-01-05 | w: BOS | L: SFW
1969-01-05 | w: PHL | L: DET
1969-01-06 | w: BOS | L: SEA
1969-01-06 | w: CIN | L: CHI
1969-01-07 | w: SDR | L: SFW
1969-01-07 | w: DET | L: PHL
1969-01-07 | w: LAL | L: BLT
1969-01-07 | w: PHX | L: SEA
1969-01-07 | w: CHI | L: NYK
1969-01-07 | w: MIL | L: CIN
1969-01-08 | w: BOS | L: DET
1969-01-08 | w: BLT | L: SDR
1969-01-08 | w: NYK | L: MIL
1969-01-08 | w: PHL | L: ATL
1969-01-09 | w: NYK | L: PHX
1969-01-09 | w: SEA | L: CIN
1969-01-10 | w: ATL | L: DET
1969-01-10 | w: BOS | L: LAL
1969-01-10 | w: BLT | L: SDR
1969-01-10 | w: MIL | L: SEA
1969-01-11 | w: ATL | L: LAL
1969-01-11 | w: NYK | L: SFW
1969-01-11 | w: DET | L: CIN
1969-01-11 | w: CHI | L: SEA
1969-01-11 | w: BLT | L: PHX
1969-01-11 | w: BOS | L: PHL
1969-01-12 | w: NYK | L: SDR
1969-01-12 | w: MIL | L: BOS
1969-01-12 | w: DET | L: CIN
1969-01-16 | w: ATL | L: PHX
1969-01-16 | w: SFW | L: CHI
1969-01-16 | w: CIN | L: SDR
1969-01-17 | w: NYK | L: SEA
1969-01-17 | w: LAL | L: CIN
1969-01-17 | w: ATL | L: PHX
1969-01-17 | w: BOS | L: SFW
1969-01-17 | w: DET | L: MIL
1969-01-17 | w: PHL | L: SDR
1969-01-18 | w: NYK | L: MIL
1969-01-18 | w: BOS | L: SEA
1969-01-18 | w: CHI | L: SDR
1969-01-19 | w: LAL | L: CIN
1969-01-19 | w: ATL | L: NYK
1969-01-19 | w: DET | L: CHI
1969-01-19 | w: SDR | L: PHX
1969-01-19 | w: SFW | L: PHL
1969-01-20 | w: BLT | L: BOS
1969-01-20 | w: MIL | L: DET
1969-01-21 | w: NYK | L: SEA
1969-01-21 | w: SDR | L: ATL
1969-01-21 | w: BLT | L: CHI
1969-01-21 | w: LAL | L: MIL
1969-01-21 | w: CIN | L: SFW
1969-01-22 | w: DET | L: LAL
1969-01-22 | w: SEA | L: BLT
1969-01-22 | w: CHI | L: BOS
1969-01-22 | w: ATL | L: PHX
1969-01-22 | w: PHL | L: NYK
1969-01-24 | w: ATL | L: LAL
1969-01-24 | w: PHL | L: BOS
1969-01-24 | w: SFW | L: SDR
1969-01-24 | w: DET | L: NYK
1969-01-24 | w: PHX | L: CHI
1969-01-25 | w: NYK | L: MIL
1969-01-25 | w: ATL | L: BLT
1969-01-25 | w: SDR | L: PHX
1969-01-25 | w: PHL | L: DET
1969-01-26 | w: PHL | L: ATL
1969-01-26 | w: BOS | L: BLT
1969-01-26 | w: SDR | L: CHI
1969-01-26 | w: SFW | L: PHX
1969-01-26 | w: LAL | L: CIN
1969-01-27 | w: BLT | L: DET
1969-01-27 | w: SEA | L: MIL
1969-01-28 | w: LAL | L: CHI
1969-01-28 | w: BOS | L: ATL
1969-01-28 | w: NYK | L: PHL
1969-01-28 | w: SFW | L: CIN
1969-01-29 | w: SFW | L: DET
1969-01-29 | w: LAL | L: SDR
1969-01-29 | w: PHX | L: MIL
1969-01-29 | w: PHL | L: ATL
1969-01-29 | w: SEA | L: BOS
1969-01-30 | w: DET | L: SEA
1969-01-30 | w: CHI | L: SFW
1969-01-30 | w: NYK | L: BLT
1969-01-30 | w: CIN | L: PHL
1969-01-31 | w: LAL | L: MIL
1969-01-31 | w: SEA | L: ATL
1969-01-31 | w: BOS | L: CIN
1969-01-31 | w: DET | L: CHI
1969-01-31 | w: BLT | L: PHL
1969-02-01 | w: ATL | L: DET
1969-02-01 | w: NYK | L: BOS
1969-02-01 | w: SDR | L: MIL
1969-02-01 | w: CIN | L: SEA
1969-02-01 | w: LAL | L: SFW
1969-02-02 | w: ATL | L: SDR
1969-02-02 | w: NYK | L: BOS
1969-02-02 | w: BLT | L: DET
1969-02-02 | w: PHX | L: MIL
1969-02-02 | w: PHL | L: CHI
1969-02-02 | w: SFW | L: LAL
1969-02-03 | w: BLT | L: CHI
1969-02-03 | w: SEA | L: LAL
1969-02-04 | w: CIN | L: DET
1969-02-04 | w: SEA | L: SFW
1969-02-04 | w: NYK | L: ATL
1969-02-04 | w: SDR | L: BOS
1969-02-04 | w: MIL | L: CHI
1969-02-04 | w: PHX | L: PHL
1969-02-05 | w: CHI | L: DET
1969-02-05 | w: BLT | L: BOS
1969-02-05 | w: PHL | L: SEA
1969-02-05 | w: SDR | L: CIN
1969-02-05 | w: NYK | L: MIL
1969-02-06 | w: CIN | L: PHX
1969-02-07 | w: PHL | L: LAL
1969-02-07 | w: ATL | L: BOS
1969-02-07 | w: SEA | L: CIN
1969-02-07 | w: SDR | L: PHX
1969-02-07 | w: NYK | L: CHI
1969-02-07 | w: BLT | L: MIL
1969-02-08 | w: ATL | L: CHI
1969-02-08 | w: CIN | L: SFW
1969-02-08 | w: NYK | L: BLT
1969-02-08 | w: LAL | L: PHX
1969-02-08 | w: DET | L: SDR
1969-02-09 | w: LAL | L: PHX
1969-02-09 | w: BLT | L: ATL
1969-02-09 | w: SFW | L: SEA
1969-02-09 | w: MIL | L: SDR
1969-02-09 | w: BOS | L: PHL
1969-02-11 | w: SFW | L: ATL
1969-02-11 | w: BLT | L: CHI
1969-02-11 | w: PHL | L: CIN
1969-02-12 | w: NYK | L: PHX
1969-02-12 | w: BOS | L: DET
1969-02-12 | w: BLT | L: SFW
1969-02-12 | w: LAL | L: SEA
1969-02-12 | w: ATL | L: MIL
1969-02-12 | w: SDR | L: CIN
1969-02-13 | w: CHI | L: DET
1969-02-14 | w: LAL | L: SDR
1969-02-14 | w: DET | L: PHX
1969-02-14 | w: BLT | L: MIL
1969-02-14 | w: SFW | L: PHL
1969-02-14 | w: ATL | L: BOS
1969-02-15 | w: NYK | L: SFW
1969-02-15 | w: CIN | L: CHI
1969-02-16 | w: SFW | L: ATL
1969-02-16 | w: SEA | L: DET
1969-02-16 | w: MIL | L: LAL
1969-02-16 | w: PHL | L: BOS
1969-02-16 | w: PHX | L: CIN
1969-02-17 | w: MIL | L: ATL
1969-02-17 | w: CIN | L: BLT
1969-02-18 | w: BOS | L: PHX
1969-02-18 | w: SFW | L: DET
1969-02-18 | w: LAL | L: NYK
1969-02-18 | w: SEA | L: CHI
1969-02-18 | w: PHL | L: SDR
1969-02-18 | w: ATL | L: CIN
1969-02-19 | w: SFW | L: PHL
1969-02-19 | w: BLT | L: LAL
1969-02-19 | w: DET | L: SEA
1969-02-19 | w: CIN | L: NYK
1969-02-20 | w: BLT | L: PHX
1969-02-20 | w: ATL | L: DET
1969-02-20 | w: SFW | L: SDR
1969-02-21 | w: BOS | L: LAL
1969-02-21 | w: PHL | L: SEA
1969-02-21 | w: CHI | L: PHX
1969-02-22 | w: PHL | L: SFW
1969-02-22 | w: SDR | L: NYK
1969-02-22 | w: MIL | L: DET
1969-02-22 | w: BOS | L: PHX
1969-02-23 | w: PHL | L: LAL
1969-02-23 | w: ATL | L: SDR
1969-02-23 | w: SEA | L: BOS
1969-02-23 | w: MIL | L: PHX
1969-02-23 | w: BLT | L: CIN
1969-02-24 | w: CHI | L: SFW
1969-02-24 | w: BLT | L: DET
1969-02-25 | w: BOS | L: PHX
1969-02-25 | w: SFW | L: CHI
1969-02-25 | w: NYK | L: ATL
1969-02-25 | w: MIL | L: SDR
1969-02-25 | w: PHL | L: CIN
1969-02-25 | w: LAL | L: SEA
1969-02-26 | w: NYK | L: BOS
1969-02-26 | w: CHI | L: SEA
1969-02-26 | w: PHL | L: PHX
1969-02-27 | w: DET | L: PHL
1969-02-27 | w: SDR | L: CIN
1969-02-27 | w: MIL | L: BLT
1969-02-28 | w: PHL | L: MIL
1969-02-28 | w: LAL | L: PHX
1969-02-28 | w: BOS | L: ATL
1969-02-28 | w: SFW | L: CIN
1969-02-28 | w: BLT | L: DET
1969-03-01 | w: PHX | L: SFW
1969-03-01 | w: NYK | L: BOS
1969-03-01 | w: SEA | L: CIN
1969-03-01 | w: LAL | L: SDR
1969-03-02 | w: LAL | L: SFW
1969-03-02 | w: ATL | L: MIL
1969-03-02 | w: BOS | L: CHI
1969-03-02 | w: PHL | L: DET
1969-03-03 | w: CIN | L: SEA
1969-03-03 | w: PHL | L: MIL
1969-03-04 | w: BLT | L: LAL
1969-03-04 | w: SFW | L: BOS
1969-03-04 | w: NYK | L: DET
1969-03-04 | w: SEA | L: SDR
1969-03-04 | w: CHI | L: PHL
1969-03-04 | w: CIN | L: PHX
1969-03-05 | w: SFW | L: BLT
1969-03-05 | w: DET | L: NYK
1969-03-05 | w: CHI | L: MIL
1969-03-06 | w: ATL | L: PHL
1969-03-06 | w: SDR | L: BOS
1969-03-06 | w: CIN | L: MIL
1969-03-06 | w: CHI | L: PHX
1969-03-07 | w: NYK | L: PHX
1969-03-07 | w: DET | L: CIN
1969-03-07 | w: PHL | L: CHI
1969-03-07 | w: SFW | L: BLT
1969-03-07 | w: LAL | L: BOS
1969-03-08 | w: SEA | L: BLT
1969-03-09 | w: LAL | L: BLT
1969-03-09 | w: ATL | L: CIN
1969-03-09 | w: BOS | L: SFW
1969-03-09 | w: MIL | L: DET
1969-03-09 | w: PHX | L: SDR
1969-03-09 | w: PHL | L: NYK
1969-03-10 | w: BLT | L: PHX
1969-03-10 | w: SFW | L: MIL
1969-03-11 | w: LAL | L: DET
1969-03-11 | w: NYK | L: PHL
1969-03-11 | w: SDR | L: PHX
1969-03-11 | w: CHI | L: ATL
1969-03-12 | w: ATL | L: CHI
1969-03-12 | w: SFW | L: LAL
1969-03-12 | w: BLT | L: NYK
1969-03-12 | w: SEA | L: SDR
1969-03-12 | w: BOS | L: PHL
1969-03-13 | w: SDR | L: DET
1969-03-13 | w: PHL | L: CHI
1969-03-13 | w: SEA | L: MIL
1969-03-13 | w: CIN | L: BOS
1969-03-14 | w: LAL | L: MIL
1969-03-14 | w: SFW | L: DET
1969-03-14 | w: BLT | L: CIN
1969-03-15 | w: NYK | L: CIN
1969-03-15 | w: BLT | L: BOS
1969-03-15 | w: CHI | L: SEA
1969-03-15 | w: SDR | L: PHX
1969-03-15 | w: PHL | L: ATL
1969-03-16 | w: LAL | L: BOS
1969-03-16 | w: SDR | L: DET
1969-03-16 | w: ATL | L: SEA
1969-03-17 | w: DET | L: PHX
1969-03-18 | w: ATL | L: SFW
1969-03-18 | w: BLT | L: SEA
1969-03-18 | w: SDR | L: MIL
1969-03-18 | w: LAL | L: CHI
1969-03-19 | w: BOS | L: CHI
1969-03-19 | w: NYK | L: BLT
1969-03-19 | w: MIL | L: PHX
1969-03-19 | w: PHL | L: SEA
1969-03-19 | w: CIN | L: LAL
1969-03-20 | w: SDR | L: ATL
1969-03-21 | w: LAL | L: ATL
1969-03-21 | w: SFW | L: MIL
1969-03-21 | w: DET | L: SEA
1969-03-21 | w: NYK | L: PHX
1969-03-21 | w: BLT | L: CHI
1969-03-21 | w: BOS | L: CIN
1969-03-22 | w: NYK | L: SFW
1969-03-22 | w: PHL | L: BLT
1969-03-22 | w: MIL | L: SDR
1969-03-22 | w: CIN | L: SEA
1969-03-23 | w: LAL | L: NYK
1969-03-23 | w: BOS | L: BLT
1969-03-23 | w: DET | L: CHI
1969-03-23 | w: SDR | L: ATL
1969-03-23 | w: MIL | L: PHX
1969-03-24 | w: BOS | L: SDR
1969-03-24 | w: CIN | L: PHL
============ End of Regular Season ============
1969-03-26 | w: SFW | L: LAL
1969-03-26 | w: BOS | L: PHL
1969-03-27 | w: ATL | L: SDR
1969-03-27 | w: NYK | L: BLT
1969-03-28 | w: SFW | L: LAL
1969-03-28 | w: BOS | L: PHL
1969-03-29 | w: ATL | L: SDR
1969-03-29 | w: NYK | L: BLT
1969-03-30 | w: NYK | L: BLT
1969-03-30 | w: BOS | L: PHL
1969-03-31 | w: LAL | L: SFW
1969-04-01 | w: PHL | L: BOS
1969-04-01 | w: SDR | L: ATL
1969-04-02 | w: LAL | L: SFW
1969-04-02 | w: NYK | L: BLT
1969-04-04 | w: LAL | L: SFW
1969-04-04 | w: SDR | L: ATL
1969-04-04 | w: BOS | L: PHL
1969-04-05 | w: LAL | L: SFW
1969-04-06 | w: ATL | L: SDR
1969-04-06 | w: BOS | L: NYK
1969-04-07 | w: ATL | L: SDR
1969-04-09 | w: BOS | L: NYK
1969-04-10 | w: NYK | L: BOS
1969-04-11 | w: LAL | L: ATL
1969-04-13 | w: LAL | L: ATL
1969-04-13 | w: BOS | L: NYK
1969-04-14 | w: NYK | L: BOS
1969-04-15 | w: ATL | L: LAL
1969-04-17 | w: LAL | L: ATL
1969-04-18 | w: BOS | L: NYK
1969-04-20 | w: LAL | L: ATL
1969-04-23 | w: LAL | L: BOS
1969-04-25 | w: LAL | L: BOS
1969-04-27 | w: BOS | L: LAL
1969-04-29 | w: BOS | L: LAL
1969-05-01 | w: LAL | L: BOS
1969-05-03 | w: BOS | L: LAL
1969-05-05 | w: BOS | L: LAL
============ End of Playoffs ============
