============ Start of Season ============
1995-11-03 | w: LAL | L: DEN
1995-11-15 | w: LAL | L: DAL
1995-11-15 | w: CHI | L: CLE
1995-11-15 | w: BKN | L: CHA
1995-11-15 | w: DEN | L: PHX
1995-11-15 | w: UTA | L: BOS
1995-11-15 | w: DET | L: OKC
1995-11-15 | w: WAS | L: PHI
1995-11-15 | w: IND | L: MIA
1995-11-15 | w: SAS | L: MIN
1995-11-15 | w: HOU | L: TOR
1995-11-16 | w: LAC | L: MEM
1995-11-16 | w: NYK | L: GSW
1995-11-16 | w: HOU | L: MIL
1995-11-16 | w: SAC | L: POR
1995-11-16 | w: ORL | L: IND
1995-11-17 | w: LAC | L: DAL
1995-11-17 | w: SAC | L: PHX
1995-11-17 | w: CHI | L: BKN
1995-11-17 | w: CLE | L: PHI
1995-11-17 | w: BOS | L: WAS
1995-11-17 | w: NYK | L: DEN
1995-11-17 | w: UTA | L: DET
1995-11-17 | w: MIA | L: ATL
1995-11-17 | w: LAL | L: MEM
1995-11-17 | w: OKC | L: CHA
1995-11-17 | w: TOR | L: MIN
1995-11-18 | w: SAS | L: CHA
1995-11-18 | w: GSW | L: DAL
1995-11-18 | w: BKN | L: PHI
1995-11-18 | w: PHX | L: POR
1995-11-18 | w: BOS | L: MIL
1995-11-18 | w: IND | L: OKC
1995-11-18 | w: TOR | L: WAS
1995-11-18 | w: CLE | L: DET
1995-11-18 | w: HOU | L: DEN
1995-11-18 | w: MIA | L: ORL
1995-11-18 | w: UTA | L: MIN
1995-11-19 | w: LAL | L: LAC
1995-11-19 | w: NYK | L: MEM
1995-11-19 | w: ATL | L: SAC
1995-11-20 | w: HOU | L: BOS
1995-11-20 | w: UTA | L: BKN
1995-11-20 | w: POR | L: LAC
1995-11-20 | w: ORL | L: GSW
1995-11-21 | w: POR | L: LAL
1995-11-21 | w: DEN | L: ATL
1995-11-21 | w: CHI | L: DAL
1995-11-21 | w: TOR | L: OKC
1995-11-22 | w: CHI | L: SAS
1995-11-22 | w: LAC | L: BKN
1995-11-22 | w: PHX | L: ATL
1995-11-22 | w: UTA | L: SAC
1995-11-22 | w: HOU | L: PHI
1995-11-22 | w: WAS | L: DET
1995-11-22 | w: MIL | L: TOR
1995-11-22 | w: NYK | L: CLE
1995-11-22 | w: MIA | L: GSW
1995-11-22 | w: OKC | L: MIN
1995-11-22 | w: ORL | L: MEM
1995-11-22 | w: BOS | L: CHA
1995-11-23 | w: HOU | L: IND
1995-11-24 | w: SAC | L: LAL
1995-11-24 | w: GSW | L: BOS
1995-11-24 | w: DET | L: PHI
1995-11-24 | w: CHI | L: UTA
1995-11-24 | w: WAS | L: MIA
1995-11-24 | w: OKC | L: SAS
1995-11-24 | w: POR | L: BKN
1995-11-24 | w: CLE | L: IND
1995-11-24 | w: ORL | L: MIN
1995-11-24 | w: DEN | L: DAL
1995-11-24 | w: CHA | L: MEM
1995-11-25 | w: SAS | L: LAC
1995-11-25 | w: NYK | L: HOU
1995-11-25 | w: DEN | L: UTA
1995-11-25 | w: PHX | L: LAL
1995-11-25 | w: GSW | L: PHI
1995-11-25 | w: ORL | L: WAS
1995-11-25 | w: ATL | L: TOR
1995-11-25 | w: CLE | L: MIL
1995-11-25 | w: MIA | L: MEM
1995-11-26 | w: SAC | L: BKN
1995-11-26 | w: MIN | L: MIL
1995-11-26 | w: DET | L: HOU
1995-11-26 | w: CHA | L: BOS
1995-11-26 | w: OKC | L: CHI
1995-11-27 | w: UTA | L: PHX
1995-11-27 | w: CHI | L: POR
1995-11-27 | w: TOR | L: GSW
1995-11-27 | w: ORL | L: DET
1995-11-28 | w: ATL | L: NYK
1995-11-28 | w: SAC | L: DEN
1995-11-28 | w: BKN | L: WAS
1995-11-28 | w: CHA | L: MIL
1995-11-28 | w: IND | L: OKC
1995-11-28 | w: HOU | L: LAC
1995-11-28 | w: CLE | L: TOR
1995-11-28 | w: MIA | L: DAL
1995-11-28 | w: MIN | L: MEM
1995-11-29 | w: LAL | L: PHX
1995-11-29 | w: SAS | L: LAC
1995-11-29 | w: POR | L: GSW
1995-11-29 | w: BOS | L: DET
1995-11-29 | w: ATL | L: PHI
1995-11-29 | w: CHA | L: NYK
1995-11-30 | w: SAC | L: IND
1995-11-30 | w: MIA | L: DET
1995-11-30 | w: CLE | L: WAS
1995-11-30 | w: MIL | L: POR
1995-11-30 | w: UTA | L: HOU
1995-11-30 | w: CHI | L: MEM
1995-11-30 | w: ORL | L: DAL
1995-12-01 | w: LAL | L: MEM
1995-12-01 | w: BKN | L: BOS
1995-12-01 | w: PHX | L: MIN
1995-12-01 | w: DAL | L: ATL
1995-12-01 | w: OKC | L: MIL
1995-12-01 | w: MIA | L: CHA
1995-12-01 | w: TOR | L: PHI
1995-12-02 | w: BKN | L: CLE
1995-12-02 | w: SAC | L: ORL
1995-12-02 | w: CHI | L: LAC
1995-12-02 | w: SAS | L: PHX
1995-12-02 | w: GSW | L: IND
1995-12-02 | w: DEN | L: MIN
1995-12-02 | w: NYK | L: PHI
1995-12-02 | w: DET | L: ATL
1995-12-02 | w: HOU | L: CHA
1995-12-02 | w: WAS | L: BOS
1995-12-03 | w: LAL | L: IND
1995-12-03 | w: NYK | L: WAS
1995-12-03 | w: CLE | L: DAL
1995-12-03 | w: POR | L: ORL
1995-12-03 | w: MIL | L: MEM
1995-12-03 | w: MIA | L: TOR
1995-12-04 | w: DEN | L: DET
1995-12-04 | w: BOS | L: MIA
1995-12-05 | w: NYK | L: DAL
1995-12-05 | w: ORL | L: LAC
1995-12-05 | w: SAS | L: LAL
1995-12-05 | w: HOU | L: UTA
1995-12-05 | w: PHX | L: MEM
1995-12-05 | w: IND | L: PHI
1995-12-05 | w: OKC | L: TOR
1995-12-06 | w: ORL | L: GSW
1995-12-06 | w: CHI | L: NYK
1995-12-06 | w: PHI | L: DAL
1995-12-06 | w: WAS | L: ATL
1995-12-06 | w: HOU | L: LAL
1995-12-06 | w: BOS | L: MIA
1995-12-06 | w: MIN | L: BKN
1995-12-06 | w: CHA | L: CLE
1995-12-07 | w: DEN | L: UTA
1995-12-07 | w: MIL | L: LAC
1995-12-07 | w: SAS | L: ATL
1995-12-07 | w: POR | L: TOR
1995-12-07 | w: DET | L: MEM
1995-12-08 | w: LAL | L: TOR
1995-12-08 | w: DET | L: GSW
1995-12-08 | w: CHI | L: SAS
1995-12-08 | w: OKC | L: SAC
1995-12-08 | w: BKN | L: IND
1995-12-08 | w: DEN | L: PHX
1995-12-08 | w: CLE | L: PHI
1995-12-08 | w: HOU | L: WAS
1995-12-08 | w: MIN | L: LAC
1995-12-08 | w: ORL | L: CHA
1995-12-09 | w: BOS | L: PHI
1995-12-09 | w: UTA | L: GSW
1995-12-09 | w: CHI | L: MIL
1995-12-09 | w: MIA | L: PHX
1995-12-09 | w: NYK | L: ATL
1995-12-09 | w: BKN | L: CLE
1995-12-09 | w: OKC | L: POR
1995-12-09 | w: WAS | L: DAL
1995-12-09 | w: CHA | L: MIN
1995-12-10 | w: LAL | L: DET
1995-12-10 | w: SAC | L: MIA
1995-12-10 | w: NYK | L: SAS
1995-12-10 | w: ATL | L: BOS
1995-12-10 | w: IND | L: LAC
1995-12-10 | w: POR | L: HOU
1995-12-10 | w: TOR | L: MEM
1995-12-11 | w: UTA | L: CHA
1995-12-11 | w: DEN | L: PHI
1995-12-12 | w: HOU | L: SAC
1995-12-12 | w: GSW | L: MIA
1995-12-12 | w: NYK | L: LAL
1995-12-12 | w: ORL | L: BKN
1995-12-12 | w: CHA | L: PHX
1995-12-12 | w: CLE | L: LAC
1995-12-12 | w: IND | L: DEN
1995-12-12 | w: MIN | L: ATL
1995-12-12 | w: WAS | L: MIL
1995-12-12 | w: DAL | L: OKC
1995-12-12 | w: BOS | L: TOR
1995-12-13 | w: CHI | L: ORL
1995-12-13 | w: OKC | L: SAS
1995-12-13 | w: BOS | L: PHI
1995-12-13 | w: LAL | L: DET
1995-12-13 | w: HOU | L: MEM
1995-12-14 | w: LAC | L: MIA
1995-12-14 | w: DEN | L: NYK
1995-12-14 | w: POR | L: CHA
1995-12-14 | w: CHI | L: ATL
1995-12-14 | w: SAS | L: DAL
1995-12-14 | w: IND | L: TOR
1995-12-15 | w: BOS | L: TOR
1995-12-15 | w: DET | L: BKN
1995-12-15 | w: SAC | L: HOU
1995-12-15 | w: IND | L: MIL
1995-12-15 | w: WAS | L: LAL
1995-12-15 | w: OKC | L: GSW
1995-12-15 | w: MEM | L: POR
1995-12-15 | w: CLE | L: MIN
1995-12-15 | w: ORL | L: UTA
1995-12-16 | w: NYK | L: DET
1995-12-16 | w: CHI | L: LAL
1995-12-16 | w: CHA | L: LAC
1995-12-16 | w: SAS | L: SAC
1995-12-16 | w: ATL | L: DEN
1995-12-16 | w: UTA | L: MIA
1995-12-16 | w: PHX | L: DAL
1995-12-16 | w: GSW | L: MEM
1995-12-17 | w: MIL | L: IND
1995-12-17 | w: CLE | L: DEN
1995-12-17 | w: WAS | L: POR
1995-12-17 | w: PHI | L: MIN
1995-12-17 | w: TOR | L: ORL
1995-12-18 | w: UTA | L: BKN
1995-12-18 | w: SAC | L: MEM
1995-12-18 | w: CHI | L: BOS
1995-12-19 | w: SAS | L: POR
1995-12-19 | w: CHI | L: DAL
1995-12-19 | w: WAS | L: LAC
1995-12-19 | w: NYK | L: MIA
1995-12-19 | w: GSW | L: CHA
1995-12-19 | w: LAL | L: MIL
1995-12-19 | w: HOU | L: PHX
1995-12-19 | w: CLE | L: MIN
1995-12-19 | w: MEM | L: OKC
1995-12-19 | w: DET | L: TOR
1995-12-20 | w: MIA | L: BKN
1995-12-20 | w: DEN | L: GSW
1995-12-20 | w: PHI | L: UTA
1995-12-20 | w: PHX | L: WAS
1995-12-20 | w: DET | L: MIL
1995-12-20 | w: IND | L: LAL
1995-12-20 | w: ORL | L: MIN
1995-12-21 | w: LAC | L: SAC
1995-12-21 | w: SAS | L: DEN
1995-12-21 | w: UTA | L: CLE
1995-12-21 | w: HOU | L: POR
1995-12-21 | w: OKC | L: MEM
1995-12-21 | w: CHA | L: BOS
1995-12-22 | w: LAL | L: SAC
1995-12-22 | w: CHI | L: TOR
1995-12-22 | w: GSW | L: WAS
1995-12-22 | w: BOS | L: MIN
1995-12-22 | w: MIL | L: PHI
1995-12-22 | w: IND | L: DAL
1995-12-22 | w: ATL | L: BKN
1995-12-22 | w: DET | L: MIA
1995-12-22 | w: PHX | L: MEM
1995-12-22 | w: ORL | L: NYK
1995-12-23 | w: NYK | L: TOR
1995-12-23 | w: CHI | L: UTA
1995-12-23 | w: SAS | L: HOU
1995-12-23 | w: ORL | L: DET
1995-12-23 | w: LAC | L: DEN
1995-12-23 | w: BKN | L: PHI
1995-12-23 | w: MIL | L: ATL
1995-12-23 | w: LAL | L: POR
1995-12-23 | w: CLE | L: IND
1995-12-23 | w: MIN | L: DAL
1995-12-23 | w: OKC | L: WAS
1995-12-23 | w: CHA | L: MIA
1995-12-25 | w: SAS | L: PHX
1995-12-25 | w: ORL | L: HOU
1995-12-26 | w: LAL | L: BOS
1995-12-26 | w: SAC | L: SAS
1995-12-26 | w: DET | L: GSW
1995-12-26 | w: UTA | L: POR
1995-12-26 | w: DEN | L: DAL
1995-12-26 | w: HOU | L: MEM
1995-12-26 | w: ATL | L: LAC
1995-12-26 | w: IND | L: CHI
1995-12-26 | w: MIA | L: BKN
1995-12-26 | w: TOR | L: MIL
1995-12-27 | w: PHX | L: PHI
1995-12-27 | w: OKC | L: DEN
1995-12-27 | w: WAS | L: GSW
1995-12-27 | w: POR | L: BOS
1995-12-27 | w: MIL | L: MIN
1995-12-27 | w: LAC | L: CHA
1995-12-28 | w: SAS | L: LAL
1995-12-28 | w: CLE | L: NYK
1995-12-28 | w: UTA | L: MIN
1995-12-28 | w: DET | L: TOR
1995-12-28 | w: HOU | L: BKN
1995-12-28 | w: IND | L: MIA
1995-12-28 | w: DAL | L: MEM
1995-12-29 | w: SAC | L: PHI
1995-12-29 | w: CHI | L: IND
1995-12-29 | w: PHX | L: DEN
1995-12-29 | w: GSW | L: ATL
1995-12-29 | w: OKC | L: BOS
1995-12-29 | w: WAS | L: NYK
1995-12-29 | w: ORL | L: LAC
1995-12-29 | w: CHA | L: POR
1995-12-30 | w: SAS | L: MIN
1995-12-30 | w: GSW | L: BKN
1995-12-30 | w: CHI | L: ATL
1995-12-30 | w: OKC | L: PHX
1995-12-30 | w: DEN | L: PHI
1995-12-30 | w: DET | L: CHA
1995-12-30 | w: UTA | L: LAL
1995-12-30 | w: WAS | L: MIL
1995-12-30 | w: CLE | L: POR
1995-12-30 | w: MIA | L: LAC
1995-12-30 | w: MEM | L: BOS
1995-12-30 | w: HOU | L: DAL
1996-01-02 | w: PHI | L: LAL
1996-01-02 | w: POR | L: NYK
1996-01-02 | w: BKN | L: MIL
1996-01-02 | w: IND | L: DEN
1996-01-02 | w: CLE | L: WAS
1996-01-02 | w: OKC | L: ATL
1996-01-02 | w: HOU | L: MIN
1996-01-02 | w: UTA | L: DAL
1996-01-03 | w: SAS | L: UTA
1996-01-03 | w: GSW | L: PHI
1996-01-03 | w: CHI | L: HOU
1996-01-03 | w: IND | L: LAC
1996-01-03 | w: POR | L: BOS
1996-01-03 | w: MIL | L: DET
1996-01-03 | w: ORL | L: TOR
1996-01-04 | w: NYK | L: BKN
1996-01-04 | w: SAC | L: DEN
1996-01-04 | w: MIN | L: PHX
1996-01-04 | w: WAS | L: DAL
1996-01-04 | w: ATL | L: TOR
1996-01-04 | w: OKC | L: MIA
1996-01-04 | w: CHI | L: CHA
1996-01-05 | w: LAL | L: UTA
1996-01-05 | w: BKN | L: DAL
1996-01-05 | w: LAC | L: PHX
1996-01-05 | w: GSW | L: MIN
1996-01-05 | w: IND | L: SAS
1996-01-05 | w: BOS | L: CLE
1996-01-05 | w: MIL | L: POR
1996-01-05 | w: MEM | L: PHI
1996-01-05 | w: ORL | L: OKC
1996-01-06 | w: CHI | L: MIL
1996-01-06 | w: SAC | L: GSW
1996-01-06 | w: DET | L: WAS
1996-01-06 | w: MIA | L: DEN
1996-01-06 | w: CLE | L: ORL
1996-01-06 | w: HOU | L: IND
1996-01-06 | w: CHA | L: ATL
1996-01-07 | w: DEN | L: LAL
1996-01-07 | w: DAL | L: BOS
1996-01-07 | w: POR | L: MIN
1996-01-07 | w: LAC | L: MEM
1996-01-08 | w: UTA | L: MIA
1996-01-08 | w: CLE | L: WAS
1996-01-09 | w: LAL | L: MIN
1996-01-09 | w: GSW | L: MEM
1996-01-09 | w: NYK | L: BOS
1996-01-09 | w: OKC | L: MIL
1996-01-09 | w: LAC | L: PHX
1996-01-09 | w: SAS | L: HOU
1996-01-09 | w: ATL | L: SAC
1996-01-09 | w: IND | L: DAL
1996-01-09 | w: ORL | L: BKN
1996-01-09 | w: CHA | L: TOR
1996-01-10 | w: CHI | L: OKC
1996-01-10 | w: SAS | L: CLE
1996-01-10 | w: BKN | L: NYK
1996-01-10 | w: BOS | L: SAC
1996-01-10 | w: WAS | L: PHI
1996-01-10 | w: POR | L: MIA
1996-01-10 | w: DEN | L: MEM
1996-01-11 | w: LAC | L: MIN
1996-01-11 | w: PHX | L: GSW
1996-01-11 | w: IND | L: MIL
1996-01-11 | w: ATL | L: TOR
1996-01-11 | w: DET | L: CHA
1996-01-12 | w: LAL | L: HOU
1996-01-12 | w: PHI | L: BKN
1996-01-12 | w: SAS | L: UTA
1996-01-12 | w: NYK | L: BOS
1996-01-12 | w: DEN | L: CLE
1996-01-12 | w: DAL | L: PHX
1996-01-12 | w: WAS | L: SAC
1996-01-12 | w: OKC | L: MIA
1996-01-12 | w: GSW | L: MEM
1996-01-12 | w: ORL | L: MIL
1996-01-13 | w: HOU | L: LAC
1996-01-13 | w: SAC | L: NYK
1996-01-13 | w: DET | L: BKN
1996-01-13 | w: SAS | L: ORL
1996-01-13 | w: CHI | L: PHI
1996-01-13 | w: POR | L: DEN
1996-01-13 | w: IND | L: MIN
1996-01-13 | w: ATL | L: BOS
1996-01-13 | w: MEM | L: MIA
1996-01-13 | w: CHA | L: DAL
1996-01-13 | w: TOR | L: WAS
1996-01-14 | w: CLE | L: PHX
1996-01-15 | w: LAL | L: MIA
1996-01-15 | w: BKN | L: TOR
1996-01-15 | w: OKC | L: GSW
1996-01-15 | w: MIL | L: NYK
1996-01-15 | w: CHI | L: WAS
1996-01-15 | w: ATL | L: DET
1996-01-15 | w: HOU | L: UTA
1996-01-15 | w: DAL | L: ORL
1996-01-15 | w: MIN | L: SAC
1996-01-16 | w: SAS | L: BOS
1996-01-16 | w: CHI | L: PHI
1996-01-16 | w: POR | L: DEN
1996-01-16 | w: OKC | L: CLE
1996-01-16 | w: IND | L: TOR
1996-01-17 | w: NYK | L: LAC
1996-01-17 | w: ORL | L: PHX
1996-01-17 | w: MIL | L: PHI
1996-01-17 | w: HOU | L: DEN
1996-01-17 | w: ATL | L: IND
1996-01-17 | w: MIA | L: WAS
1996-01-17 | w: MIN | L: GSW
1996-01-17 | w: BKN | L: CHA
1996-01-18 | w: SAC | L: POR
1996-01-18 | w: MIL | L: GSW
1996-01-18 | w: DET | L: SAS
1996-01-18 | w: BOS | L: HOU
1996-01-18 | w: CLE | L: MEM
1996-01-18 | w: CHI | L: TOR
1996-01-19 | w: LAL | L: LAC
1996-01-19 | w: UTA | L: ORL
1996-01-19 | w: ATL | L: PHI
1996-01-19 | w: POR | L: PHX
1996-01-19 | w: IND | L: DET
1996-01-19 | w: WAS | L: BKN
1996-01-19 | w: MIN | L: SAS
1996-01-19 | w: NYK | L: OKC
1996-01-19 | w: CHA | L: MIA
1996-01-19 | w: DAL | L: BOS
1996-01-20 | w: CLE | L: LAL
1996-01-20 | w: BKN | L: MIN
1996-01-20 | w: UTA | L: LAC
1996-01-20 | w: SAC | L: DEN
1996-01-20 | w: ATL | L: MIA
1996-01-20 | w: MEM | L: NYK
1996-01-20 | w: GSW | L: CHA
1996-01-21 | w: CHI | L: DET
1996-01-21 | w: PHX | L: SAC
1996-01-21 | w: SAS | L: PHI
1996-01-21 | w: ORL | L: HOU
1996-01-21 | w: IND | L: WAS
1996-01-21 | w: POR | L: CLE
1996-01-21 | w: OKC | L: DAL
1996-01-21 | w: TOR | L: BOS
1996-01-22 | w: MEM | L: MIL
1996-01-22 | w: ATL | L: HOU
1996-01-22 | w: MIA | L: SAS
1996-01-23 | w: DAL | L: SAC
1996-01-23 | w: CHI | L: NYK
1996-01-23 | w: UTA | L: POR
1996-01-23 | w: ATL | L: CLE
1996-01-23 | w: IND | L: PHX
1996-01-23 | w: ORL | L: PHI
1996-01-23 | w: TOR | L: BKN
1996-01-24 | w: CHI | L: MEM
1996-01-24 | w: UTA | L: GSW
1996-01-24 | w: DET | L: SAS
1996-01-24 | w: HOU | L: BKN
1996-01-24 | w: CLE | L: PHI
1996-01-24 | w: LAL | L: BOS
1996-01-24 | w: IND | L: MIL
1996-01-24 | w: OKC | L: DEN
1996-01-24 | w: NYK | L: MIA
1996-01-24 | w: PHX | L: MIN
1996-01-24 | w: CHA | L: WAS
1996-01-25 | w: LAC | L: DEN
1996-01-25 | w: WAS | L: HOU
1996-01-25 | w: DET | L: DAL
1996-01-25 | w: MEM | L: TOR
1996-01-26 | w: CHI | L: MIA
1996-01-26 | w: BKN | L: CHA
1996-01-26 | w: GSW | L: SAC
1996-01-26 | w: SAS | L: POR
1996-01-26 | w: LAL | L: PHI
1996-01-26 | w: IND | L: BOS
1996-01-26 | w: PHX | L: MIL
1996-01-26 | w: OKC | L: UTA
1996-01-26 | w: ATL | L: ORL
1996-01-27 | w: LAL | L: BKN
1996-01-27 | w: NYK | L: MIN
1996-01-27 | w: OKC | L: LAC
1996-01-27 | w: DEN | L: TOR
1996-01-27 | w: UTA | L: GSW
1996-01-27 | w: IND | L: ORL
1996-01-27 | w: HOU | L: DET
1996-01-27 | w: MIA | L: CLE
1996-01-27 | w: WAS | L: MEM
1996-01-27 | w: POR | L: DAL
1996-01-27 | w: CHA | L: PHI
1996-01-28 | w: CHI | L: PHX
1996-01-29 | w: NYK | L: MIA
1996-01-29 | w: UTA | L: DET
1996-01-29 | w: PHI | L: MEM
1996-01-29 | w: OKC | L: POR
1996-01-29 | w: CHA | L: CLE
1996-01-30 | w: LAL | L: GSW
1996-01-30 | w: SAC | L: TOR
1996-01-30 | w: CHI | L: HOU
1996-01-30 | w: IND | L: ATL
1996-01-30 | w: OKC | L: BKN
1996-01-30 | w: DEN | L: MIN
1996-01-30 | w: PHX | L: MIA
1996-01-30 | w: DAL | L: LAC
1996-01-30 | w: ORL | L: BOS
1996-01-31 | w: SAS | L: LAC
1996-01-31 | w: BOS | L: MEM
1996-01-31 | w: UTA | L: POR
1996-01-31 | w: CLE | L: MIL
1996-01-31 | w: PHX | L: ATL
1996-02-01 | w: NYK | L: ORL
1996-02-01 | w: CHI | L: SAC
1996-02-01 | w: MIL | L: DEN
1996-02-01 | w: DET | L: IND
1996-02-01 | w: DAL | L: OKC
1996-02-01 | w: MIA | L: PHI
1996-02-01 | w: HOU | L: CHA
1996-02-02 | w: CHI | L: LAL
1996-02-02 | w: SAS | L: MIN
1996-02-02 | w: GSW | L: TOR
1996-02-02 | w: UTA | L: LAC
1996-02-02 | w: WAS | L: POR
1996-02-02 | w: IND | L: BOS
1996-02-02 | w: CLE | L: PHX
1996-02-02 | w: BKN | L: MEM
1996-02-02 | w: ORL | L: ATL
1996-02-03 | w: TOR | L: LAC
1996-02-03 | w: CLE | L: MIL
1996-02-03 | w: POR | L: PHI
1996-02-03 | w: SAC | L: DET
1996-02-03 | w: OKC | L: HOU
1996-02-03 | w: MIN | L: DAL
1996-02-03 | w: BOS | L: MIA
1996-02-04 | w: LAL | L: UTA
1996-02-04 | w: GSW | L: BKN
1996-02-04 | w: DEN | L: CHI
1996-02-04 | w: IND | L: NYK
1996-02-04 | w: ATL | L: CHA
1996-02-04 | w: PHX | L: WAS
1996-02-04 | w: ORL | L: SAS
1996-02-05 | w: GSW | L: LAC
1996-02-05 | w: NYK | L: DET
1996-02-05 | w: UTA | L: MEM
1996-02-05 | w: MIN | L: DAL
1996-02-05 | w: MIA | L: SAC
1996-02-05 | w: POR | L: TOR
1996-02-06 | w: MIL | L: DAL
1996-02-06 | w: PHX | L: CHI
1996-02-06 | w: LAL | L: DEN
1996-02-06 | w: CLE | L: BOS
1996-02-06 | w: OKC | L: HOU
1996-02-06 | w: ORL | L: SAC
1996-02-06 | w: SAS | L: CHA
1996-02-07 | w: LAL | L: BKN
1996-02-07 | w: CHI | L: GSW
1996-02-07 | w: NYK | L: WAS
1996-02-07 | w: HOU | L: LAC
1996-02-07 | w: SAS | L: BOS
1996-02-07 | w: PHI | L: IND
1996-02-07 | w: DET | L: ORL
1996-02-07 | w: UTA | L: MEM
1996-02-07 | w: POR | L: MIN
1996-02-07 | w: MIA | L: ATL
1996-02-07 | w: MIL | L: TOR
1996-02-08 | w: DEN | L: LAC
1996-02-08 | w: PHX | L: BKN
1996-02-08 | w: ATL | L: WAS
1996-02-08 | w: DAL | L: UTA
1996-02-08 | w: CHA | L: SAC
1996-02-13 | w: MIN | L: SAC
1996-02-13 | w: UTA | L: SAS
1996-02-13 | w: CHI | L: WAS
1996-02-13 | w: BOS | L: LAC
1996-02-13 | w: OKC | L: PHX
1996-02-13 | w: PHI | L: MIL
1996-02-13 | w: BKN | L: IND
1996-02-13 | w: HOU | L: DAL
1996-02-13 | w: GSW | L: POR
1996-02-13 | w: CLE | L: CHA
1996-02-13 | w: TOR | L: MIA
1996-02-13 | w: ORL | L: DEN
1996-02-14 | w: LAL | L: ATL
1996-02-14 | w: BKN | L: IND
1996-02-14 | w: GSW | L: BOS
1996-02-14 | w: DET | L: PHI
1996-02-14 | w: MEM | L: SAC
1996-02-14 | w: OKC | L: MIN
1996-02-14 | w: CHA | L: NYK
1996-02-15 | w: CHI | L: DET
1996-02-15 | w: MIL | L: WAS
1996-02-15 | w: UTA | L: DAL
1996-02-15 | w: HOU | L: SAS
1996-02-15 | w: PHX | L: POR
1996-02-15 | w: MIA | L: DEN
1996-02-15 | w: CLE | L: TOR
1996-02-16 | w: LAL | L: DAL
1996-02-16 | w: BOS | L: SAC
1996-02-16 | w: SAS | L: GSW
1996-02-16 | w: NYK | L: PHI
