============ Start of Season ============
1993-11-05 | w: PHI | L: WAS
1994-01-26 | w: ATL | L: PHX
1994-01-26 | w: ORL | L: CHA
1994-01-26 | w: MIN | L: UTA
1994-01-27 | w: CLE | L: CHI
1994-01-27 | w: HOU | L: SAC
1994-01-27 | w: NYK | L: LAC
1994-01-27 | w: DEN | L: IND
1994-01-27 | w: OKC | L: BKN
1994-01-27 | w: WAS | L: DAL
1994-01-28 | w: PHX | L: PHI
1994-01-28 | w: LAL | L: DET
1994-01-28 | w: CHI | L: MIL
1994-01-28 | w: MIA | L: ORL
1994-01-28 | w: POR | L: MIN
1994-01-28 | w: UTA | L: GSW
1994-01-28 | w: ATL | L: CHA
1994-01-29 | w: BKN | L: GSW
1994-01-29 | w: LAC | L: MIN
1994-01-29 | w: PHI | L: MIL
1994-01-29 | w: SAS | L: ATL
1994-01-29 | w: MIA | L: CLE
1994-01-29 | w: IND | L: HOU
1994-01-29 | w: DAL | L: SAC
1994-01-29 | w: DEN | L: DET
1994-01-29 | w: NYK | L: OKC
1994-01-29 | w: ORL | L: WAS
1994-01-30 | w: BOS | L: PHX
1994-01-30 | w: NYK | L: POR
1994-01-31 | w: GSW | L: LAC
1994-01-31 | w: CLE | L: DET
1994-01-31 | w: ATL | L: DAL
1994-02-01 | w: SAS | L: LAL
1994-02-01 | w: NYK | L: BOS
1994-02-01 | w: PHX | L: LAC
1994-02-01 | w: BKN | L: OKC
1994-02-01 | w: UTA | L: HOU
1994-02-01 | w: IND | L: WAS
1994-02-01 | w: MIA | L: MIL
1994-02-01 | w: SAC | L: POR
1994-02-01 | w: CHI | L: DEN
1994-02-02 | w: CLE | L: PHI
1994-02-02 | w: GSW | L: DEN
1994-02-02 | w: OKC | L: BOS
1994-02-02 | w: DET | L: MIL
1994-02-02 | w: ATL | L: ORL
1994-02-02 | w: IND | L: CHA
1994-02-02 | w: DAL | L: MIN
1994-02-02 | w: NYK | L: WAS
1994-02-03 | w: SAS | L: CLE
1994-02-03 | w: HOU | L: LAL
1994-02-03 | w: POR | L: PHX
1994-02-03 | w: CHI | L: UTA
1994-02-04 | w: WAS | L: PHI
1994-02-04 | w: CHI | L: GSW
1994-02-04 | w: SAS | L: BOS
1994-02-04 | w: MIL | L: ORL
1994-02-04 | w: OKC | L: DET
1994-02-04 | w: IND | L: MIN
1994-02-04 | w: ATL | L: NYK
1994-02-04 | w: LAL | L: DAL
1994-02-04 | w: DEN | L: SAC
1994-02-04 | w: MIA | L: CHA
1994-02-05 | w: CLE | L: ATL
1994-02-05 | w: LAC | L: SAC
1994-02-05 | w: BKN | L: DET
1994-02-05 | w: PHI | L: MIA
1994-02-05 | w: UTA | L: POR
1994-02-05 | w: IND | L: CHA
1994-02-05 | w: OKC | L: MIL
1994-02-06 | w: LAL | L: UTA
1994-02-06 | w: NYK | L: ORL
1994-02-06 | w: PHX | L: CHI
1994-02-06 | w: SAS | L: BKN
1994-02-06 | w: HOU | L: MIN
1994-02-06 | w: DEN | L: DAL
1994-02-06 | w: GSW | L: WAS
1994-02-07 | w: PHI | L: CHA
1994-02-07 | w: MIA | L: NYK
1994-02-07 | w: IND | L: GSW
1994-02-07 | w: ATL | L: DET
1994-02-08 | w: SAS | L: WAS
1994-02-08 | w: LAL | L: PHX
1994-02-08 | w: CLE | L: BKN
1994-02-08 | w: CHI | L: LAC
1994-02-08 | w: POR | L: SAC
1994-02-08 | w: MIL | L: HOU
1994-02-08 | w: DAL | L: MIN
1994-02-08 | w: UTA | L: DEN
1994-02-09 | w: NYK | L: PHI
1994-02-09 | w: PHX | L: MIN
1994-02-09 | w: DET | L: BOS
1994-02-09 | w: BKN | L: CLE
1994-02-09 | w: ORL | L: ATL
1994-02-09 | w: IND | L: MIA
1994-02-09 | w: LAL | L: UTA
1994-02-09 | w: SAC | L: LAC
1994-02-09 | w: GSW | L: CHA
1994-02-09 | w: OKC | L: POR
1994-02-10 | w: SAS | L: DEN
1994-02-10 | w: SAC | L: LAL
1994-02-10 | w: GSW | L: NYK
1994-02-10 | w: HOU | L: DET
1994-02-10 | w: ATL | L: MIA
1994-02-10 | w: CHI | L: MIL
1994-02-10 | w: DAL | L: WAS
1994-02-15 | w: GSW | L: SAC
1994-02-15 | w: SAS | L: IND
1994-02-15 | w: LAC | L: LAL
1994-02-15 | w: BKN | L: NYK
1994-02-15 | w: CLE | L: DEN
1994-02-15 | w: HOU | L: ATL
1994-02-15 | w: ORL | L: BOS
1994-02-15 | w: DET | L: WAS
1994-02-15 | w: POR | L: DAL
1994-02-15 | w: MIN | L: MIL
1994-02-15 | w: OKC | L: PHI
1994-02-16 | w: MIA | L: CHI
1994-02-16 | w: PHX | L: POR
1994-02-16 | w: UTA | L: LAC
1994-02-16 | w: DEN | L: MIL
1994-02-16 | w: SAC | L: PHI
1994-02-16 | w: CHA | L: HOU
1994-02-17 | w: GSW | L: ATL
1994-02-17 | w: SAS | L: DET
1994-02-17 | w: BKN | L: BOS
1994-02-17 | w: NYK | L: CLE
1994-02-17 | w: MIA | L: OKC
1994-02-17 | w: IND | L: DAL
1994-02-17 | w: WAS | L: MIN
1994-02-18 | w: DEN | L: CHI
1994-02-18 | w: PHX | L: LAL
1994-02-18 | w: ORL | L: OKC
1994-02-18 | w: ATL | L: LAC
1994-02-18 | w: POR | L: PHI
1994-02-18 | w: SAC | L: UTA
1994-02-18 | w: CLE | L: MIN
1994-02-18 | w: MIL | L: CHA
1994-02-18 | w: BKN | L: WAS
1994-02-19 | w: GSW | L: BOS
1994-02-19 | w: SAS | L: MIA
1994-02-19 | w: HOU | L: PHX
1994-02-19 | w: UTA | L: LAC
1994-02-19 | w: DET | L: DAL
1994-02-20 | w: LAL | L: PHI
1994-02-20 | w: NYK | L: CHI
1994-02-20 | w: BKN | L: WAS
1994-02-20 | w: POR | L: BOS
1994-02-20 | w: IND | L: OKC
1994-02-20 | w: ORL | L: MIL
1994-02-20 | w: DEN | L: ATL
1994-02-20 | w: CLE | L: CHA
1994-02-21 | w: CHI | L: CHA
1994-02-21 | w: PHX | L: SAC
1994-02-21 | w: DAL | L: DET
1994-02-21 | w: MIA | L: WAS
1994-02-21 | w: UTA | L: PHI
1994-02-21 | w: SAS | L: MIN
1994-02-22 | w: OKC | L: NYK
1994-02-22 | w: MIA | L: BKN
1994-02-22 | w: CLE | L: MIN
1994-02-22 | w: HOU | L: DEN
1994-02-22 | w: POR | L: LAC
1994-02-22 | w: IND | L: DAL
1994-02-22 | w: GSW | L: MIL
1994-02-22 | w: SAC | L: BOS
1994-02-23 | w: BKN | L: PHI
1994-02-23 | w: CHI | L: GSW
1994-02-23 | w: ORL | L: IND
1994-02-23 | w: POR | L: LAC
1994-02-23 | w: UTA | L: SAS
1994-02-23 | w: ATL | L: OKC
1994-02-23 | w: DEN | L: BOS
1994-02-23 | w: CLE | L: WAS
1994-02-24 | w: HOU | L: NYK
1994-02-24 | w: SAC | L: LAL
1994-02-24 | w: DAL | L: CHA
