============ Start of Season ============
1956-10-27 | w: BOS | L: NYK
1957-03-02 | w: SAC | L: BOS
1957-03-02 | w: NYK | L: ATL
1957-03-03 | w: BOS | L: SAC
1957-03-03 | w: LAL | L: NYK
1957-03-03 | w: PHI | L: GSW
1957-03-03 | w: ATL | L: DET
1957-03-05 | w: PHI | L: NYK
1957-03-05 | w: GSW | L: DET
1957-03-05 | w: ATL | L: BOS
1957-03-06 | w: NYK | L: PHI
1957-03-06 | w: SAC | L: GSW
1957-03-07 | w: NYK | L: PHI
1957-03-07 | w: GSW | L: DET
1957-03-07 | w: LAL | L: BOS
1957-03-08 | w: LAL | L: DET
1957-03-08 | w: ATL | L: SAC
1957-03-09 | w: PHI | L: BOS
1957-03-09 | w: ATL | L: DET
1957-03-10 | w: NYK | L: GSW
1957-03-10 | w: PHI | L: BOS
1957-03-10 | w: LAL | L: ATL
1957-03-10 | w: DET | L: SAC
1957-03-12 | w: LAL | L: GSW
1957-03-13 | w: BOS | L: NYK
1957-03-13 | w: LAL | L: GSW
1957-03-13 | w: DET | L: PHI
1957-03-13 | w: SAC | L: ATL
1957-03-14 | w: ATL | L: DET
1957-03-16 | w: ATL | L: LAL
============ End of Regular Season ============
1957-03-16 | w: PHI | L: GSW
1957-03-17 | w: LAL | L: DET
1957-03-18 | w: PHI | L: GSW
1957-03-19 | w: LAL | L: DET
1957-03-21 | w: BOS | L: PHI
1957-03-21 | w: ATL | L: LAL
1957-03-23 | w: BOS | L: PHI
1957-03-24 | w: BOS | L: PHI
1957-03-24 | w: ATL | L: LAL
1957-03-25 | w: ATL | L: LAL
1957-03-30 | w: ATL | L: BOS
1957-03-31 | w: BOS | L: ATL
1957-04-06 | w: ATL | L: BOS
1957-04-07 | w: BOS | L: ATL
1957-04-09 | w: BOS | L: ATL
1957-04-11 | w: ATL | L: BOS
1957-04-13 | w: BOS | L: ATL
============ End of Playoffs ============
