============ Start of Season ============
2008-10-28 | w: BOS | L: CLE
2009-01-06 | w: CHI | L: SAC
2009-01-06 | w: PHI | L: HOU
2009-01-06 | w: NOP | L: LAL
2009-01-06 | w: MIN | L: MEM
2009-01-06 | w: OKC | L: NYK
2009-01-07 | w: HOU | L: BOS
2009-01-07 | w: ORL | L: ATL
2009-01-07 | w: POR | L: DET
2009-01-07 | w: DEN | L: MIA
2009-01-07 | w: CLE | L: CHA
2009-01-07 | w: MIN | L: OKC
2009-01-07 | w: IND | L: PHX
2009-01-07 | w: PHI | L: MIL
2009-01-07 | w: TOR | L: WAS
2009-01-07 | w: LAL | L: GSW
2009-01-07 | w: BKN | L: MEM
2009-01-07 | w: UTA | L: NOP
2009-01-08 | w: SAS | L: LAC
2009-01-08 | w: DAL | L: NYK
2009-01-09 | w: MIA | L: SAC
2009-01-09 | w: PHI | L: CHA
2009-01-09 | w: CHI | L: WAS
2009-01-09 | w: CLE | L: BOS
2009-01-09 | w: DET | L: DEN
2009-01-09 | w: TOR | L: MEM
2009-01-09 | w: ORL | L: ATL
2009-01-09 | w: LAL | L: IND
2009-01-09 | w: NOP | L: LAC
2009-01-09 | w: PHX | L: DAL
2009-01-09 | w: MIL | L: BKN
2009-01-09 | w: HOU | L: OKC
2009-01-10 | w: OKC | L: CHI
2009-01-10 | w: MIN | L: MIL
2009-01-10 | w: POR | L: GSW
2009-01-10 | w: HOU | L: NYK
2009-01-10 | w: UTA | L: DET
2009-01-10 | w: CHA | L: WAS
2009-01-11 | w: PHI | L: ATL
2009-01-11 | w: LAL | L: MIA
2009-01-11 | w: ORL | L: SAS
2009-01-11 | w: BOS | L: TOR
2009-01-11 | w: SAC | L: DAL
2009-01-11 | w: PHX | L: LAC
2009-01-11 | w: GSW | L: IND
2009-01-12 | w: POR | L: CHI
2009-01-12 | w: BOS | L: TOR
2009-01-12 | w: NYK | L: NOP
2009-01-12 | w: BKN | L: OKC
2009-01-12 | w: MIL | L: WAS
2009-01-12 | w: UTA | L: IND
2009-01-13 | w: LAL | L: HOU
2009-01-13 | w: CHA | L: DET
2009-01-13 | w: MIA | L: MIN
2009-01-13 | w: ORL | L: SAC
2009-01-13 | w: DEN | L: DAL
2009-01-13 | w: PHX | L: ATL
2009-01-13 | w: CLE | L: MEM
2009-01-14 | w: PHI | L: POR
2009-01-14 | w: BOS | L: BKN
2009-01-14 | w: SAS | L: LAL
2009-01-14 | w: IND | L: DET
2009-01-14 | w: ATL | L: LAC
2009-01-14 | w: NYK | L: WAS
2009-01-14 | w: CHI | L: TOR
2009-01-14 | w: NOP | L: DAL
2009-01-14 | w: OKC | L: UTA
2009-01-14 | w: MIA | L: MIL
2009-01-14 | w: SAC | L: GSW
2009-01-15 | w: DEN | L: PHX
2009-01-15 | w: CHI | L: CLE
2009-01-15 | w: POR | L: BKN
2009-01-16 | w: MIL | L: SAC
2009-01-16 | w: ORL | L: LAL
2009-01-16 | w: PHI | L: SAS
2009-01-16 | w: IND | L: TOR
2009-01-16 | w: CLE | L: NOP
2009-01-16 | w: WAS | L: NYK
2009-01-16 | w: UTA | L: MEM
2009-01-16 | w: MIN | L: PHX
2009-01-16 | w: OKC | L: DET
2009-01-16 | w: GSW | L: ATL
2009-01-17 | w: NOP | L: DET
2009-01-17 | w: ORL | L: DEN
2009-01-17 | w: SAS | L: CHI
2009-01-17 | w: CHA | L: POR
2009-01-17 | w: DAL | L: UTA
2009-01-17 | w: HOU | L: MIA
2009-01-17 | w: PHI | L: NYK
2009-01-17 | w: LAC | L: MIL
2009-01-17 | w: BOS | L: BKN
2009-01-18 | w: PHX | L: TOR
2009-01-18 | w: MIA | L: OKC
2009-01-19 | w: DAL | L: PHI
2009-01-19 | w: LAL | L: CLE
2009-01-19 | w: NYK | L: CHI
2009-01-19 | w: MIN | L: LAC
2009-01-19 | w: POR | L: MIL
2009-01-19 | w: HOU | L: DEN
2009-01-19 | w: BOS | L: PHX
2009-01-19 | w: ATL | L: TOR
2009-01-19 | w: NOP | L: IND
2009-01-19 | w: SAS | L: CHA
2009-01-19 | w: DET | L: MEM
2009-01-19 | w: GSW | L: WAS
2009-01-20 | w: SAS | L: IND
2009-01-20 | w: DEN | L: SAC
2009-01-20 | w: ATL | L: CHI
2009-01-20 | w: UTA | L: MIN
2009-01-21 | w: LAL | L: LAC
2009-01-21 | w: BOS | L: MIA
2009-01-21 | w: CLE | L: POR
2009-01-21 | w: NYK | L: PHX
2009-01-21 | w: WAS | L: SAC
2009-01-21 | w: DET | L: TOR
2009-01-21 | w: HOU | L: UTA
2009-01-21 | w: CHA | L: MEM
2009-01-21 | w: NOP | L: BKN
2009-01-21 | w: MIL | L: DAL
2009-01-21 | w: OKC | L: GSW
2009-01-22 | w: LAL | L: WAS
2009-01-22 | w: BOS | L: ORL
2009-01-23 | w: IND | L: HOU
2009-01-23 | w: SAS | L: BKN
2009-01-23 | w: NYK | L: MEM
2009-01-23 | w: LAC | L: OKC
2009-01-23 | w: DAL | L: DET
2009-01-23 | w: TOR | L: CHI
2009-01-23 | w: MIN | L: NOP
2009-01-23 | w: ATL | L: MIL
2009-01-23 | w: CHA | L: PHX
2009-01-23 | w: CLE | L: GSW
2009-01-24 | w: MIA | L: ORL
2009-01-24 | w: PHI | L: NYK
2009-01-24 | w: POR | L: WAS
2009-01-24 | w: BKN | L: MEM
2009-01-24 | w: CLE | L: UTA
2009-01-24 | w: MIL | L: SAC
2009-01-25 | w: LAL | L: SAS
2009-01-25 | w: MIN | L: CHI
2009-01-25 | w: TOR | L: SAC
2009-01-25 | w: BOS | L: DAL
2009-01-25 | w: IND | L: CHA
2009-01-25 | w: HOU | L: DET
2009-01-25 | w: PHX | L: ATL
2009-01-25 | w: DEN | L: UTA
2009-01-25 | w: GSW | L: LAC
2009-01-26 | w: NYK | L: HOU
2009-01-26 | w: MIA | L: ATL
2009-01-26 | w: POR | L: LAC
2009-01-26 | w: NOP | L: PHI
2009-01-26 | w: PHX | L: WAS
2009-01-26 | w: OKC | L: BKN
2009-01-26 | w: MIN | L: MIL
2009-01-27 | w: CLE | L: SAC
2009-01-27 | w: CHA | L: LAL
2009-01-27 | w: ORL | L: IND
2009-01-27 | w: DEN | L: MEM
2009-01-27 | w: SAS | L: UTA
2009-01-28 | w: IND | L: MIL
2009-01-28 | w: DET | L: MIN
2009-01-28 | w: POR | L: CHA
2009-01-28 | w: MIA | L: WAS
2009-01-28 | w: NYK | L: ATL
2009-01-28 | w: DAL | L: GSW
2009-01-28 | w: PHI | L: HOU
2009-01-28 | w: BOS | L: SAC
2009-01-28 | w: CHI | L: LAC
2009-01-28 | w: OKC | L: MEM
2009-01-28 | w: TOR | L: BKN
2009-01-28 | w: NOP | L: DEN
2009-01-29 | w: ORL | L: CLE
2009-01-29 | w: SAS | L: PHX
2009-01-30 | w: IND | L: MIA
2009-01-30 | w: LAL | L: MIN
2009-01-30 | w: MIL | L: TOR
2009-01-30 | w: BOS | L: DET
2009-01-30 | w: CLE | L: LAC
2009-01-30 | w: CHI | L: SAC
2009-01-30 | w: ATL | L: BKN
2009-01-30 | w: PHI | L: WAS
2009-01-30 | w: DEN | L: CHA
2009-01-30 | w: UTA | L: OKC
2009-01-30 | w: GSW | L: NOP
2009-01-31 | w: NYK | L: IND
2009-01-31 | w: HOU | L: GSW
2009-01-31 | w: DAL | L: MIA
2009-01-31 | w: SAS | L: NOP
2009-01-31 | w: POR | L: UTA
2009-01-31 | w: BKN | L: PHI
2009-01-31 | w: WAS | L: LAC
2009-01-31 | w: LAL | L: MEM
2009-01-31 | w: CHI | L: PHX
2009-01-31 | w: MIL | L: ATL
2009-02-01 | w: BOS | L: MIN
2009-02-01 | w: CLE | L: DET
2009-02-01 | w: SAC | L: OKC
2009-02-01 | w: ORL | L: TOR
