============ Start of Season ============
1982-10-29 | w: GOS | L: LAL
1982-11-19 | w: LAL | L: WAS
1982-11-19 | w: HOU | L: IND
1982-11-19 | w: BOS | L: SAN
1982-11-19 | w: DET | L: GOS
1982-11-19 | w: OKC | L: CLE
1982-11-19 | w: CHI | L: UTH
1982-11-19 | w: POR | L: BKN
1982-11-19 | w: PHL | L: MIL
1982-11-20 | w: BOS | L: NYK
1982-11-20 | w: PHX | L: ATL
1982-11-20 | w: CHI | L: DET
1982-11-20 | w: SAN | L: GOS
1982-11-20 | w: WAS | L: LAC
1982-11-20 | w: SAC | L: DAL
1982-11-21 | w: LAL | L: DEN
1982-11-21 | w: BKN | L: OKC
1982-11-21 | w: POR | L: CLE
1982-11-21 | w: MIL | L: IND
1982-11-23 | w: ATL | L: CHI
1982-11-23 | w: BKN | L: GOS
1982-11-23 | w: IND | L: NYK
1982-11-23 | w: DET | L: HOU
1982-11-23 | w: UTH | L: CLE
1982-11-23 | w: SAN | L: DEN
1982-11-23 | w: POR | L: PHL
1982-11-24 | w: BOS | L: POR
1982-11-24 | w: LAL | L: OKC
1982-11-24 | w: WAS | L: PHX
1982-11-24 | w: MIL | L: UTH
1982-11-24 | w: SAC | L: DET
1982-11-24 | w: DEN | L: SAN
1982-11-24 | w: LAC | L: BKN
1982-11-24 | w: DAL | L: CHI
1982-11-24 | w: PHL | L: IND
1982-11-25 | w: SAC | L: HOU
1982-11-26 | w: OKC | L: DEN
1982-11-26 | w: BOS | L: UTH
1982-11-26 | w: PHX | L: BKN
1982-11-26 | w: SAN | L: CHI
1982-11-26 | w: WAS | L: IND
1982-11-26 | w: LAL | L: LAC
1982-11-26 | w: DET | L: POR
1982-11-26 | w: PHL | L: CLE
1982-11-27 | w: ATL | L: IND
1982-11-27 | w: OKC | L: GOS
1982-11-27 | w: WAS | L: POR
1982-11-27 | w: HOU | L: CHI
1982-11-27 | w: MIL | L: NYK
1982-11-27 | w: SAC | L: PHX
1982-11-27 | w: DEN | L: LAC
1982-11-27 | w: SAN | L: DAL
1982-11-27 | w: PHL | L: UTH
1982-11-28 | w: LAL | L: GOS
1982-11-28 | w: BOS | L: MIL
1982-11-28 | w: CLE | L: SAC
1982-11-30 | w: DET | L: BOS
1982-11-30 | w: GOS | L: PHX
1982-11-30 | w: NYK | L: UTH
1982-11-30 | w: MIL | L: CLE
1982-11-30 | w: POR | L: LAC
1982-11-30 | w: SAN | L: LAL
1982-11-30 | w: DAL | L: DEN
1982-11-30 | w: BKN | L: SAC
1982-11-30 | w: ATL | L: PHL
1982-12-01 | w: DET | L: SAN
1982-12-01 | w: OKC | L: LAC
1982-12-01 | w: BOS | L: ATL
1982-12-01 | w: BKN | L: WAS
1982-12-01 | w: LAL | L: HOU
1982-12-01 | w: NYK | L: CLE
1982-12-01 | w: SAC | L: CHI
1982-12-01 | w: MIL | L: IND
1982-12-02 | w: UTH | L: POR
1982-12-02 | w: DAL | L: GOS
1982-12-02 | w: PHL | L: PHX
1982-12-03 | w: LAL | L: POR
1982-12-03 | w: BKN | L: ATL
1982-12-03 | w: WAS | L: NYK
1982-12-03 | w: MIL | L: BOS
1982-12-03 | w: GOS | L: SAC
1982-12-03 | w: SAN | L: HOU
1982-12-03 | w: IND | L: CLE
1982-12-03 | w: DEN | L: CHI
1982-12-03 | w: PHL | L: LAC
1982-12-04 | w: ATL | L: NYK
1982-12-04 | w: BOS | L: DET
1982-12-04 | w: HOU | L: SAN
1982-12-04 | w: LAC | L: PHX
1982-12-04 | w: CLE | L: IND
1982-12-04 | w: UTH | L: CHI
1982-12-04 | w: WAS | L: DAL
1982-12-05 | w: PHL | L: LAL
1982-12-05 | w: GOS | L: UTH
1982-12-05 | w: SAC | L: OKC
1982-12-05 | w: BKN | L: MIL
1982-12-07 | w: CHI | L: NYK
1982-12-07 | w: POR | L: UTH
1982-12-07 | w: GOS | L: LAC
1982-12-07 | w: OKC | L: HOU
1982-12-07 | w: ATL | L: CLE
1982-12-07 | w: SAN | L: DAL
1982-12-08 | w: LAL | L: PHX
1982-12-08 | w: BOS | L: CLE
1982-12-08 | w: NYK | L: DET
1982-12-08 | w: CHI | L: MIL
1982-12-08 | w: UTH | L: HOU
1982-12-08 | w: IND | L: DEN
1982-12-08 | w: BKN | L: WAS
1982-12-08 | w: DAL | L: OKC
1982-12-08 | w: SAN | L: SAC
1982-12-08 | w: PHL | L: ATL
1982-12-09 | w: POR | L: GOS
1982-12-09 | w: WAS | L: DEN
1982-12-10 | w: MIL | L: ATL
1982-12-10 | w: DAL | L: DET
1982-12-10 | w: GOS | L: OKC
1982-12-10 | w: PHX | L: HOU
1982-12-10 | w: DEN | L: CLE
1982-12-10 | w: SAC | L: LAC
1982-12-10 | w: LAL | L: UTH
1982-12-10 | w: IND | L: NYK
1982-12-10 | w: SAN | L: BKN
1982-12-10 | w: BOS | L: PHL
1982-12-11 | w: LAL | L: GOS
1982-12-11 | w: NYK | L: WAS
1982-12-11 | w: UTH | L: HOU
1982-12-11 | w: ATL | L: CHI
1982-12-11 | w: SAC | L: SAN
1982-12-11 | w: DAL | L: LAC
1982-12-11 | w: PHL | L: DET
1982-12-12 | w: BOS | L: DEN
1982-12-12 | w: MIL | L: IND
1982-12-12 | w: POR | L: PHX
1982-12-14 | w: POR | L: LAL
1982-12-14 | w: GOS | L: DAL
1982-12-14 | w: DET | L: NYK
1982-12-14 | w: SAN | L: HOU
1982-12-14 | w: WAS | L: CHI
1982-12-14 | w: PHX | L: OKC
1982-12-15 | w: BOS | L: DET
1982-12-15 | w: DEN | L: MIL
1982-12-15 | w: SAC | L: BKN
1982-12-15 | w: UTH | L: LAC
1982-12-15 | w: ATL | L: IND
1982-12-15 | w: PHL | L: CLE
1982-12-16 | w: ATL | L: CLE
1982-12-16 | w: OKC | L: DAL
1982-12-16 | w: GOS | L: PHX
1982-12-16 | w: SAN | L: DEN
1982-12-16 | w: POR | L: LAC
1982-12-16 | w: NYK | L: BOS
1982-12-17 | w: LAL | L: BKN
1982-12-17 | w: WAS | L: DET
1982-12-17 | w: OKC | L: SAC
1982-12-17 | w: HOU | L: IND
1982-12-17 | w: MIL | L: CHI
1982-12-17 | w: SAN | L: UTH
1982-12-17 | w: PHL | L: NYK
1982-12-18 | w: SAC | L: GOS
1982-12-18 | w: CHI | L: IND
1982-12-18 | w: PHX | L: LAL
1982-12-18 | w: POR | L: DAL
1982-12-18 | w: DET | L: CLE
1982-12-18 | w: UTH | L: HOU
1982-12-18 | w: BKN | L: DEN
1982-12-18 | w: OKC | L: LAC
1982-12-18 | w: BOS | L: ATL
1982-12-18 | w: WAS | L: PHL
1982-12-19 | w: LAL | L: DAL
1982-12-19 | w: DET | L: BOS
1982-12-19 | w: MIL | L: SAN
1982-12-20 | w: UTH | L: SAC
1982-12-21 | w: GOS | L: HOU
1982-12-21 | w: WAS | L: CLE
1982-12-21 | w: OKC | L: POR
1982-12-21 | w: PHX | L: SAN
1982-12-21 | w: DET | L: BKN
1982-12-21 | w: DAL | L: LAC
1982-12-21 | w: NYK | L: MIL
1982-12-21 | w: CHI | L: ATL
1982-12-21 | w: PHL | L: BOS
1982-12-22 | w: LAL | L: UTH
1982-12-22 | w: BOS | L: CHI
1982-12-22 | w: CLE | L: IND
1982-12-22 | w: SAC | L: DEN
1982-12-23 | w: DEN | L: DET
1982-12-23 | w: OKC | L: GOS
1982-12-23 | w: PHX | L: DAL
1982-12-23 | w: MIL | L: ATL
1982-12-23 | w: POR | L: HOU
1982-12-23 | w: BKN | L: WAS
1982-12-23 | w: LAL | L: LAC
1982-12-25 | w: ATL | L: WAS
1982-12-25 | w: POR | L: OKC
1982-12-25 | w: PHX | L: UTH
1982-12-25 | w: BKN | L: NYK
1982-12-26 | w: OKC | L: PHX
1982-12-26 | w: LAL | L: HOU
1982-12-26 | w: MIL | L: DET
1982-12-26 | w: SAC | L: UTH
1982-12-26 | w: IND | L: NYK
1982-12-26 | w: LAC | L: POR
1982-12-26 | w: PHL | L: SAN
1982-12-27 | w: BKN | L: CLE
1982-12-27 | w: DEN | L: GOS
1982-12-27 | w: WAS | L: CHI
1982-12-28 | w: PHL | L: HOU
1982-12-28 | w: ATL | L: LAC
1982-12-28 | w: MIL | L: CHI
1982-12-28 | w: PHX | L: POR
1982-12-28 | w: SAC | L: BOS
1982-12-28 | w: DEN | L: IND
1982-12-28 | w: UTH | L: DET
1982-12-29 | w: LAL | L: GOS
1982-12-29 | w: WAS | L: MIL
1982-12-29 | w: OKC | L: UTH
1982-12-29 | w: NYK | L: CLE
1982-12-29 | w: SAN | L: LAC
1982-12-29 | w: BKN | L: ATL
1982-12-29 | w: PHL | L: DAL
1982-12-30 | w: LAL | L: OKC
1982-12-30 | w: NYK | L: CLE
1982-12-30 | w: LAC | L: HOU
1982-12-30 | w: SAN | L: CHI
1982-12-30 | w: PHX | L: DET
1982-12-30 | w: MIL | L: DAL
1982-12-30 | w: POR | L: SAC
1982-12-30 | w: IND | L: UTH
1982-12-30 | w: BOS | L: DEN
1983-01-01 | w: NYK | L: WAS
1983-01-01 | w: POR | L: GOS
1983-01-01 | w: BOS | L: UTH
1983-01-01 | w: DEN | L: PHX
1983-01-01 | w: DET | L: LAC
1983-01-01 | w: BKN | L: DAL
1983-01-02 | w: LAL | L: DET
1983-01-02 | w: SAC | L: ATL
1983-01-02 | w: GOS | L: IND
1983-01-02 | w: PHX | L: OKC
1983-01-02 | w: MIL | L: HOU
1983-01-02 | w: POR | L: DEN
1983-01-02 | w: SAN | L: CLE
1983-01-04 | w: SAN | L: ATL
1983-01-04 | w: UTH | L: GOS
1983-01-04 | w: PHX | L: NYK
1983-01-04 | w: WAS | L: DAL
1983-01-04 | w: BOS | L: HOU
1983-01-04 | w: BKN | L: MIL
1983-01-04 | w: POR | L: IND
1983-01-04 | w: DEN | L: SAC
1983-01-04 | w: CHI | L: DET
1983-01-05 | w: DET | L: CLE
1983-01-05 | w: IND | L: OKC
1983-01-05 | w: SAC | L: DEN
1983-01-05 | w: DAL | L: SAN
1983-01-05 | w: LAC | L: UTH
1983-01-05 | w: PHL | L: LAL
1983-01-06 | w: GOS | L: POR
1983-01-06 | w: ATL | L: NYK
1983-01-06 | w: LAL | L: CLE
1983-01-06 | w: HOU | L: LAC
1983-01-06 | w: BKN | L: PHX
1983-01-07 | w: ATL | L: DAL
1983-01-07 | w: BKN | L: CHI
1983-01-07 | w: MIL | L: DET
1983-01-07 | w: SAC | L: UTH
1983-01-07 | w: BOS | L: SAN
1983-01-07 | w: PHX | L: IND
1983-01-07 | w: DEN | L: HOU
1983-01-07 | w: PHL | L: WAS
1983-01-08 | w: ATL | L: CHI
1983-01-08 | w: GOS | L: OKC
1983-01-08 | w: LAL | L: NYK
1983-01-08 | w: UTH | L: HOU
1983-01-08 | w: CLE | L: WAS
1983-01-08 | w: LAC | L: DEN
1983-01-08 | w: BOS | L: DAL
1983-01-08 | w: PHL | L: SAC
1983-01-09 | w: MIL | L: PHX
1983-01-09 | w: POR | L: OKC
1983-01-09 | w: BKN | L: DET
1983-01-11 | w: DEN | L: OKC
1983-01-11 | w: NYK | L: GOS
1983-01-11 | w: LAC | L: HOU
1983-01-11 | w: PHX | L: CHI
1983-01-11 | w: UTH | L: SAC
1983-01-11 | w: SAN | L: DAL
1983-01-11 | w: BKN | L: LAL
1983-01-11 | w: PHL | L: ATL
1983-01-12 | w: BOS | L: GOS
1983-01-12 | w: DET | L: WAS
1983-01-12 | w: CHI | L: CLE
1983-01-12 | w: SAC | L: SAN
1983-01-12 | w: DEN | L: UTH
1983-01-12 | w: BKN | L: IND
1983-01-12 | w: DAL | L: LAC
1983-01-12 | w: PHL | L: MIL
1983-01-13 | w: PHX | L: OKC
1983-01-13 | w: MIL | L: CLE
1983-01-14 | w: ATL | L: NYK
1983-01-14 | w: BOS | L: BKN
1983-01-14 | w: GOS | L: WAS
1983-01-14 | w: POR | L: OKC
1983-01-14 | w: SAN | L: HOU
1983-01-14 | w: LAC | L: SAC
1983-01-14 | w: DAL | L: DEN
1983-01-14 | w: CHI | L: IND
1983-01-14 | w: PHL | L: DET
1983-01-15 | w: LAL | L: ATL
1983-01-15 | w: DEN | L: HOU
1983-01-15 | w: PHX | L: LAC
1983-01-15 | w: POR | L: SAC
1983-01-15 | w: CLE | L: BOS
1983-01-15 | w: SAN | L: WAS
1983-01-15 | w: UTH | L: DAL
1983-01-15 | w: BKN | L: NYK
1983-01-15 | w: MIL | L: CHI
1983-01-15 | w: PHL | L: IND
1983-01-16 | w: OKC | L: SAC
1983-01-16 | w: MIL | L: GOS
1983-01-16 | w: UTH | L: LAC
1983-01-17 | w: NYK | L: CHI
1983-01-17 | w: ATL | L: BKN
1983-01-18 | w: DAL | L: GOS
1983-01-18 | w: HOU | L: WAS
1983-01-18 | w: SAN | L: DEN
1983-01-18 | w: BOS | L: IND
1983-01-18 | w: PHL | L: CLE
1983-01-19 | w: LAL | L: LAC
1983-01-19 | w: ATL | L: OKC
1983-01-19 | w: DET | L: MIL
1983-01-19 | w: PHX | L: SAN
1983-01-19 | w: SAC | L: NYK
1983-01-19 | w: GOS | L: UTH
1983-01-19 | w: DEN | L: HOU
1983-01-19 | w: PHL | L: CHI
1983-01-20 | w: CLE | L: WAS
1983-01-20 | w: DAL | L: POR
1983-01-20 | w: LAC | L: IND
1983-01-21 | w: LAL | L: SAN
1983-01-21 | w: GOS | L: DEN
1983-01-21 | w: BOS | L: CHI
1983-01-21 | w: IND | L: PHX
1983-01-21 | w: MIL | L: WAS
1983-01-21 | w: SAC | L: HOU
1983-01-21 | w: UTH | L: NYK
1983-01-21 | w: BKN | L: CLE
1983-01-21 | w: PHL | L: OKC
1983-01-22 | w: DET | L: ATL
1983-01-22 | w: CHI | L: WAS
1983-01-22 | w: NYK | L: DEN
1983-01-22 | w: LAC | L: GOS
1983-01-22 | w: DAL | L: UTH
1983-01-22 | w: POR | L: HOU
1983-01-23 | w: LAL | L: IND
1983-01-23 | w: BOS | L: CLE
1983-01-23 | w: PHX | L: SAC
1983-01-23 | w: POR | L: SAN
1983-01-23 | w: BKN | L: OKC
1983-01-23 | w: MIL | L: PHL
1983-01-24 | w: DET | L: ATL
1983-01-24 | w: WAS | L: BOS
1983-01-25 | w: ATL | L: PHX
1983-01-25 | w: NYK | L: CLE
1983-01-25 | w: HOU | L: BKN
1983-01-25 | w: PHL | L: CHI
1983-01-25 | w: LAL | L: POR
1983-01-25 | w: SAN | L: UTH
1983-01-25 | w: DEN | L: SAC
1983-01-25 | w: DAL | L: IND
1983-01-25 | w: MIL | L: LAC
1983-01-26 | w: LAL | L: MIL
1983-01-26 | w: BOS | L: WAS
1983-01-26 | w: OKC | L: DET
1983-01-26 | w: CHI | L: CLE
1983-01-26 | w: DAL | L: SAC
1983-01-26 | w: PHL | L: PHX
1983-01-27 | w: WAS | L: OKC
1983-01-27 | w: HOU | L: GOS
1983-01-27 | w: POR | L: UTH
1983-01-27 | w: LAC | L: ATL
1983-01-27 | w: SAN | L: IND
1983-01-28 | w: LAL | L: ATL
1983-01-28 | w: BOS | L: PHX
1983-01-28 | w: CLE | L: DET
1983-01-28 | w: NYK | L: CHI
1983-01-28 | w: DEN | L: POR
1983-01-28 | w: BKN | L: DAL
1983-01-28 | w: PHL | L: SAC
1983-01-29 | w: IND | L: SAC
1983-01-29 | w: GOS | L: MIL
1983-01-29 | w: LAC | L: NYK
1983-01-29 | w: DET | L: CHI
1983-01-29 | w: WAS | L: PHX
1983-01-29 | w: CLE | L: OKC
1983-01-29 | w: SAN | L: BKN
1983-01-29 | w: DAL | L: HOU
1983-01-29 | w: PHL | L: UTH
1983-01-30 | w: BOS | L: LAL
1983-01-31 | w: BOS | L: CHI
1983-01-31 | w: NYK | L: SAC
1983-02-01 | w: ATL | L: CLE
1983-02-01 | w: CHI | L: HOU
1983-02-01 | w: MIL | L: POR
1983-02-01 | w: BKN | L: IND
1983-02-01 | w: PHL | L: DEN
1983-02-02 | w: BOS | L: LAC
1983-02-02 | w: SAC | L: WAS
1983-02-02 | w: OKC | L: MIL
1983-02-02 | w: HOU | L: DEN
1983-02-02 | w: PHX | L: UTH
1983-02-02 | w: BKN | L: CLE
1983-02-02 | w: NYK | L: SAN
1983-02-02 | w: IND | L: DET
1983-02-02 | w: DAL | L: LAL
1983-02-03 | w: DEN | L: ATL
1983-02-03 | w: LAC | L: DET
1983-02-03 | w: PHL | L: GOS
1983-02-04 | w: LAL | L: SAC
1983-02-04 | w: WAS | L: LAC
1983-02-04 | w: OKC | L: SAN
1983-02-04 | w: PHX | L: HOU
1983-02-04 | w: ATL | L: CLE
1983-02-04 | w: MIL | L: UTH
1983-02-04 | w: BOS | L: IND
1983-02-04 | w: BKN | L: CHI
1983-02-04 | w: NYK | L: DAL
1983-02-04 | w: POR | L: PHL
1983-02-05 | w: GOS | L: SAN
1983-02-05 | w: DET | L: BKN
1983-02-05 | w: NYK | L: HOU
1983-02-05 | w: CHI | L: CLE
1983-02-05 | w: DEN | L: UTH
1983-02-06 | w: LAL | L: SAC
1983-02-06 | w: ATL | L: BOS
1983-02-06 | w: PHX | L: GOS
1983-02-06 | w: WAS | L: IND
1983-02-06 | w: DAL | L: POR
1983-02-06 | w: CLE | L: LAC
1983-02-06 | w: PHL | L: OKC
1983-02-07 | w: NYK | L: IND
1983-02-08 | w: BKN | L: ATL
1983-02-08 | w: LAL | L: OKC
1983-02-08 | w: POR | L: CHI
1983-02-08 | w: DAL | L: PHX
1983-02-08 | w: LAC | L: DEN
1983-02-08 | w: WAS | L: BOS
1983-02-08 | w: SAN | L: DET
1983-02-08 | w: HOU | L: SAC
1983-02-09 | w: LAL | L: UTH
1983-02-09 | w: BOS | L: NYK
1983-02-09 | w: CLE | L: MIL
1983-02-09 | w: SAC | L: GOS
1983-02-09 | w: DEN | L: OKC
1983-02-09 | w: BKN | L: IND
1983-02-09 | w: DAL | L: DET
1983-02-09 | w: PHL | L: ATL
1983-02-10 | w: WAS | L: HOU
1983-02-10 | w: MIL | L: POR
1983-02-10 | w: SAN | L: GOS
1983-02-10 | w: OKC | L: UTH
1983-02-10 | w: CLE | L: IND
1983-02-10 | w: LAC | L: PHX
1983-02-10 | w: PHL | L: CHI
1983-02-15 | w: SAN | L: LAL
1983-02-15 | w: GOS | L: WAS
1983-02-15 | w: ATL | L: HOU
1983-02-15 | w: IND | L: CHI
1983-02-15 | w: POR | L: LAC
1983-02-16 | w: BOS | L: OKC
1983-02-16 | w: CLE | L: DAL
1983-02-16 | w: PHX | L: SAC
1983-02-16 | w: UTH | L: SAN
1983-02-16 | w: CHI | L: IND
1983-02-16 | w: MIL | L: DET
1983-02-16 | w: PHL | L: DEN
1983-02-17 | w: LAC | L: GOS
1983-02-17 | w: NYK | L: CLE
1983-02-17 | w: DET | L: HOU
1983-02-17 | w: POR | L: BOS
1983-02-17 | w: DEN | L: BKN
1983-02-17 | w: LAL | L: DAL
1983-02-18 | w: OKC | L: WAS
1983-02-18 | w: MIL | L: IND
1983-02-18 | w: SAC | L: LAL
1983-02-18 | w: POR | L: UTH
1983-02-18 | w: PHL | L: HOU
1983-02-19 | w: GOS | L: BOS
1983-02-19 | w: NYK | L: DEN
1983-02-19 | w: DET | L: PHX
1983-02-19 | w: DAL | L: ATL
1983-02-20 | w: OKC | L: GOS
1983-02-20 | w: CHI | L: DAL
1983-02-20 | w: MIL | L: BKN
1983-02-20 | w: POR | L: WAS
1983-02-20 | w: PHX | L: CLE
1983-02-20 | w: SAC | L: HOU
1983-02-20 | w: SAN | L: ATL
1983-02-20 | w: LAL | L: IND
1983-02-20 | w: LAC | L: UTH
1983-02-20 | w: PHL | L: NYK
1983-02-22 | w: GOS | L: ATL
1983-02-22 | w: NYK | L: DAL
1983-02-22 | w: OKC | L: LAC
1983-02-22 | w: POR | L: HOU
1983-02-22 | w: CHI | L: DEN
1983-02-22 | w: PHX | L: MIL
1983-02-22 | w: WAS | L: UTH
1983-02-22 | w: BKN | L: IND
1983-02-23 | w: BOS | L: LAL
1983-02-23 | w: NYK | L: DET
1983-02-23 | w: CLE | L: GOS
1983-02-23 | w: SAC | L: WAS
1983-02-23 | w: SAN | L: POR
1983-02-23 | w: BKN | L: CHI
1983-02-23 | w: PHL | L: DAL
1983-02-24 | w: ATL | L: DET
1983-02-24 | w: MIL | L: HOU
1983-02-24 | w: PHX | L: UTH
1983-02-24 | w: DEN | L: OKC
1983-02-24 | w: LAC | L: BOS
1983-02-25 | w: PHX | L: OKC
1983-02-25 | w: SAN | L: SAC
1983-02-25 | w: BKN | L: GOS
1983-02-25 | w: NYK | L: IND
1983-02-25 | w: DAL | L: POR
1983-02-25 | w: PHL | L: CHI
1983-02-26 | w: ATL | L: BKN
1983-02-26 | w: NYK | L: CHI
1983-02-26 | w: HOU | L: LAC
1983-02-26 | w: BOS | L: PHX
1983-02-26 | w: DET | L: CLE
1983-02-26 | w: MIL | L: SAN
1983-02-26 | w: UTH | L: LAL
1983-02-26 | w: DEN | L: WAS
1983-02-26 | w: DAL | L: SAC
1983-02-27 | w: DEN | L: LAL
1983-02-27 | w: OKC | L: UTH
1983-02-27 | w: CLE | L: POR
1983-02-27 | w: ATL | L: IND
1983-02-27 | w: PHL | L: GOS
1983-03-01 | w: ATL | L: IND
1983-03-01 | w: BOS | L: SAC
1983-03-01 | w: DET | L: GOS
1983-03-01 | w: MIL | L: WAS
1983-03-01 | w: DAL | L: HOU
1983-03-01 | w: LAL | L: CHI
1983-03-01 | w: SAN | L: OKC
1983-03-01 | w: UTH | L: LAC
1983-03-01 | w: DEN | L: CLE
1983-03-01 | w: PHL | L: NYK
1983-03-02 | w: DEN | L: GOS
1983-03-02 | w: PHX | L: SAN
1983-03-02 | w: LAL | L: MIL
1983-03-02 | w: POR | L: LAC
1983-03-02 | w: BKN | L: HOU
1983-03-02 | w: DAL | L: OKC
1983-03-03 | w: ATL | L: WAS
1983-03-03 | w: SAC | L: DET
1983-03-03 | w: UTH | L: CLE
1983-03-04 | w: ATL | L: HOU
1983-03-04 | w: WAS | L: LAL
1983-03-04 | w: CHI | L: BKN
1983-03-04 | w: PHX | L: GOS
1983-03-04 | w: DEN | L: POR
1983-03-04 | w: SAC | L: IND
1983-03-04 | w: SAN | L: LAC
1983-03-04 | w: MIL | L: DAL
1983-03-04 | w: BOS | L: PHL
1983-03-05 | w: GOS | L: UTH
1983-03-05 | w: NYK | L: BOS
1983-03-05 | w: LAL | L: DET
1983-03-05 | w: OKC | L: HOU
1983-03-05 | w: DEN | L: MIL
1983-03-05 | w: CLE | L: DAL
1983-03-06 | w: WAS | L: ATL
1983-03-06 | w: CHI | L: IND
1983-03-06 | w: UTH | L: POR
1983-03-06 | w: SAC | L: LAC
1983-03-06 | w: SAN | L: CLE
1983-03-06 | w: BKN | L: PHL
1983-03-07 | w: BOS | L: BKN
1983-03-07 | w: PHL | L: DET
1983-03-08 | w: ATL | L: POR
1983-03-08 | w: LAL | L: GOS
1983-03-08 | w: NYK | L: OKC
1983-03-08 | w: DET | L: IND
1983-03-08 | w: CLE | L: HOU
1983-03-08 | w: DEN | L: SAN
