============ Start of Season ============
2009-10-27 | w: WAS | L: DAL
2009-11-06 | w: IND | L: WAS
2009-11-06 | w: MIL | L: MIN
2009-11-06 | w: LAL | L: MEM
2009-11-06 | w: PHI | L: BKN
2009-11-06 | w: CLE | L: NYK
2009-11-07 | w: MIL | L: NYK
2009-11-07 | w: CHI | L: CHA
2009-11-07 | w: BOS | L: BKN
2009-11-07 | w: LAC | L: MEM
2009-11-07 | w: DAL | L: TOR
2009-11-07 | w: ATL | L: DEN
2009-11-07 | w: SAC | L: UTA
2009-11-08 | w: OKC | L: ORL
2009-11-08 | w: DET | L: PHI
2009-11-08 | w: LAL | L: NOP
2009-11-08 | w: SAC | L: GSW
2009-11-08 | w: PHX | L: WAS
2009-11-08 | w: POR | L: MIN
2009-11-09 | w: UTA | L: NYK
2009-11-09 | w: NOP | L: LAC
2009-11-09 | w: GSW | L: MIN
2009-11-09 | w: PHX | L: PHI
2009-11-09 | w: SAS | L: TOR
2009-11-10 | w: MIA | L: WAS
2009-11-10 | w: DAL | L: HOU
2009-11-10 | w: POR | L: MEM
2009-11-10 | w: ORL | L: CHA
2009-11-10 | w: SAC | L: OKC
2009-11-10 | w: DEN | L: CHI
2009-11-11 | w: IND | L: GSW
2009-11-11 | w: ATL | L: NYK
2009-11-11 | w: SAS | L: DAL
2009-11-11 | w: DET | L: CHA
2009-11-11 | w: CLE | L: ORL
2009-11-11 | w: BOS | L: UTA
2009-11-11 | w: POR | L: MIN
2009-11-11 | w: PHX | L: NOP
2009-11-11 | w: PHI | L: BKN
2009-11-11 | w: HOU | L: MEM
2009-11-11 | w: TOR | L: CHI
2009-11-11 | w: MIL | L: DEN
2009-11-11 | w: OKC | L: LAC
2009-11-12 | w: CLE | L: MIA
2009-11-12 | w: LAL | L: PHX
2009-11-13 | w: ORL | L: BKN
2009-11-13 | w: POR | L: NOP
2009-11-13 | w: ATL | L: BOS
2009-11-13 | w: TOR | L: LAC
2009-11-13 | w: GSW | L: NYK
2009-11-13 | w: DEN | L: LAL
2009-11-13 | w: DAL | L: MIN
2009-11-13 | w: UTA | L: PHI
2009-11-13 | w: SAC | L: HOU
2009-11-14 | w: MIL | L: GSW
2009-11-14 | w: MIA | L: BKN
2009-11-14 | w: MEM | L: MIN
2009-11-14 | w: CHI | L: PHI
2009-11-14 | w: OKC | L: SAS
2009-11-14 | w: POR | L: CHA
2009-11-14 | w: CLE | L: UTA
2009-11-14 | w: DET | L: WAS
2009-11-14 | w: ATL | L: NOP
2009-11-14 | w: IND | L: BOS
2009-11-15 | w: HOU | L: LAL
2009-11-15 | w: DAL | L: DET
2009-11-15 | w: PHX | L: TOR
2009-11-15 | w: LAC | L: OKC
2009-11-16 | w: ORL | L: CHA
2009-11-16 | w: ATL | L: POR
2009-11-16 | w: DAL | L: MIL
2009-11-17 | w: LAL | L: DET
2009-11-17 | w: IND | L: BKN
2009-11-17 | w: CLE | L: GSW
2009-11-17 | w: PHX | L: HOU
2009-11-17 | w: OKC | L: MIA
2009-11-17 | w: CHI | L: SAC
2009-11-17 | w: DEN | L: TOR
2009-11-17 | w: NOP | L: LAC
2009-11-18 | w: PHI | L: CHA
2009-11-18 | w: BOS | L: GSW
2009-11-18 | w: ORL | L: OKC
2009-11-18 | w: POR | L: DET
2009-11-18 | w: NYK | L: IND
2009-11-18 | w: UTA | L: TOR
2009-11-18 | w: ATL | L: MIA
2009-11-18 | w: MIL | L: BKN
2009-11-18 | w: DAL | L: SAS
2009-11-18 | w: HOU | L: MIN
2009-11-18 | w: WAS | L: CLE
2009-11-18 | w: MEM | L: LAC
2009-11-19 | w: UTA | L: SAS
2009-11-19 | w: LAL | L: CHI
2009-11-19 | w: NOP | L: PHX
2009-11-20 | w: GSW | L: POR
2009-11-20 | w: ORL | L: BOS
2009-11-20 | w: LAC | L: DEN
2009-11-20 | w: ATL | L: HOU
2009-11-20 | w: MIL | L: CHA
2009-11-20 | w: DAL | L: SAC
2009-11-20 | w: TOR | L: MIA
2009-11-20 | w: OKC | L: WAS
2009-11-20 | w: CLE | L: IND
2009-11-20 | w: MEM | L: PHI
2009-11-21 | w: SAS | L: WAS
2009-11-21 | w: NYK | L: BKN
2009-11-21 | w: CLE | L: PHI
2009-11-21 | w: HOU | L: SAC
2009-11-21 | w: POR | L: MIN
2009-11-21 | w: UTA | L: DET
2009-11-21 | w: DEN | L: CHI
2009-11-21 | w: NOP | L: ATL
2009-11-21 | w: MIL | L: MEM
2009-11-22 | w: LAL | L: OKC
2009-11-22 | w: BOS | L: NYK
2009-11-22 | w: PHX | L: DET
2009-11-22 | w: MIA | L: NOP
2009-11-22 | w: ORL | L: TOR
2009-11-22 | w: CHA | L: IND
2009-11-23 | w: SAS | L: MIL
2009-11-23 | w: LAC | L: MIN
2009-11-23 | w: POR | L: CHI
2009-11-23 | w: MEM | L: SAC
2009-11-24 | w: LAL | L: NYK
2009-11-24 | w: OKC | L: UTA
2009-11-24 | w: GSW | L: DAL
2009-11-24 | w: DEN | L: BKN
2009-11-24 | w: WAS | L: PHI
2009-11-24 | w: TOR | L: IND
2009-11-25 | w: SAS | L: GSW
2009-11-25 | w: PHX | L: MEM
2009-11-25 | w: BOS | L: PHI
2009-11-25 | w: MIA | L: ORL
2009-11-25 | w: DAL | L: HOU
2009-11-25 | w: CLE | L: DET
2009-11-25 | w: POR | L: BKN
2009-11-25 | w: IND | L: LAC
2009-11-25 | w: SAC | L: NYK
2009-11-25 | w: DEN | L: MIN
2009-11-25 | w: NOP | L: MIL
2009-11-25 | w: CHA | L: TOR
2009-11-26 | w: UTA | L: CHI
2009-11-26 | w: ORL | L: ATL
2009-11-27 | w: ATL | L: PHI
2009-11-27 | w: BOS | L: TOR
2009-11-27 | w: SAS | L: HOU
2009-11-27 | w: LAC | L: DET
2009-11-27 | w: WAS | L: MIA
2009-11-27 | w: MEM | L: POR
2009-11-27 | w: DAL | L: IND
2009-11-27 | w: SAC | L: BKN
2009-11-27 | w: DEN | L: NYK
2009-11-27 | w: PHX | L: MIN
2009-11-27 | w: OKC | L: MIL
2009-11-27 | w: CHA | L: CLE
2009-11-28 | w: LAL | L: GSW
2009-11-28 | w: CLE | L: DAL
2009-11-28 | w: UTA | L: POR
2009-11-28 | w: ORL | L: MIL
2009-11-28 | w: CHA | L: WAS
2009-11-29 | w: SAS | L: PHI
2009-11-29 | w: LAL | L: BKN
2009-11-29 | w: LAC | L: MEM
2009-11-29 | w: DET | L: ATL
2009-11-29 | w: BOS | L: MIA
2009-11-29 | w: MIN | L: DEN
2009-11-29 | w: SAC | L: NOP
2009-11-29 | w: PHX | L: TOR
2009-11-29 | w: HOU | L: OKC
2009-11-29 | w: ORL | L: NYK
2009-11-30 | w: GSW | L: IND
2009-11-30 | w: UTA | L: MEM
2009-11-30 | w: MIL | L: CHI
2009-11-30 | w: DAL | L: PHI
2009-12-01 | w: LAL | L: NOP
2009-12-01 | w: NYK | L: PHX
2009-12-01 | w: MIA | L: POR
2009-12-01 | w: DEN | L: GSW
2009-12-01 | w: WAS | L: TOR
2009-12-01 | w: BOS | L: CHA
2009-12-02 | w: CHI | L: DET
2009-12-02 | w: DAL | L: BKN
2009-12-02 | w: CLE | L: PHX
2009-12-02 | w: ORL | L: NYK
2009-12-02 | w: HOU | L: LAC
2009-12-02 | w: ATL | L: TOR
2009-12-02 | w: SAC | L: IND
2009-12-02 | w: MEM | L: MIN
2009-12-02 | w: WAS | L: MIL
2009-12-02 | w: OKC | L: PHI
2009-12-03 | w: HOU | L: GSW
2009-12-03 | w: BOS | L: SAS
2009-12-03 | w: DEN | L: MIA
2009-12-04 | w: LAL | L: MIA
2009-12-04 | w: BKN | L: CHA
2009-12-04 | w: CLE | L: CHI
2009-12-04 | w: DET | L: MIL
2009-12-04 | w: UTA | L: IND
2009-12-04 | w: NYK | L: ATL
2009-12-04 | w: NOP | L: MIN
2009-12-04 | w: TOR | L: WAS
2009-12-04 | w: MEM | L: DAL
2009-12-04 | w: BOS | L: OKC
2009-12-05 | w: ORL | L: GSW
2009-12-05 | w: DEN | L: SAS
2009-12-05 | w: TOR | L: CHI
2009-12-05 | w: PHX | L: SAC
2009-12-05 | w: LAC | L: IND
2009-12-05 | w: POR | L: HOU
2009-12-05 | w: ATL | L: DAL
2009-12-05 | w: MIN | L: UTA
2009-12-05 | w: CHA | L: PHI
2009-12-06 | w: LAL | L: PHX
2009-12-06 | w: NYK | L: BKN
2009-12-06 | w: DET | L: WAS
2009-12-06 | w: CLE | L: MIL
2009-12-06 | w: MIA | L: SAC
2009-12-07 | w: DEN | L: PHI
2009-12-07 | w: NYK | L: POR
2009-12-07 | w: UTA | L: SAS
2009-12-07 | w: OKC | L: GSW
2009-12-08 | w: BKN | L: CHI
2009-12-08 | w: BOS | L: MIL
2009-12-08 | w: ORL | L: LAC
2009-12-08 | w: DAL | L: PHX
2009-12-08 | w: NOP | L: SAC
2009-12-08 | w: TOR | L: MIN
2009-12-08 | w: MEM | L: CLE
2009-12-08 | w: CHA | L: DEN
2009-12-09 | w: DET | L: PHI
2009-12-09 | w: SAS | L: SAC
2009-12-09 | w: LAL | L: UTA
2009-12-09 | w: GSW | L: BKN
2009-12-09 | w: HOU | L: CLE
2009-12-09 | w: POR | L: IND
2009-12-09 | w: ATL | L: CHI
2009-12-09 | w: MIL | L: TOR
2009-12-09 | w: NOP | L: MIN
2009-12-10 | w: DET | L: DEN
2009-12-10 | w: UTA | L: ORL
2009-12-10 | w: BOS | L: WAS
2009-12-11 | w: HOU | L: PHI
2009-12-11 | w: SAS | L: CHA
2009-12-11 | w: LAL | L: MIN
2009-12-11 | w: CHI | L: GSW
2009-12-11 | w: PHX | L: ORL
2009-12-11 | w: CLE | L: POR
2009-12-11 | w: DAL | L: MIA
2009-12-11 | w: IND | L: BKN
2009-12-11 | w: NYK | L: NOP
2009-12-11 | w: ATL | L: TOR
2009-12-11 | w: OKC | L: MEM
2009-12-12 | w: BOS | L: CHI
2009-12-12 | w: DET | L: GSW
2009-12-12 | w: UTA | L: LAL
2009-12-12 | w: MIL | L: POR
2009-12-12 | w: DAL | L: CHA
2009-12-12 | w: DEN | L: PHX
2009-12-12 | w: SAC | L: MIN
2009-12-12 | w: IND | L: WAS
2009-12-13 | w: SAS | L: LAC
2009-12-13 | w: MEM | L: MIA
2009-12-13 | w: ATL | L: BKN
2009-12-13 | w: TOR | L: HOU
2009-12-13 | w: CLE | L: OKC
2009-12-14 | w: PHI | L: GSW
2009-12-14 | w: ORL | L: IND
2009-12-14 | w: LAC | L: WAS
2009-12-14 | w: MIN | L: UTA
2009-12-14 | w: DAL | L: NOP
2009-12-14 | w: DEN | L: OKC
2009-12-14 | w: BOS | L: MEM
2009-12-15 | w: LAL | L: CHI
2009-12-15 | w: PHX | L: SAS
2009-12-15 | w: CLE | L: BKN
2009-12-15 | w: HOU | L: DET
2009-12-15 | w: MIA | L: TOR
2009-12-15 | w: POR | L: SAC
2009-12-15 | w: CHA | L: NYK
2009-12-16 | w: CLE | L: PHI
2009-12-16 | w: SAS | L: GSW
2009-12-16 | w: UTA | L: BKN
2009-12-16 | w: ORL | L: TOR
2009-12-16 | w: IND | L: CHA
2009-12-16 | w: ATL | L: MEM
2009-12-16 | w: LAL | L: MIL
2009-12-16 | w: DEN | L: HOU
2009-12-16 | w: SAC | L: WAS
2009-12-16 | w: LAC | L: MIN
2009-12-16 | w: NOP | L: DET
2009-12-16 | w: DAL | L: OKC
2009-12-17 | w: CHI | L: NYK
2009-12-17 | w: MIA | L: ORL
2009-12-17 | w: POR | L: PHX
2009-12-18 | w: WAS | L: GSW
2009-12-18 | w: NYK | L: LAC
2009-12-18 | w: PHI | L: BOS
2009-12-18 | w: CLE | L: MIL
2009-12-18 | w: ATL | L: UTA
2009-12-18 | w: HOU | L: DAL
2009-12-18 | w: MIN | L: SAC
2009-12-18 | w: NOP | L: DEN
2009-12-18 | w: TOR | L: BKN
2009-12-18 | w: MEM | L: IND
2009-12-18 | w: OKC | L: DET
2009-12-19 | w: LAC | L: PHI
2009-12-19 | w: SAS | L: IND
2009-12-19 | w: CHI | L: ATL
2009-12-19 | w: PHX | L: WAS
2009-12-19 | w: LAL | L: BKN
2009-12-19 | w: ORL | L: POR
2009-12-19 | w: HOU | L: OKC
2009-12-19 | w: SAC | L: MIL
2009-12-19 | w: UTA | L: CHA
2009-12-20 | w: NYK | L: CHA
2009-12-20 | w: BOS | L: MIN
2009-12-20 | w: LAL | L: DET
2009-12-20 | w: POR | L: MIA
2009-12-20 | w: DAL | L: CLE
2009-12-20 | w: MEM | L: DEN
2009-12-20 | w: TOR | L: NOP
2009-12-21 | w: SAS | L: LAC
2009-12-21 | w: SAC | L: CHI
2009-12-21 | w: CLE | L: PHX
2009-12-21 | w: ORL | L: UTA
2009-12-21 | w: MIL | L: IND
2009-12-22 | w: LAL | L: OKC
2009-12-22 | w: NYK | L: CHI
2009-12-22 | w: BOS | L: IND
2009-12-22 | w: HOU | L: LAC
2009-12-22 | w: POR | L: DAL
2009-12-22 | w: ATL | L: MIN
2009-12-22 | w: WAS | L: PHI
2009-12-22 | w: MEM | L: GSW
2009-12-22 | w: CHA | L: DET
2009-12-23 | w: POR | L: SAS
2009-12-23 | w: OKC | L: PHX
2009-12-23 | w: MIN | L: BKN
2009-12-23 | w: ORL | L: HOU
2009-12-23 | w: TOR | L: DET
2009-12-23 | w: MIA | L: UTA
2009-12-23 | w: WAS | L: MIL
2009-12-23 | w: DEN | L: ATL
2009-12-23 | w: CLE | L: SAC
2009-12-23 | w: NOP | L: GSW
2009-12-25 | w: CLE | L: LAL
2009-12-25 | w: MIA | L: NYK
2009-12-25 | w: PHX | L: LAC
2009-12-25 | w: BOS | L: ORL
2009-12-25 | w: POR | L: DEN
2009-12-26 | w: GSW | L: PHX
2009-12-26 | w: CHI | L: NOP
2009-12-26 | w: HOU | L: BKN
2009-12-26 | w: UTA | L: PHI
2009-12-26 | w: ATL | L: IND
2009-12-26 | w: SAS | L: MIL
2009-12-26 | w: LAL | L: SAC
2009-12-26 | w: DAL | L: MEM
2009-12-26 | w: MIN | L: WAS
2009-12-26 | w: OKC | L: CHA
2009-12-27 | w: SAS | L: NYK
2009-12-27 | w: CLE | L: HOU
2009-12-27 | w: LAC | L: BOS
2009-12-27 | w: MIA | L: IND
2009-12-27 | w: DAL | L: DEN
2009-12-27 | w: TOR | L: DET
2009-12-28 | w: GSW | L: BOS
2009-12-28 | w: PHX | L: LAL
2009-12-28 | w: OKC | L: BKN
2009-12-28 | w: PHI | L: POR
2009-12-28 | w: SAC | L: DEN
2009-12-28 | w: MEM | L: WAS
2009-12-28 | w: CHA | L: MIL
2009-12-29 | w: SAS | L: MIN
2009-12-29 | w: LAL | L: GSW
2009-12-29 | w: CHI | L: IND
2009-12-29 | w: HOU | L: NOP
2009-12-29 | w: NYK | L: DET
2009-12-29 | w: CLE | L: ATL
2009-12-29 | w: OKC | L: WAS
2009-12-30 | w: PHX | L: BOS
2009-12-30 | w: BKN | L: NYK
2009-12-30 | w: CLE | L: ATL
2009-12-30 | w: ORL | L: MIL
2009-12-30 | w: POR | L: LAC
2009-12-30 | w: MEM | L: IND
2009-12-30 | w: PHI | L: SAC
2009-12-30 | w: UTA | L: MIN
2009-12-30 | w: NOP | L: MIA
2009-12-30 | w: TOR | L: CHA
2009-12-31 | w: SAS | L: MIA
2009-12-31 | w: HOU | L: DAL
2009-12-31 | w: CHI | L: DET
2009-12-31 | w: LAC | L: PHI
2009-12-31 | w: OKC | L: UTA
2010-01-01 | w: LAL | L: SAC
2010-01-01 | w: NYK | L: ATL
2010-01-01 | w: ORL | L: MIN
2010-01-02 | w: CHI | L: ORL
2010-01-02 | w: MEM | L: PHX
2010-01-02 | w: BOS | L: TOR
2010-01-02 | w: CLE | L: BKN
2010-01-02 | w: CHA | L: MIA
2010-01-02 | w: POR | L: GSW
2010-01-02 | w: DEN | L: UTA
2010-01-02 | w: IND | L: MIN
2010-01-02 | w: MIL | L: OKC
2010-01-02 | w: DAL | L: SAC
2010-01-02 | w: NOP | L: HOU
2010-01-02 | w: SAS | L: WAS
2010-01-03 | w: LAL | L: DAL
2010-01-03 | w: NYK | L: IND
2010-01-03 | w: CHA | L: CLE
2010-01-03 | w: PHI | L: DEN
2010-01-03 | w: TOR | L: SAS
2010-01-04 | w: OKC | L: CHI
2010-01-04 | w: LAC | L: POR
2010-01-04 | w: MIA | L: ATL
2010-01-04 | w: NOP | L: UTA
2010-01-05 | w: WAS | L: PHI
2010-01-05 | w: LAL | L: HOU
2010-01-05 | w: MIL | L: BKN
2010-01-05 | w: MEM | L: POR
2010-01-05 | w: IND | L: ORL
2010-01-05 | w: DAL | L: DET
2010-01-05 | w: PHX | L: SAC
2010-01-05 | w: DEN | L: GSW
2010-01-05 | w: CHA | L: CHI
2010-01-06 | w: SAS | L: DET
2010-01-06 | w: PHX | L: HOU
2010-01-06 | w: CLE | L: WAS
2010-01-06 | w: TOR | L: ORL
2010-01-06 | w: LAC | L: LAL
2010-01-06 | w: BOS | L: MIA
2010-01-06 | w: UTA | L: MEM
2010-01-06 | w: ATL | L: BKN
2010-01-06 | w: GSW | L: MIN
2010-01-06 | w: NOP | L: OKC
2010-01-07 | w: NYK | L: CHA
2010-01-08 | w: TOR | L: PHI
2010-01-08 | w: GSW | L: SAC
2010-01-08 | w: DAL | L: SAS
2010-01-08 | w: MIA | L: PHX
2010-01-08 | w: POR | L: LAL
2010-01-08 | w: ATL | L: BOS
2010-01-08 | w: MIL | L: CHI
2010-01-08 | w: DEN | L: CLE
2010-01-08 | w: MIN | L: IND
2010-01-08 | w: NOP | L: BKN
2010-01-08 | w: WAS | L: ORL
2010-01-08 | w: MEM | L: UTA
2010-01-09 | w: CHI | L: MIN
2010-01-09 | w: ORL | L: ATL
2010-01-09 | w: HOU | L: NYK
2010-01-09 | w: PHI | L: DET
2010-01-09 | w: UTA | L: DAL
2010-01-09 | w: SAC | L: DEN
2010-01-09 | w: OKC | L: IND
2010-01-09 | w: CHA | L: MEM
2010-01-10 | w: SAS | L: BKN
2010-01-10 | w: LAL | L: MIL
2010-01-10 | w: LAC | L: MIA
2010-01-10 | w: CLE | L: POR
2010-01-10 | w: NOP | L: WAS
2010-01-10 | w: BOS | L: TOR
2010-01-11 | w: PHI | L: NOP
2010-01-11 | w: CLE | L: GSW
2010-01-11 | w: CHI | L: DET
2010-01-11 | w: PHX | L: MIL
2010-01-11 | w: ATL | L: BOS
2010-01-11 | w: UTA | L: MIA
2010-01-11 | w: IND | L: TOR
2010-01-11 | w: DEN | L: MIN
2010-01-11 | w: OKC | L: NYK
2010-01-12 | w: SAS | L: LAL
2010-01-12 | w: ORL | L: SAC
2010-01-12 | w: DET | L: WAS
2010-01-12 | w: MEM | L: LAC
2010-01-12 | w: CHA | L: HOU
2010-01-13 | w: NYK | L: PHI
2010-01-13 | w: MIA | L: GSW
2010-01-13 | w: BOS | L: BKN
2010-01-13 | w: HOU | L: MIN
2010-01-13 | w: POR | L: MIL
2010-01-13 | w: IND | L: PHX
2010-01-13 | w: ATL | L: WAS
2010-01-13 | w: LAL | L: DAL
2010-01-13 | w: DEN | L: ORL
2010-01-13 | w: NOP | L: LAC
2010-01-13 | w: SAS | L: OKC
2010-01-14 | w: CHI | L: BOS
2010-01-14 | w: UTA | L: CLE
2010-01-15 | w: PHI | L: SAC
2010-01-15 | w: MIL | L: GSW
2010-01-15 | w: LAL | L: LAC
2010-01-15 | w: CHI | L: WAS
2010-01-15 | w: TOR | L: NYK
2010-01-15 | w: IND | L: BKN
2010-01-15 | w: MIA | L: HOU
2010-01-15 | w: DET | L: NOP
2010-01-15 | w: POR | L: ORL
2010-01-15 | w: ATL | L: PHX
2010-01-15 | w: DAL | L: OKC
2010-01-15 | w: MEM | L: MIN
2010-01-15 | w: CHA | L: SAS
2010-01-16 | w: CLE | L: LAC
2010-01-16 | w: DET | L: NYK
2010-01-16 | w: NOP | L: IND
2010-01-16 | w: UTA | L: MIL
2010-01-16 | w: WAS | L: SAC
2010-01-16 | w: OKC | L: MIA
2010-01-16 | w: MEM | L: SAS
2010-01-16 | w: CHA | L: PHX
2010-01-17 | w: DEN | L: UTA
2010-01-17 | w: TOR | L: DAL
2010-01-18 | w: GSW | L: CHI
2010-01-18 | w: LAL | L: ORL
2010-01-18 | w: NYK | L: DET
2010-01-18 | w: DAL | L: BOS
2010-01-18 | w: HOU | L: MIL
2010-01-18 | w: LAC | L: BKN
2010-01-18 | w: OKC | L: ATL
2010-01-18 | w: MIN | L: PHI
2010-01-18 | w: SAS | L: NOP
2010-01-18 | w: WAS | L: POR
2010-01-18 | w: MEM | L: PHX
2010-01-18 | w: CHA | L: SAC
2010-01-19 | w: CLE | L: TOR
2010-01-19 | w: MIA | L: IND
2010-01-20 | w: POR | L: PHI
2010-01-20 | w: DEN | L: GSW
2010-01-20 | w: UTA | L: SAS
2010-01-20 | w: PHX | L: BKN
2010-01-20 | w: ORL | L: IND
2010-01-20 | w: LAC | L: CHI
2010-01-20 | w: DET | L: BOS
2010-01-20 | w: ATL | L: SAC
2010-01-20 | w: MIL | L: TOR
2010-01-20 | w: OKC | L: MIN
2010-01-20 | w: NOP | L: MEM
2010-01-20 | w: DAL | L: WAS
2010-01-20 | w: CHA | L: MIA
2010-01-21 | w: CLE | L: LAL
2010-01-21 | w: DEN | L: LAC
2010-01-22 | w: PHI | L: DAL
2010-01-22 | w: GSW | L: BKN
2010-01-22 | w: HOU | L: SAS
2010-01-22 | w: LAL | L: NYK
2010-01-22 | w: CHI | L: PHX
2010-01-22 | w: BOS | L: POR
2010-01-22 | w: ORL | L: SAC
2010-01-22 | w: IND | L: DET
2010-01-22 | w: ATL | L: CHA
2010-01-22 | w: NOP | L: MIN
2010-01-22 | w: MIA | L: WAS
2010-01-22 | w: TOR | L: MIL
2010-01-22 | w: MEM | L: OKC
2010-01-23 | w: PHX | L: GSW
2010-01-23 | w: CHI | L: HOU
2010-01-23 | w: CLE | L: OKC
2010-01-23 | w: POR | L: DET
2010-01-23 | w: MIA | L: SAC
2010-01-23 | w: UTA | L: BKN
2010-01-23 | w: PHI | L: IND
2010-01-23 | w: MIL | L: MIN
2010-01-23 | w: DEN | L: NOP
2010-01-23 | w: ORL | L: CHA
2010-01-24 | w: DAL | L: NYK
2010-01-24 | w: LAC | L: WAS
2010-01-24 | w: TOR | L: LAL
2010-01-25 | w: IND | L: PHI
2010-01-25 | w: CHI | L: SAS
2010-01-25 | w: BOS | L: LAC
2010-01-25 | w: ATL | L: HOU
2010-01-25 | w: CLE | L: MIA
2010-01-25 | w: NOP | L: POR
2010-01-25 | w: UTA | L: PHX
2010-01-25 | w: DEN | L: CHA
2010-01-25 | w: MEM | L: ORL
2010-01-26 | w: NYK | L: MIN
2010-01-26 | w: CHA | L: PHX
2010-01-26 | w: DAL | L: MIL
2010-01-26 | w: SAC | L: GSW
2010-01-26 | w: LAL | L: WAS
2010-01-27 | w: NOP | L: GSW
2010-01-27 | w: SAS | L: ATL
2010-01-27 | w: BKN | L: LAC
2010-01-27 | w: CLE | L: MIN
2010-01-27 | w: DEN | L: HOU
2010-01-27 | w: MEM | L: DET
2010-01-27 | w: UTA | L: POR
2010-01-27 | w: LAL | L: IND
2010-01-27 | w: MIL | L: PHI
2010-01-27 | w: TOR | L: MIA
2010-01-27 | w: CHI | L: OKC
2010-01-28 | w: TOR | L: NYK
2010-01-28 | w: PHX | L: DAL
2010-01-28 | w: ORL | L: BOS
2010-01-29 | w: LAL | L: PHI
2010-01-29 | w: CHA | L: GSW
2010-01-29 | w: SAS | L: MEM
2010-01-29 | w: WAS | L: BKN
2010-01-29 | w: HOU | L: POR
2010-01-29 | w: MIA | L: DET
2010-01-29 | w: UTA | L: SAC
2010-01-29 | w: CLE | L: IND
2010-01-29 | w: ATL | L: BOS
2010-01-29 | w: MIN | L: LAC
2010-01-29 | w: CHI | L: NOP
2010-01-29 | w: OKC | L: DEN
2010-01-30 | w: ORL | L: ATL
2010-01-30 | w: MIL | L: MIA
2010-01-30 | w: POR | L: DAL
2010-01-30 | w: CHA | L: SAC
2010-01-30 | w: WAS | L: NYK
2010-01-30 | w: NOP | L: MEM
2010-01-31 | w: DEN | L: SAS
2010-01-31 | w: LAL | L: BOS
2010-01-31 | w: PHI | L: BKN
2010-01-31 | w: CLE | L: LAC
2010-01-31 | w: PHX | L: HOU
2010-01-31 | w: ORL | L: DET
2010-01-31 | w: MIN | L: NYK
2010-01-31 | w: TOR | L: IND
2010-01-31 | w: OKC | L: GSW
2010-02-01 | w: MIL | L: MIA
2010-02-01 | w: POR | L: CHA
