============ Start of Season ============
1955-11-05 | w: BOS | L: GSW
1955-12-29 | w: LAL | L: ATL
1955-12-29 | w: GSW | L: PHI
1955-12-29 | w: DET | L: SAC
1955-12-30 | w: BOS | L: PHI
1955-12-30 | w: DET | L: ATL
1955-12-31 | w: PHI | L: NYK
1955-12-31 | w: BOS | L: SAC
1956-01-01 | w: BOS | L: GSW
1956-01-01 | w: SAC | L: NYK
1956-01-01 | w: PHI | L: LAL
1956-01-01 | w: DET | L: ATL
1956-01-02 | w: LAL | L: DET
1956-01-02 | w: GSW | L: SAC
1956-01-02 | w: PHI | L: ATL
1956-01-03 | w: NYK | L: BOS
1956-01-03 | w: GSW | L: DET
1956-01-04 | w: NYK | L: BOS
1956-01-04 | w: LAL | L: ATL
1956-01-04 | w: GSW | L: PHI
1956-01-04 | w: DET | L: SAC
1956-01-05 | w: BOS | L: NYK
1956-01-05 | w: DET | L: GSW
1956-01-06 | w: GSW | L: NYK
1956-01-07 | w: DET | L: ATL
1956-01-07 | w: SAC | L: LAL
1956-01-07 | w: BOS | L: PHI
1956-01-08 | w: GSW | L: NYK
1956-01-08 | w: SAC | L: BOS
1956-01-08 | w: LAL | L: PHI
1956-01-08 | w: ATL | L: DET
1956-01-10 | w: LAL | L: PHI
1956-01-10 | w: DET | L: BOS
1956-01-10 | w: GSW | L: ATL
1956-01-11 | w: LAL | L: BOS
1956-01-11 | w: GSW | L: SAC
1956-01-12 | w: GSW | L: SAC
1956-01-12 | w: PHI | L: ATL
1956-01-13 | w: BOS | L: PHI
1956-01-13 | w: SAC | L: ATL
1956-01-14 | w: BOS | L: GSW
1956-01-14 | w: LAL | L: DET
1956-01-14 | w: SAC | L: PHI
1956-01-14 | w: ATL | L: NYK
1956-01-15 | w: DET | L: LAL
1956-01-15 | w: PHI | L: SAC
1956-01-15 | w: GSW | L: ATL
1956-01-15 | w: NYK | L: BOS
1956-01-17 | w: NYK | L: SAC
1956-01-17 | w: BOS | L: DET
1956-01-17 | w: LAL | L: ATL
1956-01-18 | w: BOS | L: DET
1956-01-18 | w: LAL | L: GSW
1956-01-18 | w: SAC | L: NYK
1956-01-19 | w: DET | L: ATL
1956-01-19 | w: PHI | L: LAL
1956-01-20 | w: BOS | L: ATL
1956-01-20 | w: NYK | L: LAL
1956-01-21 | w: BOS | L: PHI
1956-01-21 | w: LAL | L: NYK
1956-01-21 | w: DET | L: GSW
1956-01-21 | w: SAC | L: ATL
1956-01-22 | w: GSW | L: BOS
1956-01-22 | w: NYK | L: LAL
1956-01-22 | w: ATL | L: PHI
1956-01-22 | w: DET | L: SAC
1956-01-23 | w: GSW | L: BOS
1956-01-25 | w: LAL | L: NYK
1956-01-25 | w: GSW | L: PHI
1956-01-25 | w: DET | L: BOS
1956-01-25 | w: ATL | L: SAC
1956-01-26 | w: PHI | L: GSW
1956-01-27 | w: DET | L: BOS
1956-01-27 | w: SAC | L: NYK
1956-01-28 | w: GSW | L: LAL
1956-01-28 | w: ATL | L: PHI
1956-01-28 | w: BOS | L: SAC
1956-01-28 | w: DET | L: NYK
1956-01-29 | w: BOS | L: SAC
1956-01-29 | w: ATL | L: LAL
1956-01-29 | w: DET | L: GSW
1956-01-29 | w: NYK | L: PHI
1956-01-31 | w: NYK | L: GSW
1956-01-31 | w: LAL | L: SAC
1956-01-31 | w: ATL | L: BOS
1956-02-01 | w: LAL | L: BOS
1956-02-01 | w: ATL | L: DET
1956-02-01 | w: SAC | L: PHI
1956-02-01 | w: NYK | L: GSW
1956-02-02 | w: GSW | L: NYK
1956-02-02 | w: BOS | L: LAL
1956-02-02 | w: PHI | L: SAC
1956-02-03 | w: SAC | L: GSW
1956-02-04 | w: PHI | L: NYK
1956-02-04 | w: ATL | L: DET
1956-02-04 | w: SAC | L: BOS
1956-02-05 | w: BOS | L: NYK
1956-02-05 | w: SAC | L: LAL
1956-02-05 | w: PHI | L: DET
1956-02-05 | w: ATL | L: GSW
1956-02-06 | w: DET | L: PHI
1956-02-07 | w: NYK | L: BOS
1956-02-07 | w: GSW | L: PHI
1956-02-08 | w: LAL | L: DET
1956-02-08 | w: ATL | L: BOS
1956-02-08 | w: NYK | L: SAC
1956-02-09 | w: GSW | L: ATL
1956-02-09 | w: BOS | L: PHI
1956-02-10 | w: BOS | L: ATL
1956-02-10 | w: PHI | L: NYK
1956-02-11 | w: NYK | L: ATL
1956-02-11 | w: GSW | L: LAL
1956-02-11 | w: SAC | L: DET
1956-02-12 | w: BOS | L: NYK
1956-02-12 | w: PHI | L: SAC
1956-02-12 | w: DET | L: LAL
1956-02-12 | w: GSW | L: ATL
1956-02-14 | w: GSW | L: DET
1956-02-14 | w: LAL | L: SAC
1956-02-14 | w: NYK | L: ATL
1956-02-15 | w: GSW | L: DET
1956-02-15 | w: LAL | L: NYK
1956-02-16 | w: DET | L: SAC
1956-02-17 | w: GSW | L: LAL
1956-02-17 | w: PHI | L: NYK
1956-02-18 | w: GSW | L: BOS
1956-02-18 | w: PHI | L: DET
1956-02-18 | w: LAL | L: SAC
1956-02-19 | w: BOS | L: GSW
1956-02-19 | w: LAL | L: SAC
1956-02-19 | w: PHI | L: NYK
1956-02-19 | w: DET | L: ATL
1956-02-20 | w: ATL | L: DET
1956-02-21 | w: ATL | L: BOS
1956-02-21 | w: SAC | L: DET
1956-02-21 | w: PHI | L: NYK
1956-02-22 | w: BOS | L: LAL
1956-02-22 | w: NYK | L: GSW
1956-02-22 | w: SAC | L: ATL
1956-02-23 | w: PHI | L: DET
1956-02-24 | w: GSW | L: BOS
1956-02-24 | w: ATL | L: PHI
1956-02-25 | w: ATL | L: NYK
1956-02-25 | w: DET | L: SAC
1956-02-26 | w: BOS | L: SAC
1956-02-26 | w: DET | L: LAL
1956-02-26 | w: GSW | L: PHI
1956-02-26 | w: ATL | L: NYK
1956-02-27 | w: NYK | L: ATL
1956-02-27 | w: PHI | L: DET
1956-02-28 | w: DET | L: NYK
1956-02-28 | w: SAC | L: BOS
1956-02-29 | w: BOS | L: DET
1956-02-29 | w: LAL | L: PHI
1956-02-29 | w: GSW | L: SAC
1956-03-01 | w: LAL | L: GSW
1956-03-01 | w: PHI | L: BOS
1956-03-01 | w: SAC | L: ATL
1956-03-02 | w: BOS | L: LAL
1956-03-02 | w: DET | L: NYK
1956-03-03 | w: GSW | L: PHI
1956-03-03 | w: SAC | L: LAL
1956-03-03 | w: ATL | L: DET
1956-03-04 | w: BOS | L: GSW
1956-03-04 | w: LAL | L: ATL
1956-03-04 | w: DET | L: SAC
1956-03-04 | w: NYK | L: PHI
1956-03-06 | w: NYK | L: BOS
1956-03-06 | w: ATL | L: GSW
1956-03-07 | w: BOS | L: PHI
1956-03-07 | w: LAL | L: DET
1956-03-07 | w: GSW | L: NYK
1956-03-07 | w: ATL | L: SAC
1956-03-08 | w: GSW | L: BOS
1956-03-08 | w: DET | L: LAL
1956-03-08 | w: PHI | L: ATL
1956-03-09 | w: ATL | L: LAL
1956-03-10 | w: NYK | L: PHI
1956-03-10 | w: DET | L: BOS
1956-03-10 | w: ATL | L: LAL
1956-03-10 | w: SAC | L: GSW
1956-03-11 | w: ATL | L: BOS
1956-03-11 | w: LAL | L: SAC
1956-03-11 | w: NYK | L: DET
1956-03-11 | w: PHI | L: GSW
1956-03-12 | w: PHI | L: ATL
1956-03-13 | w: GSW | L: ATL
1956-03-13 | w: LAL | L: NYK
1956-03-14 | w: NYK | L: GSW
1956-03-14 | w: BOS | L: PHI
1956-03-14 | w: LAL | L: DET
1956-03-15 | w: PHI | L: NYK
1956-03-16 | w: LAL | L: ATL
============ End of Regular Season ============
1956-03-17 | w: BOS | L: PHI
1956-03-17 | w: ATL | L: LAL
1956-03-19 | w: LAL | L: ATL
1956-03-19 | w: PHI | L: BOS
1956-03-21 | w: PHI | L: BOS
1956-03-21 | w: ATL | L: LAL
1956-03-22 | w: ATL | L: DET
1956-03-23 | w: GSW | L: PHI
1956-03-24 | w: ATL | L: DET
1956-03-25 | w: PHI | L: GSW
1956-03-25 | w: DET | L: ATL
1956-03-27 | w: GSW | L: PHI
1956-03-27 | w: DET | L: ATL
1956-03-28 | w: PHI | L: GSW
1956-03-29 | w: GSW | L: PHI
1956-03-29 | w: DET | L: ATL
1956-03-31 | w: GSW | L: DET
1956-04-01 | w: DET | L: GSW
1956-04-03 | w: GSW | L: DET
1956-04-05 | w: GSW | L: DET
1956-04-07 | w: GSW | L: DET
============ End of Playoffs ============
