============ Start of Season ============
1962-10-16 | w: NYK | L: WAS
1963-01-21 | w: LAL | L: DET
1963-01-22 | w: ATL | L: PHI
1963-01-22 | w: DET | L: GSW
1963-01-22 | w: BOS | L: NYK
1963-01-23 | w: WAS | L: PHI
1963-01-23 | w: LAL | L: DET
1963-01-23 | w: SAC | L: BOS
1963-01-24 | w: BOS | L: ATL
1963-01-24 | w: GSW | L: DET
1963-01-25 | w: LAL | L: PHI
1963-01-25 | w: BOS | L: ATL
1963-01-25 | w: SAC | L: NYK
1963-01-25 | w: DET | L: WAS
1963-01-26 | w: PHI | L: GSW
1963-01-26 | w: SAC | L: WAS
1963-01-27 | w: LAL | L: ATL
1963-01-27 | w: BOS | L: NYK
1963-01-27 | w: PHI | L: GSW
1963-01-27 | w: SAC | L: WAS
1963-01-29 | w: BOS | L: WAS
1963-01-29 | w: ATL | L: PHI
1963-01-29 | w: GSW | L: NYK
1963-01-30 | w: LAL | L: NYK
1963-01-30 | w: BOS | L: GSW
1963-01-31 | w: WAS | L: NYK
1963-01-31 | w: BOS | L: SAC
1963-01-31 | w: LAL | L: DET
1963-01-31 | w: PHI | L: ATL
1963-02-01 | w: PHI | L: BOS
1963-02-01 | w: GSW | L: SAC
1963-02-01 | w: ATL | L: WAS
1963-02-01 | w: LAL | L: DET
1963-02-02 | w: PHI | L: SAC
1963-02-02 | w: LAL | L: ATL
1963-02-03 | w: BOS | L: DET
1963-02-03 | w: NYK | L: LAL
1963-02-03 | w: WAS | L: GSW
1963-02-03 | w: SAC | L: PHI
1963-02-05 | w: ATL | L: DET
1963-02-05 | w: GSW | L: WAS
1963-02-05 | w: PHI | L: NYK
1963-02-05 | w: BOS | L: SAC
1963-02-06 | w: PHI | L: BOS
1963-02-06 | w: LAL | L: WAS
1963-02-06 | w: GSW | L: DET
1963-02-07 | w: SAC | L: GSW
1963-02-08 | w: LAL | L: WAS
1963-02-08 | w: SAC | L: ATL
1963-02-08 | w: BOS | L: NYK
1963-02-08 | w: PHI | L: DET
1963-02-09 | w: PHI | L: NYK
1963-02-09 | w: LAL | L: WAS
1963-02-09 | w: BOS | L: GSW
1963-02-10 | w: DET | L: ATL
1963-02-10 | w: BOS | L: NYK
1963-02-10 | w: SAC | L: LAL
1963-02-10 | w: PHI | L: GSW
1963-02-12 | w: BOS | L: LAL
1963-02-12 | w: ATL | L: PHI
1963-02-12 | w: DET | L: GSW
1963-02-13 | w: LAL | L: BOS
1963-02-13 | w: ATL | L: NYK
1963-02-13 | w: SAC | L: PHI
1963-02-13 | w: DET | L: GSW
1963-02-14 | w: NYK | L: ATL
1963-02-14 | w: LAL | L: DET
1963-02-14 | w: PHI | L: WAS
1963-02-15 | w: BOS | L: PHI
1963-02-15 | w: ATL | L: SAC
1963-02-15 | w: NYK | L: WAS
1963-02-16 | w: BOS | L: ATL
1963-02-16 | w: SAC | L: DET
1963-02-16 | w: GSW | L: LAL
1963-02-17 | w: SAC | L: NYK
1963-02-17 | w: BOS | L: WAS
1963-02-17 | w: PHI | L: DET
1963-02-19 | w: BOS | L: SAC
1963-02-19 | w: PHI | L: WAS
1963-02-19 | w: GSW | L: LAL
1963-02-19 | w: DET | L: NYK
1963-02-20 | w: BOS | L: DET
1963-02-20 | w: PHI | L: SAC
1963-02-21 | w: BOS | L: GSW
1963-02-21 | w: SAC | L: NYK
1963-02-21 | w: WAS | L: PHI
1963-02-22 | w: LAL | L: BOS
1963-02-22 | w: ATL | L: WAS
1963-02-22 | w: NYK | L: GSW
1963-02-22 | w: DET | L: PHI
1963-02-23 | w: DET | L: SAC
1963-02-23 | w: GSW | L: WAS
1963-02-24 | w: BOS | L: LAL
1963-02-24 | w: ATL | L: GSW
1963-02-24 | w: DET | L: SAC
1963-02-24 | w: PHI | L: NYK
1963-02-25 | w: LAL | L: DET
1963-02-26 | w: ATL | L: SAC
1963-02-26 | w: GSW | L: BOS
1963-02-26 | w: NYK | L: LAL
1963-02-27 | w: SAC | L: NYK
1963-02-27 | w: PHI | L: LAL
1963-02-27 | w: WAS | L: ATL
1963-02-28 | w: PHI | L: NYK
1963-02-28 | w: DET | L: WAS
1963-03-01 | w: GSW | L: SAC
1963-03-01 | w: DET | L: ATL
1963-03-01 | w: WAS | L: LAL
1963-03-02 | w: GSW | L: LAL
1963-03-02 | w: BOS | L: NYK
1963-03-02 | w: PHI | L: DET
1963-03-03 | w: ATL | L: WAS
1963-03-03 | w: GSW | L: SAC
1963-03-03 | w: BOS | L: NYK
1963-03-03 | w: PHI | L: DET
1963-03-04 | w: SAC | L: LAL
1963-03-05 | w: DET | L: GSW
1963-03-05 | w: PHI | L: NYK
1963-03-05 | w: WAS | L: ATL
1963-03-06 | w: LAL | L: SAC
1963-03-06 | w: WAS | L: GSW
1963-03-07 | w: BOS | L: DET
1963-03-07 | w: PHI | L: NYK
1963-03-08 | w: ATL | L: NYK
1963-03-08 | w: WAS | L: BOS
1963-03-08 | w: DET | L: GSW
1963-03-09 | w: ATL | L: LAL
1963-03-10 | w: ATL | L: NYK
1963-03-10 | w: BOS | L: SAC
1963-03-10 | w: DET | L: LAL
1963-03-10 | w: PHI | L: GSW
1963-03-11 | w: LAL | L: ATL
1963-03-12 | w: GSW | L: LAL
1963-03-12 | w: SAC | L: NYK
1963-03-12 | w: PHI | L: WAS
1963-03-13 | w: ATL | L: LAL
1963-03-13 | w: BOS | L: WAS
1963-03-13 | w: DET | L: NYK
1963-03-13 | w: SAC | L: PHI
1963-03-14 | w: ATL | L: GSW
1963-03-15 | w: GSW | L: ATL
1963-03-15 | w: NYK | L: WAS
1963-03-16 | w: SAC | L: WAS
1963-03-16 | w: BOS | L: PHI
1963-03-16 | w: LAL | L: GSW
1963-03-17 | w: ATL | L: DET
1963-03-17 | w: BOS | L: PHI
1963-03-17 | w: SAC | L: NYK
============ End of Regular Season ============
1963-03-19 | w: PHI | L: SAC
1963-03-20 | w: ATL | L: DET
1963-03-21 | w: SAC | L: PHI
1963-03-22 | w: ATL | L: DET
1963-03-23 | w: PHI | L: SAC
1963-03-24 | w: DET | L: ATL
1963-03-24 | w: SAC | L: PHI
1963-03-26 | w: ATL | L: DET
1963-03-26 | w: SAC | L: PHI
1963-03-28 | w: SAC | L: BOS
1963-03-29 | w: BOS | L: SAC
1963-03-31 | w: LAL | L: ATL
1963-03-31 | w: SAC | L: BOS
1963-04-02 | w: LAL | L: ATL
1963-04-03 | w: BOS | L: SAC
1963-04-04 | w: ATL | L: LAL
1963-04-06 | w: ATL | L: LAL
1963-04-06 | w: BOS | L: SAC
1963-04-07 | w: LAL | L: ATL
1963-04-07 | w: SAC | L: BOS
1963-04-09 | w: ATL | L: LAL
1963-04-10 | w: BOS | L: SAC
1963-04-11 | w: LAL | L: ATL
1963-04-14 | w: BOS | L: LAL
1963-04-16 | w: BOS | L: LAL
1963-04-17 | w: LAL | L: BOS
1963-04-19 | w: BOS | L: LAL
1963-04-21 | w: LAL | L: BOS
1963-04-24 | w: BOS | L: LAL
============ End of Playoffs ============
