============ Start of Season ============
1994-11-04 | w: MIL | L: PHL
1994-12-27 | w: NYK | L: BKN
1994-12-27 | w: HOU | L: ATL
1994-12-27 | w: ORL | L: MIA
1994-12-27 | w: MIL | L: DET
1994-12-27 | w: PHX | L: DAL
1994-12-27 | w: SAC | L: POR
1994-12-27 | w: IND | L: DEN
1994-12-28 | w: NYK | L: DET
1994-12-28 | w: CHI | L: BOS
1994-12-28 | w: CLE | L: WAS
1994-12-28 | w: UTH | L: IND
1994-12-28 | w: OKC | L: PHL
1994-12-29 | w: CHH | L: ORL
1994-12-29 | w: LAL | L: OKC
1994-12-29 | w: HOU | L: GOS
1994-12-29 | w: MIA | L: LAC
1994-12-29 | w: POR | L: DEN
1994-12-29 | w: ATL | L: SAN
1994-12-30 | w: CHI | L: MIA
1994-12-30 | w: LAL | L: PHX
1994-12-30 | w: CLE | L: ATL
1994-12-30 | w: ORL | L: LAC
1994-12-30 | w: BOS | L: DET
1994-12-30 | w: HOU | L: UTH
1994-12-30 | w: IND | L: BKN
1994-12-30 | w: CHH | L: MIL
1994-12-30 | w: DAL | L: GOS
1994-12-30 | w: SAC | L: PHL
1994-12-30 | w: DEN | L: POR
1994-12-30 | w: NYK | L: MIN
1994-12-30 | w: SAN | L: WAS
1995-01-03 | w: SAN | L: GOS
1995-01-03 | w: LAL | L: DET
1995-01-03 | w: BKN | L: IND
1995-01-03 | w: UTH | L: MIL
1995-01-03 | w: POR | L: ATL
1995-01-03 | w: HOU | L: DAL
1995-01-03 | w: PHX | L: SAC
1995-01-03 | w: DEN | L: MIN
1995-01-03 | w: OKC | L: WAS
1995-01-04 | w: CHI | L: DEN
1995-01-04 | w: NYK | L: ATL
1995-01-04 | w: PHX | L: PHL
1995-01-04 | w: BOS | L: MIA
1995-01-04 | w: OKC | L: CLE
1995-01-04 | w: ORL | L: BKN
1995-01-04 | w: IND | L: WAS
1995-01-04 | w: CHH | L: POR
1995-01-05 | w: MIL | L: GOS
1995-01-05 | w: HOU | L: DAL
1995-01-05 | w: LAC | L: PHL
1995-01-05 | w: MIA | L: MIN
1995-01-05 | w: SAN | L: UTH
1995-01-05 | w: SAC | L: DET
1995-01-06 | w: LAL | L: MIL
1995-01-06 | w: OKC | L: CHI
1995-01-06 | w: POR | L: BOS
1995-01-06 | w: CHH | L: BKN
1995-01-06 | w: NYK | L: CLE
1995-01-06 | w: ORL | L: MIN
1995-01-06 | w: ATL | L: WAS
1995-01-06 | w: DAL | L: IND
1995-01-07 | w: CLE | L: CHI
1995-01-07 | w: IND | L: HOU
1995-01-07 | w: SAN | L: LAC
1995-01-07 | w: UTH | L: PHL
1995-01-07 | w: ATL | L: BKN
1995-01-07 | w: SAC | L: MIA
1995-01-07 | w: PHX | L: DEN
1995-01-07 | w: CHH | L: BOS
1995-01-07 | w: POR | L: WAS
1995-01-08 | w: LAL | L: MIA
1995-01-08 | w: NYK | L: MIN
1995-01-08 | w: ORL | L: DET
1995-01-08 | w: DEN | L: MIL
1995-01-09 | w: BOS | L: WAS
1995-01-09 | w: PHX | L: MIL
1995-01-09 | w: POR | L: LAL
1995-01-09 | w: UTH | L: DAL
1995-01-10 | w: OKC | L: GOS
1995-01-10 | w: SAN | L: LAC
1995-01-10 | w: CHI | L: ORL
1995-01-10 | w: NYK | L: IND
1995-01-10 | w: CHH | L: CLE
1995-01-10 | w: DET | L: BKN
1995-01-10 | w: SAC | L: MIN
1995-01-10 | w: ATL | L: WAS
1995-01-11 | w: CHI | L: PHL
1995-01-11 | w: PHX | L: LAL
1995-01-11 | w: BOS | L: IND
1995-01-11 | w: HOU | L: MIA
1995-01-11 | w: ORL | L: DET
1995-01-11 | w: POR | L: GOS
1995-01-11 | w: UTH | L: DEN
1995-01-11 | w: MIL | L: SAC
1995-01-11 | w: DAL | L: LAC
1995-01-11 | w: CHH | L: MIN
1995-01-12 | w: SAN | L: MIA
1995-01-12 | w: CLE | L: PHX
1995-01-12 | w: DEN | L: DAL
1995-01-13 | w: BKN | L: PHL
1995-01-13 | w: LAL | L: GOS
1995-01-13 | w: SAC | L: CHI
1995-01-13 | w: UTH | L: BOS
1995-01-13 | w: HOU | L: SAN
1995-01-13 | w: ORL | L: ATL
1995-01-13 | w: NYK | L: MIL
1995-01-13 | w: MIN | L: DET
1995-01-13 | w: OKC | L: LAC
1995-01-13 | w: IND | L: WAS
1995-01-14 | w: CLE | L: GOS
1995-01-14 | w: UTH | L: NYK
1995-01-14 | w: BKN | L: MIN
1995-01-14 | w: ORL | L: PHL
1995-01-14 | w: PHX | L: LAC
1995-01-14 | w: MIL | L: IND
1995-01-14 | w: MIA | L: DAL
1995-01-14 | w: DEN | L: HOU
1995-01-14 | w: CHH | L: CHI
1995-01-15 | w: DAL | L: SAN
1995-01-15 | w: BOS | L: SAC
1995-01-15 | w: OKC | L: POR
1995-01-16 | w: DET | L: PHL
1995-01-16 | w: GOS | L: DEN
1995-01-16 | w: LAL | L: LAC
1995-01-16 | w: NYK | L: BKN
1995-01-16 | w: UTH | L: IND
1995-01-16 | w: ATL | L: MIA
1995-01-16 | w: MIN | L: HOU
1995-01-16 | w: WAS | L: CHI
1995-01-17 | w: PHX | L: DEN
1995-01-17 | w: SAN | L: BOS
1995-01-17 | w: ORL | L: CHH
1995-01-17 | w: SAC | L: POR
1995-01-17 | w: OKC | L: CLE
1995-01-18 | w: MIL | L: CHI
1995-01-18 | w: LAC | L: CLE
1995-01-18 | w: UTH | L: DET
1995-01-18 | w: MIA | L: BOS
1995-01-18 | w: PHL | L: ATL
1995-01-18 | w: IND | L: LAL
1995-01-18 | w: ORL | L: DAL
1995-01-18 | w: CHH | L: SAN
1995-01-19 | w: NYK | L: HOU
1995-01-19 | w: PHX | L: POR
1995-01-19 | w: MIL | L: WAS
1995-01-19 | w: SAC | L: GOS
1995-01-19 | w: OKC | L: MIN
1995-01-20 | w: CHI | L: MIN
1995-01-20 | w: LAL | L: BOS
1995-01-20 | w: POR | L: LAC
1995-01-20 | w: HOU | L: DET
1995-01-20 | w: SAN | L: MIA
1995-01-20 | w: IND | L: ATL
1995-01-20 | w: UTH | L: CLE
1995-01-20 | w: NYK | L: DAL
1995-01-20 | w: ORL | L: DEN
1995-01-20 | w: CHH | L: BKN
1995-01-20 | w: WAS | L: PHL
1995-01-21 | w: PHL | L: LAL
1995-01-21 | w: SAC | L: LAC
1995-01-21 | w: ATL | L: BOS
1995-01-21 | w: MIL | L: DET
1995-01-21 | w: OKC | L: DAL
1995-01-21 | w: CLE | L: DEN
1995-01-22 | w: CHI | L: HOU
1995-01-22 | w: PHX | L: ORL
1995-01-22 | w: WAS | L: BKN
1995-01-22 | w: NYK | L: MIA
1995-01-22 | w: POR | L: SAC
1995-01-22 | w: IND | L: SAN
1995-01-22 | w: MIN | L: CHH
1995-01-23 | w: CLE | L: LAC
1995-01-23 | w: UTH | L: DAL
1995-01-23 | w: LAL | L: CHH
1995-01-24 | w: BKN | L: GOS
1995-01-24 | w: SAN | L: CHI
1995-01-24 | w: NYK | L: POR
1995-01-24 | w: ORL | L: BOS
1995-01-24 | w: DET | L: PHL
1995-01-24 | w: MIA | L: IND
1995-01-24 | w: HOU | L: MIL
1995-01-24 | w: SAC | L: DAL
1995-01-24 | w: PHX | L: MIN
1995-01-24 | w: OKC | L: DEN
1995-01-25 | w: MIL | L: PHL
1995-01-25 | w: LAL | L: BKN
1995-01-25 | w: LAC | L: BOS
1995-01-25 | w: UTH | L: SAC
1995-01-25 | w: ATL | L: CHH
1995-01-26 | w: SAN | L: HOU
1995-01-26 | w: NYK | L: LAC
1995-01-26 | w: ORL | L: CHI
1995-01-26 | w: POR | L: DET
1995-01-26 | w: CLE | L: ATL
1995-01-26 | w: PHX | L: IND
1995-01-26 | w: UTH | L: OKC
1995-01-26 | w: GOS | L: WAS
1995-01-27 | w: PHX | L: PHL
1995-01-27 | w: BOS | L: GOS
1995-01-27 | w: POR | L: CLE
1995-01-27 | w: MIA | L: MIL
1995-01-27 | w: MIN | L: DAL
1995-01-27 | w: DEN | L: BKN
1995-01-27 | w: CHH | L: NYK
1995-01-28 | w: SAN | L: DEN
1995-01-28 | w: HOU | L: MIN
1995-01-28 | w: ORL | L: MIL
1995-01-28 | w: DET | L: MIA
1995-01-28 | w: UTH | L: BKN
1995-01-28 | w: IND | L: PHL
1995-01-28 | w: CHH | L: ATL
1995-01-28 | w: SAC | L: DAL
1995-01-28 | w: LAL | L: OKC
1995-01-28 | w: WAS | L: LAC
1995-01-29 | w: CHI | L: GOS
1995-01-29 | w: NYK | L: PHX
1995-01-30 | w: OKC | L: PHL
1995-01-30 | w: PHX | L: CLE
1995-01-30 | w: ATL | L: MIA
1995-01-30 | w: DET | L: LAC
1995-01-30 | w: BKN | L: POR
1995-01-30 | w: UTH | L: MIN
1995-01-31 | w: CHI | L: LAL
1995-01-31 | w: NYK | L: GOS
1995-01-31 | w: HOU | L: DEN
1995-01-31 | w: MIL | L: DAL
1995-01-31 | w: SAN | L: SAC
1995-01-31 | w: CHH | L: WAS
1995-02-01 | w: PHL | L: WAS
1995-02-01 | w: PHX | L: LAL
1995-02-01 | w: CHH | L: BOS
1995-02-01 | w: BKN | L: MIL
1995-02-01 | w: MIA | L: DET
1995-02-01 | w: SAN | L: POR
1995-02-01 | w: UTH | L: DEN
1995-02-01 | w: IND | L: CLE
1995-02-01 | w: ATL | L: GOS
1995-02-01 | w: DAL | L: MIN
1995-02-02 | w: HOU | L: UTH
1995-02-02 | w: OKC | L: ORL
1995-02-02 | w: DET | L: CLE
1995-02-02 | w: SAC | L: CHI
1995-02-03 | w: NYK | L: PHL
1995-02-03 | w: GOS | L: LAC
1995-02-03 | w: DEN | L: LAL
1995-02-03 | w: PHX | L: CHI
1995-02-03 | w: IND | L: ORL
1995-02-03 | w: OKC | L: ATL
1995-02-03 | w: SAN | L: DAL
1995-02-03 | w: POR | L: MIN
1995-02-03 | w: CHH | L: MIL
1995-02-03 | w: MIA | L: WAS
1995-02-04 | w: SAN | L: SAC
1995-02-04 | w: BOS | L: BKN
1995-02-04 | w: CLE | L: IND
1995-02-04 | w: DET | L: ATL
1995-02-04 | w: LAL | L: LAC
1995-02-04 | w: PHL | L: MIL
1995-02-04 | w: DAL | L: UTH
1995-02-05 | w: CHI | L: GOS
1995-02-05 | w: BOS | L: MIN
1995-02-05 | w: HOU | L: PHX
1995-02-05 | w: ORL | L: NYK
1995-02-05 | w: OKC | L: MIA
1995-02-05 | w: CHH | L: WAS
1995-02-06 | w: ATL | L: PHL
1995-02-06 | w: BKN | L: DET
1995-02-06 | w: POR | L: HOU
1995-02-07 | w: MIL | L: NYK
1995-02-07 | w: CLE | L: PHL
1995-02-07 | w: UTH | L: LAC
1995-02-07 | w: DET | L: WAS
1995-02-07 | w: PHX | L: DAL
1995-02-07 | w: MIN | L: GOS
1995-02-07 | w: LAL | L: DEN
1995-02-07 | w: IND | L: CHH
1995-02-07 | w: SAN | L: OKC
1995-02-08 | w: LAL | L: SAN
1995-02-08 | w: BOS | L: CLE
1995-02-08 | w: ORL | L: DAL
1995-02-08 | w: CHH | L: DET
1995-02-08 | w: MIA | L: WAS
1995-02-08 | w: POR | L: CHI
1995-02-08 | w: PHX | L: UTH
1995-02-08 | w: NYK | L: IND
1995-02-08 | w: ATL | L: BKN
1995-02-08 | w: MIL | L: MIN
1995-02-08 | w: HOU | L: SAC
1995-02-09 | w: LAC | L: HOU
1995-02-09 | w: GOS | L: DEN
1995-02-09 | w: OKC | L: CHI
1995-02-14 | w: SAN | L: UTH
1995-02-14 | w: BKN | L: CHH
1995-02-14 | w: HOU | L: LAC
1995-02-14 | w: ORL | L: IND
1995-02-14 | w: DET | L: NYK
1995-02-14 | w: MIA | L: MIL
1995-02-14 | w: DAL | L: POR
1995-02-14 | w: ATL | L: DEN
1995-02-14 | w: SAC | L: BOS
1995-02-14 | w: WAS | L: MIN
1995-02-14 | w: OKC | L: GOS
1995-02-15 | w: MIN | L: PHL
1995-02-15 | w: BOS | L: GOS
1995-02-15 | w: LAL | L: OKC
1995-02-15 | w: CHI | L: WAS
1995-02-15 | w: PHX | L: POR
1995-02-15 | w: CLE | L: ORL
1995-02-15 | w: IND | L: DET
1995-02-16 | w: BKN | L: DEN
1995-02-16 | w: NYK | L: MIA
1995-02-16 | w: UTH | L: SAN
1995-02-16 | w: CLE | L: MIL
1995-02-16 | w: SAC | L: LAL
1995-02-16 | w: HOU | L: CHH
1995-02-17 | w: CHI | L: DET
1995-02-17 | w: NYK | L: MIA
1995-02-17 | w: GOS | L: PHX
1995-02-17 | w: LAC | L: BOS
1995-02-17 | w: ORL | L: PHL
1995-02-17 | w: POR | L: OKC
1995-02-17 | w: ATL | L: DAL
1995-02-17 | w: IND | L: MIN
1995-02-17 | w: HOU | L: WAS
1995-02-18 | w: PHL | L: DEN
1995-02-18 | w: OKC | L: GOS
1995-02-18 | w: SAN | L: ATL
1995-02-18 | w: CLE | L: BKN
1995-02-18 | w: UTH | L: BOS
1995-02-18 | w: MIL | L: CHI
1995-02-18 | w: SAC | L: LAC
1995-02-18 | w: CHH | L: DET
1995-02-19 | w: LAL | L: POR
1995-02-19 | w: NYK | L: HOU
1995-02-19 | w: PHX | L: UTH
1995-02-19 | w: IND | L: MIA
1995-02-19 | w: MIN | L: ORL
1995-02-19 | w: DEN | L: WAS
1995-02-20 | w: GOS | L: PHL
1995-02-20 | w: MIA | L: CLE
1995-02-20 | w: DET | L: SAC
1995-02-20 | w: ORL | L: MIL
1995-02-20 | w: CHH | L: CHI
1995-02-20 | w: LAL | L: OKC
1995-02-21 | w: CLE | L: NYK
1995-02-21 | w: BOS | L: PHX
1995-02-21 | w: SAN | L: HOU
1995-02-21 | w: POR | L: MIN
1995-02-21 | w: CHI | L: ATL
1995-02-21 | w: DEN | L: LAC
1995-02-21 | w: DAL | L: WAS
1995-02-22 | w: POR | L: GOS
1995-02-22 | w: LAL | L: PHL
1995-02-22 | w: SAN | L: PHX
1995-02-22 | w: IND | L: BKN
1995-02-22 | w: UTH | L: LAC
1995-02-22 | w: MIL | L: WAS
1995-02-22 | w: CHH | L: SAC
1995-02-22 | w: OKC | L: MIN
1995-02-23 | w: NYK | L: SAC
1995-02-23 | w: BOS | L: ORL
1995-02-23 | w: HOU | L: DET
1995-02-23 | w: ATL | L: DAL
1995-02-23 | w: DEN | L: PHL
1995-02-24 | w: SAN | L: DET
1995-02-24 | w: LAL | L: CHH
1995-02-24 | w: PHX | L: LAC
