============ Start of Season ============
1948-11-01 | w: JET | L: BOM
1948-12-11 | w: NYK | L: BAL
1948-12-11 | w: WAS | L: BOM
1948-12-12 | w: LAL | L: SAC
1948-12-12 | w: NYK | L: DET
1948-12-13 | w: BOS | L: BOM
1948-12-13 | w: CHS | L: BAL
1948-12-13 | w: NYK | L: JET
1948-12-14 | w: GSW | L: BOM
1948-12-14 | w: SAC | L: CHS
1948-12-14 | w: BAL | L: JET
1948-12-15 | w: LAL | L: JET
1948-12-15 | w: WAS | L: GSW
1948-12-16 | w: DET | L: PRO
1948-12-16 | w: BOM | L: BAL
1948-12-17 | w: BAL | L: BOS
1948-12-17 | w: GSW | L: NYK
1948-12-17 | w: CHS | L: JET
1948-12-18 | w: NYK | L: BOM
1948-12-18 | w: SAC | L: DET
1948-12-18 | w: GSW | L: PRO
1948-12-18 | w: WAS | L: BOS
1948-12-19 | w: BOS | L: NYK
1948-12-19 | w: LAL | L: CHS
1948-12-19 | w: SAC | L: DET
1948-12-21 | w: GSW | L: LAL
1948-12-21 | w: SAC | L: JET
1948-12-22 | w: NYK | L: LAL
1948-12-22 | w: WAS | L: PRO
1948-12-23 | w: BAL | L: CHS
1948-12-23 | w: BOM | L: PRO
1948-12-23 | w: JET | L: DET
1948-12-25 | w: CHS | L: NYK
1948-12-25 | w: GSW | L: BOS
1948-12-25 | w: SAC | L: BOM
1948-12-25 | w: WAS | L: DET
1948-12-25 | w: BAL | L: PRO
1948-12-26 | w: LAL | L: SAC
1948-12-26 | w: DET | L: WAS
1948-12-26 | w: CHS | L: BOS
1948-12-26 | w: BOM | L: JET
1948-12-28 | w: CHS | L: BOS
1948-12-29 | w: NYK | L: SAC
1948-12-29 | w: LAL | L: WAS
1948-12-29 | w: PRO | L: BAL
1948-12-30 | w: GSW | L: JET
1948-12-30 | w: BAL | L: SAC
1948-12-30 | w: WAS | L: BOM
1948-12-30 | w: CHS | L: PRO
1948-12-31 | w: BOS | L: PRO
1949-01-01 | w: NYK | L: GSW
1949-01-01 | w: LAL | L: DET
1949-01-01 | w: BAL | L: BOS
1949-01-01 | w: SAC | L: BOM
1949-01-01 | w: JET | L: PRO
1949-01-01 | w: WAS | L: CHS
1949-01-02 | w: BOS | L: DET
1949-01-02 | w: SAC | L: BOM
1949-01-02 | w: CHS | L: NYK
1949-01-04 | w: BOS | L: BAL
1949-01-04 | w: WAS | L: GSW
1949-01-04 | w: CHS | L: PRO
1949-01-04 | w: JET | L: NYK
1949-01-05 | w: LAL | L: BOM
1949-01-05 | w: BAL | L: WAS
1949-01-06 | w: BAL | L: GSW
1949-01-06 | w: CHS | L: PRO
1949-01-06 | w: JET | L: SAC
1949-01-07 | w: NYK | L: BOS
1949-01-08 | w: BAL | L: NYK
1949-01-08 | w: DET | L: GSW
1949-01-08 | w: CHS | L: SAC
1949-01-08 | w: PRO | L: BOS
1949-01-08 | w: BOM | L: LAL
1949-01-08 | w: WAS | L: JET
1949-01-09 | w: LAL | L: BOM
1949-01-09 | w: DET | L: JET
1949-01-09 | w: SAC | L: CHS
1949-01-10 | w: WAS | L: BOS
1949-01-11 | w: SAC | L: GSW
1949-01-11 | w: JET | L: PRO
1949-01-12 | w: NYK | L: BOS
1949-01-12 | w: LAL | L: PRO
1949-01-12 | w: BAL | L: WAS
1949-01-12 | w: CHS | L: BOM
1949-01-13 | w: SAC | L: BAL
1949-01-14 | w: GSW | L: BOS
1949-01-14 | w: CHS | L: JET
1949-01-15 | w: GSW | L: BAL
1949-01-15 | w: SAC | L: DET
1949-01-15 | w: BOM | L: PRO
1949-01-15 | w: CHS | L: BOS
1949-01-15 | w: WAS | L: NYK
1949-01-16 | w: LAL | L: JET
1949-01-16 | w: DET | L: PRO
1949-01-16 | w: CHS | L: WAS
1949-01-17 | w: BOM | L: NYK
1949-01-18 | w: BOM | L: BOS
1949-01-18 | w: GSW | L: PRO
1949-01-18 | w: LAL | L: JET
1949-01-19 | w: SAC | L: JET
1949-01-19 | w: DET | L: CHS
1949-01-20 | w: GSW | L: CHS
1949-01-20 | w: LAL | L: DET
1949-01-20 | w: BAL | L: NYK
1949-01-20 | w: SAC | L: BOM
1949-01-20 | w: WAS | L: PRO
1949-01-21 | w: CHS | L: BOS
1949-01-22 | w: SAC | L: NYK
1949-01-22 | w: WAS | L: BOS
1949-01-22 | w: PRO | L: BAL
1949-01-23 | w: WAS | L: NYK
1949-01-23 | w: LAL | L: GSW
1949-01-23 | w: JET | L: BOM
1949-01-23 | w: SAC | L: DET
1949-01-25 | w: PRO | L: BOS
1949-01-25 | w: GSW | L: CHS
1949-01-25 | w: JET | L: BOM
1949-01-26 | w: NYK | L: PRO
1949-01-26 | w: LAL | L: CHS
1949-01-26 | w: DET | L: GSW
1949-01-26 | w: BAL | L: WAS
1949-01-27 | w: GSW | L: NYK
1949-01-27 | w: PRO | L: BAL
1949-01-28 | w: BOS | L: WAS
1949-01-28 | w: CHS | L: BOM
1949-01-28 | w: JET | L: DET
1949-01-29 | w: GSW | L: NYK
1949-01-29 | w: SAC | L: BAL
1949-01-29 | w: BOM | L: DET
1949-01-29 | w: CHS | L: JET
1949-01-29 | w: PRO | L: BOS
1949-01-31 | w: LAL | L: WAS
1949-01-31 | w: BAL | L: DET
1949-02-01 | w: SAC | L: BOS
1949-02-01 | w: GSW | L: PRO
1949-02-01 | w: JET | L: WAS
1949-02-02 | w: CHS | L: BAL
1949-02-02 | w: WAS | L: JET
1949-02-02 | w: LAL | L: DET
1949-02-03 | w: LAL | L: GSW
1949-02-03 | w: BAL | L: BOS
1949-02-03 | w: WAS | L: BOM
1949-02-03 | w: PRO | L: SAC
1949-02-04 | w: BOS | L: JET
1949-02-05 | w: SAC | L: DET
1949-02-05 | w: BAL | L: JET
1949-02-05 | w: NYK | L: WAS
1949-02-05 | w: CHS | L: PRO
1949-02-06 | w: CHS | L: NYK
1949-02-06 | w: SAC | L: LAL
1949-02-06 | w: DET | L: WAS
1949-02-06 | w: GSW | L: BOM
1949-02-07 | w: BOS | L: BAL
1949-02-07 | w: JET | L: GSW
1949-02-08 | w: DET | L: GSW
1949-02-08 | w: SAC | L: PRO
1949-02-08 | w: BOM | L: CHS
1949-02-09 | w: JET | L: DET
1949-02-09 | w: NYK | L: BOM
1949-02-09 | w: WAS | L: SAC
1949-02-10 | w: LAL | L: NYK
1949-02-10 | w: GSW | L: JET
1949-02-10 | w: SAC | L: BAL
1949-02-11 | w: BOS | L: PRO
1949-02-11 | w: CHS | L: LAL
1949-02-12 | w: NYK | L: DET
1949-02-12 | w: SAC | L: CHS
1949-02-12 | w: BOM | L: BAL
1949-02-12 | w: PRO | L: JET
1949-02-12 | w: GSW | L: WAS
1949-02-13 | w: LAL | L: BAL
1949-02-13 | w: DET | L: NYK
1949-02-15 | w: NYK | L: BOM
1949-02-15 | w: SAC | L: WAS
1949-02-15 | w: CHS | L: DET
1949-02-15 | w: BAL | L: JET
1949-02-16 | w: LAL | L: CHS
1949-02-16 | w: DET | L: BAL
1949-02-17 | w: GSW | L: NYK
1949-02-17 | w: PRO | L: BAL
1949-02-17 | w: SAC | L: BOM
1949-02-18 | w: LAL | L: BOS
1949-02-18 | w: SAC | L: JET
1949-02-19 | w: BOS | L: NYK
1949-02-19 | w: SAC | L: JET
1949-02-19 | w: BOM | L: CHS
1949-02-19 | w: LAL | L: PRO
1949-02-19 | w: WAS | L: BAL
1949-02-20 | w: BOM | L: DET
1949-02-20 | w: CHS | L: JET
1949-02-22 | w: LAL | L: NYK
1949-02-22 | w: SAC | L: GSW
1949-02-22 | w: JET | L: BOS
1949-02-23 | w: CHS | L: GSW
1949-02-23 | w: WAS | L: PRO
1949-02-23 | w: BOS | L: BOM
1949-02-24 | w: LAL | L: DET
1949-02-24 | w: PRO | L: NYK
1949-02-24 | w: CHS | L: BAL
1949-02-25 | w: BOS | L: BOM
1949-02-26 | w: NYK | L: JET
1949-02-26 | w: SAC | L: BOS
1949-02-26 | w: CHS | L: WAS
1949-02-26 | w: BOM | L: PRO
1949-02-26 | w: LAL | L: BAL
1949-02-27 | w: DET | L: LAL
1949-02-28 | w: WAS | L: CHS
1949-03-01 | w: GSW | L: BOM
1949-03-01 | w: SAC | L: WAS
1949-03-01 | w: JET | L: CHS
1949-03-02 | w: NYK | L: CHS
1949-03-02 | w: BOM | L: WAS
1949-03-03 | w: NYK | L: PRO
1949-03-03 | w: GSW | L: CHS
1949-03-03 | w: BAL | L: BOM
1949-03-03 | w: LAL | L: JET
1949-03-04 | w: BOS | L: DET
1949-03-05 | w: NYK | L: BOS
1949-03-05 | w: SAC | L: PRO
1949-03-05 | w: BAL | L: GSW
1949-03-05 | w: CHS | L: WAS
1949-03-06 | w: LAL | L: PRO
1949-03-06 | w: SAC | L: DET
1949-03-07 | w: BOS | L: JET
1949-03-08 | w: BOS | L: DET
1949-03-08 | w: CHS | L: PRO
1949-03-09 | w: NYK | L: WAS
1949-03-09 | w: LAL | L: BOS
1949-03-09 | w: DET | L: PRO
1949-03-09 | w: BOM | L: JET
1949-03-10 | w: SAC | L: GSW
1949-03-10 | w: NYK | L: BAL
1949-03-10 | w: BOM | L: LAL
1949-03-11 | w: BOS | L: GSW
1949-03-12 | w: LAL | L: JET
1949-03-12 | w: BAL | L: BOS
1949-03-12 | w: SAC | L: BOM
1949-03-12 | w: GSW | L: PRO
1949-03-12 | w: NYK | L: CHS
1949-03-12 | w: WAS | L: DET
1949-03-13 | w: LAL | L: NYK
1949-03-13 | w: DET | L: CHS
1949-03-13 | w: BOM | L: JET
1949-03-15 | w: BOS | L: SAC
1949-03-15 | w: GSW | L: BAL
1949-03-15 | w: JET | L: PRO
1949-03-16 | w: SAC | L: NYK
1949-03-16 | w: CHS | L: BOS
1949-03-16 | w: BOM | L: PRO
1949-03-16 | w: WAS | L: LAL
1949-03-17 | w: GSW | L: WAS
1949-03-17 | w: DET | L: PRO
1949-03-17 | w: BAL | L: LAL
1949-03-17 | w: CHS | L: BOM
1949-03-18 | w: BOS | L: NYK
1949-03-19 | w: BAL | L: DET
1949-03-19 | w: LAL | L: SAC
1949-03-19 | w: BOM | L: GSW
1949-03-19 | w: NYK | L: WAS
1949-03-20 | w: LAL | L: GSW
1949-03-20 | w: BOM | L: DET
1949-03-20 | w: CHS | L: SAC
============ End of Regular Season ============
1949-03-22 | w: SAC | L: BOM
1949-03-23 | w: LAL | L: CHS
1949-03-23 | w: WAS | L: GSW
1949-03-23 | w: BAL | L: NYK
1949-03-23 | w: SAC | L: BOM
1949-03-24 | w: NYK | L: BAL
1949-03-24 | w: WAS | L: GSW
1949-03-24 | w: LAL | L: CHS
1949-03-26 | w: NYK | L: BAL
1949-03-27 | w: LAL | L: SAC
1949-03-29 | w: WAS | L: NYK
1949-03-29 | w: LAL | L: SAC
1949-03-31 | w: NYK | L: WAS
1949-04-02 | w: WAS | L: NYK
1949-04-04 | w: LAL | L: WAS
1949-04-06 | w: LAL | L: WAS
1949-04-08 | w: LAL | L: WAS
1949-04-09 | w: WAS | L: LAL
1949-04-11 | w: WAS | L: LAL
1949-04-13 | w: LAL | L: WAS
============ End of Playoffs ============
